seed,max_neurons,layers,learn_rate,epoch,Hys_score,Hys_mse,Hys_rmse,Hys_mape
1,350,5,0.01,1,0.993187665939331,0.006920163985341787,0.08318752301482349,0.3530283570289612
1,350,5,0.01,2,0.9940369129180908,0.006057473830878735,0.07782977470659114,0.29078027606010437
1,350,5,0.01,3,0.9960720539093018,0.0039901225827634335,0.0631674170974517,0.33397698402404785
1,350,5,0.01,4,0.9972479939460754,0.0027955742552876472,0.0528731903263615,0.3142910599708557
1,350,5,0.01,5,0.996709942817688,0.0033421609550714493,0.057811425817665574,0.35044026374816895
1,350,5,0.01,6,0.9981260299682617,0.0019036246230825782,0.043630546903317385,0.35520926117897034
1,350,5,0.01,7,0.9989362359046936,0.0010806109057739377,0.03287264677165405,0.21124501526355743
1,350,5,0.01,8,0.9983115196228027,0.0017152157379314303,0.041415163140224746,0.30664440989494324
1,350,5,0.01,9,0.9983323812484741,0.0016940191853791475,0.04115846432241062,0.370510071516037
1,350,5,0.01,10,0.9992438554763794,0.0007681124261580408,0.027714841261642482,0.2607386112213135
1,350,5,0.01,11,0.9986711740493774,0.0013498748885467649,0.03674064355106977,0.3292182981967926
1,350,5,0.01,12,0.99885493516922,0.0011632089735940099,0.03410584955097893,0.1765076220035553
1,350,5,0.01,13,0.9993025660514832,0.0007084932876750827,0.026617537220319287,0.24862201511859894
1,350,5,0.01,14,0.9989094734191895,0.001107792486436665,0.03328351673781881,0.21872839331626892
1,350,5,0.01,15,0.9987756013870239,0.0012437548721209168,0.03526690902419599,0.2350008487701416
1,350,5,0.01,16,0.9910202622413635,0.00912189856171608,0.09550863082316739,0.3015856146812439
1,350,5,0.01,17,0.998874843120575,0.0011429917067289352,0.03380816035706372,0.15216979384422302
1,350,5,0.01,18,0.9987662434577942,0.001253293128684163,0.0354018802987096,0.13785526156425476
1,350,5,0.01,19,0.9991045594215393,0.0009095942368730903,0.030159480049780207,0.148820161819458
1,350,5,0.01,20,0.9993156790733337,0.0006951743271201849,0.026366158747913676,0.13854867219924927
1,350,5,0.01,21,0.9992731809616089,0.0007383296033367515,0.027172221170466568,0.11806999146938324
1,350,5,0.01,22,0.9994966387748718,0.0005113360239192843,0.022612740300973794,0.13702765107154846
1,350,5,0.01,23,0.9993733167648315,0.0006365879089571536,0.025230693786678828,0.15808212757110596
1,350,5,0.01,24,0.9991784691810608,0.0008345586829818785,0.028888729341767155,0.12751974165439606
1,350,5,0.01,25,0.9989863634109497,0.0010296854889020324,0.032088712795966624,0.12106902152299881
1,350,5,0.01,26,0.9994331002235413,0.0005758973420597613,0.023997861197610118,0.12782679498195648
1,350,5,0.01,27,0.9971967339515686,0.0028476601000875235,0.053363471589538886,0.39515751600265503
1,350,5,0.01,28,0.9993826150894165,0.0006271490710787475,0.02504294453690994,0.15056082606315613
1,350,5,0.01,29,0.999375581741333,0.000634303200058639,0.025185376710675562,0.1542145162820816
1,350,5,0.01,30,0.9991967678070068,0.0008159654098562896,0.028565108259138272,0.0980161502957344
1,350,5,0.01,31,0.9995970726013184,0.0004093326861038804,0.020231971878783353,0.10568752884864807
1,350,5,0.01,32,0.9967783093452454,0.0032726842910051346,0.05720737969008137,0.17573250830173492
1,350,5,0.01,33,0.9992411136627197,0.000770913262385875,0.027765324820464014,0.14924117922782898
1,350,5,0.01,34,0.9977304339408875,0.002305493224412203,0.04801555190156834,0.1611451506614685
1,350,5,0.01,35,0.9984597563743591,0.0015646188985556364,0.03955526385395042,0.1765795350074768
1,350,5,0.01,36,0.9994162917137146,0.0005929722683504224,0.024351021915936553,0.0860917940735817
1,350,5,0.01,37,0.9995482563972473,0.0004589050367940217,0.021422068919551673,0.1015717163681984
1,350,5,0.01,38,0.9992871880531311,0.0007240829290822148,0.02690878906755588,0.09028178453445435
1,350,5,0.01,39,0.9993020296096802,0.0007090079016052186,0.026627202286481744,0.10360624641180038
1,350,5,0.01,40,0.9966623783111572,0.0033904393203556538,0.05822747908295235,0.2283499538898468
1,350,5,0.01,41,0.9995283484458923,0.0004791132523678243,0.02188865579170691,0.1478920578956604
1,350,5,0.01,42,0.9995189905166626,0.0004886232200078666,0.022104823455704564,0.10219839960336685
1,350,5,0.01,43,0.999636709690094,0.0003690454759635031,0.019210556367880216,0.11216507107019424
1,350,5,0.01,44,0.9979171752929688,0.0021157783921808004,0.04599759115628557,0.11451707035303116
1,350,5,0.01,45,0.9994996786117554,0.0005082454299554229,0.022544299278430078,0.1215403601527214
1,350,5,0.01,46,0.9992420077323914,0.0007699823472648859,0.027748555768992482,0.15142105519771576
1,350,5,0.01,47,0.9989134669303894,0.0011037369258701801,0.03322253641536389,0.13435961306095123
1,350,5,0.01,48,0.9994773864746094,0.0005309053813107312,0.02304138410145387,0.12227474898099899
1,350,5,0.01,49,0.9891870617866516,0.010984125547111034,0.10480517900901193,0.5126538276672363
1,350,5,0.01,50,0.9993569850921631,0.0006531794788315892,0.025557376211802128,0.11353691667318344
1,350,5,0.01,51,0.9994499087333679,0.0005588074564002454,0.023639108621101714,0.08488365262746811
1,350,5,0.01,52,0.9995930194854736,0.00041340471943840384,0.020332356465456822,0.08289041370153427
1,350,5,0.01,53,0.9996220469474792,0.0003839119744952768,0.019593671797171575,0.07547544687986374
1,350,5,0.01,54,0.9995945692062378,0.0004118640790693462,0.020294434682181867,0.09798005223274231
1,350,5,0.01,55,0.999590277671814,0.0004162355908192694,0.0204018526320349,0.08742635697126389
1,350,5,0.01,56,0.9995377659797668,0.0004695494135376066,0.021669088894958333,0.1257236897945404
1,350,5,0.01,57,0.9995648264884949,0.00044204058940522373,0.021024761340030087,0.08799295872449875
1,350,5,0.01,58,0.9996257424354553,0.0003802072023972869,0.019498902594692013,0.11052848398685455
1,350,5,0.01,59,0.9992435574531555,0.0007684044539928436,0.02772010919879003,0.13778053224086761
1,350,5,0.01,60,0.9995393753051758,0.00046789023326709867,0.021630770519496034,0.09235536307096481
1,350,5,0.01,61,0.9996126294136047,0.0003934902779292315,0.019836589372400477,0.08714032918214798
1,350,5,0.01,62,0.9982537627220154,0.0017738655442371964,0.042117283201047004,0.24058949947357178
1,350,5,0.01,63,0.99947589635849,0.0005324261728674173,0.023074361808453497,0.1208522766828537
1,350,5,0.01,64,0.9995220899581909,0.00048548891209065914,0.022033812926741916,0.14397600293159485
1,350,5,0.01,65,0.9995291829109192,0.00047827023081481457,0.021869390270760056,0.13004900515079498
1,350,5,0.01,66,0.9996546506881714,0.00035079524968750775,0.018729528816484084,0.12558096647262573
1,350,5,0.01,67,0.9996687769889832,0.0003364865842740983,0.018343570652250295,0.09209421277046204
1,350,5,0.01,68,0.9996395111083984,0.00036617612931877375,0.019135729129530803,0.10546816885471344
1,350,5,0.01,69,0.9997042417526245,0.0003004497557412833,0.017333486543141957,0.08118855208158493
1,350,5,0.01,70,0.9994681477546692,0.0005402640090323985,0.02324357995301925,0.10751151293516159
1,350,5,0.01,71,0.9995722770690918,0.0004345187626313418,0.020845113639204316,0.08235824108123779
1,350,5,0.01,72,0.9995604753494263,0.0004465029633138329,0.021130616728194017,0.10672327876091003
1,350,5,0.01,73,0.9996110200881958,0.000395113427657634,0.019877460291939562,0.10405653715133667
1,350,5,0.01,74,0.9945194721221924,0.0055673266761004925,0.07461452054459972,0.22812394797801971
1,350,5,0.01,75,0.9993727207183838,0.000637183606158942,0.02524249603662328,0.12015223503112793
1,350,5,0.01,76,0.9994857311248779,0.0005223806947469711,0.022855649077350028,0.09023449569940567
1,350,5,0.01,77,0.99973064661026,0.00027363182744011283,0.01654182056002642,0.10015925765037537
1,350,5,0.01,78,0.9996676445007324,0.00033763624378480017,0.018374880782873127,0.07575827091932297
1,350,5,0.01,79,0.9996815919876099,0.0003234337782487273,0.01798426474028692,0.07065975666046143
1,350,5,0.01,80,0.9992085099220276,0.000804017938207835,0.02835521007165764,0.16772446036338806
1,350,5,0.01,81,0.9996558427810669,0.00034961567143909633,0.01869801249970425,0.1344309002161026
1,350,5,0.01,82,0.9996994137763977,0.00030535052064806223,0.017474281691905458,0.08533507585525513
1,350,5,0.01,83,0.9992059469223022,0.0008066322188824415,0.02840127143073777,0.18192917108535767
1,350,5,0.01,84,0.9995154142379761,0.0004922613734379411,0.022186964042832474,0.07134153693914413
1,350,5,0.01,85,0.9994704723358154,0.0005379360518418252,0.02319344846808739,0.09144219756126404
1,350,5,0.01,86,0.9996111989021301,0.0003949740494135767,0.019873954045775005,0.09969668835401535
1,350,5,0.01,87,0.9995375871658325,0.0004697567783296108,0.021673873173238115,0.10691380500793457
1,350,5,0.01,88,0.9996007680892944,0.0004055306490045041,0.020137791562246942,0.09309615939855576
1,350,5,0.01,89,0.9994127154350281,0.0005965770687907934,0.02442492720134071,0.10336922854185104
1,350,5,0.01,90,0.999541699886322,0.00046553683932870626,0.021576302726109175,0.11690068989992142
1,350,5,0.01,91,0.9995295405387878,0.0004779245355166495,0.021861485208389878,0.11284245550632477
1,350,5,0.01,92,0.9991123080253601,0.0009017169359140098,0.030028601964027728,0.13676123321056366
1,350,5,0.01,93,0.9994381666183472,0.0005707356613129377,0.02389007453552495,0.09725576639175415
1,350,5,0.01,94,0.9993961453437805,0.0006134402938187122,0.024767726860144276,0.14988042414188385
1,350,5,0.01,95,0.9991946220397949,0.0008181465673260391,0.028603261480573138,0.14582626521587372
1,350,5,0.01,96,0.9994373917579651,0.0005714982398785651,0.023906029362455092,0.12400698661804199
1,350,5,0.01,97,0.9992268681526184,0.0007853601709939539,0.028024278242159136,0.1323820948600769
1,350,5,0.01,98,0.999530553817749,0.0004768985090777278,0.021838006069184242,0.10300280898809433
1,350,5,0.01,99,0.998400092124939,0.0016252625500783324,0.04031454514289269,0.14403274655342102
1,350,5,0.01,100,0.9997076392173767,0.00029698782600462437,0.017233334732564803,0.10120207816362381
2,350,5,0.01,1,0.9919643998146057,0.008162799291312695,0.09034821133432966,0.3817799687385559
2,350,5,0.01,2,0.996639609336853,0.003413587808609009,0.058425917268015645,0.24644705653190613
2,350,5,0.01,3,0.9973158240318298,0.0027266901452094316,0.05221771869020545,0.2702077329158783
2,350,5,0.01,4,0.9981441497802734,0.0018852031789720058,0.04341892650644424,0.22584499418735504
2,350,5,0.01,5,0.9984873533248901,0.001536611933261156,0.03919964200424739,0.24110232293605804
2,350,5,0.01,6,0.9983507394790649,0.0016753490781411529,0.040931028305445157,0.20054596662521362
2,350,5,0.01,7,0.9987280964851379,0.0012920377776026726,0.03594492700789184,0.21468889713287354
2,350,5,0.01,8,0.999177098274231,0.0008359582279808819,0.028912942222833048,0.1916886419057846
2,350,5,0.01,9,0.9984497427940369,0.0015748050063848495,0.03968381290129326,0.2104475498199463
2,350,5,0.01,10,0.9985275268554688,0.0014957571402192116,0.038675019589125115,0.2504425644874573
2,350,5,0.01,11,0.9980542063713074,0.0019765866454690695,0.04445881965897284,0.17032229900360107
2,350,5,0.01,12,0.9988575577735901,0.0011605183826759458,0.03406638200155611,0.19754226505756378
2,350,5,0.01,13,0.9986081719398499,0.00141387979965657,0.03760159304679218,0.20594149827957153
2,350,5,0.01,14,0.9984764456748962,0.001547672669403255,0.03934047113855215,0.18597152829170227
2,350,5,0.01,15,0.9992232322692871,0.0007890700362622738,0.02809039046119284,0.16552460193634033
2,350,5,0.01,16,0.9990109801292419,0.0010046716779470444,0.03169655624743869,0.18424052000045776
2,350,5,0.01,17,0.9990193843841553,0.0009961617179214954,0.03156202968634139,0.19620321691036224
2,350,5,0.01,18,0.9990686178207397,0.0009461509180255234,0.030759566284743408,0.13150355219841003
2,350,5,0.01,19,0.9981247186660767,0.0019049813272431493,0.0436460917751309,0.12472830712795258
2,350,5,0.01,20,0.9979858994483948,0.0020459883380681276,0.04523260260108993,0.22590461373329163
2,350,5,0.01,21,0.9989375472068787,0.0010792649118229747,0.03285216753614554,0.21809300780296326
2,350,5,0.01,22,0.999388575553894,0.0006210894207470119,0.0249216656896567,0.13972145318984985
2,350,5,0.01,23,0.9989848136901855,0.001031242311000824,0.032112961728884865,0.1244981437921524
2,350,5,0.01,24,0.9990353584289551,0.0009799281833693385,0.03130380461492402,0.11659547686576843
2,350,5,0.01,25,0.9994372725486755,0.0005716453306376934,0.023909105600956583,0.11731113493442535
2,350,5,0.01,26,0.9990680813789368,0.0009466437622904778,0.030767576477364573,0.16812552511692047
2,350,5,0.01,27,0.9991629719734192,0.0008502959972247481,0.029159835342894996,0.1313265860080719
2,350,5,0.01,28,0.9995633959770203,0.00044354191049933434,0.021060434717719727,0.13149763643741608
2,350,5,0.01,29,0.9980589747428894,0.0019717838149517775,0.04440477243441044,0.1669115126132965
2,350,5,0.01,30,0.9994271397590637,0.0005819210782647133,0.024123040402584273,0.10471462458372116
2,350,5,0.01,31,0.9995605945587158,0.0004463595396373421,0.021127222714719087,0.12665967643260956
2,350,5,0.01,32,0.9991201162338257,0.0008937976672314107,0.02989644907395209,0.16350512206554413
2,350,5,0.01,33,0.998035728931427,0.001995343016460538,0.04466926254663869,0.17504790425300598
2,350,5,0.01,34,0.9991163015365601,0.0008976625977084041,0.02996101796849373,0.17599639296531677
2,350,5,0.01,35,0.9992060661315918,0.0008065127767622471,0.028399168592799458,0.14051039516925812
2,350,5,0.01,36,0.9994666576385498,0.0005417823558673263,0.023276218676308365,0.13074323534965515
2,350,5,0.01,37,0.999422013759613,0.0005871070316061378,0.02423029161207388,0.11010504513978958
2,350,5,0.01,38,0.9995577931404114,0.00044920085929334164,0.02119435913853829,0.12867479026317596
2,350,5,0.01,39,0.9993396401405334,0.0006708239670842886,0.02590026963342831,0.16342557966709137
2,350,5,0.01,40,0.9993079304695129,0.0007030529668554664,0.026515145989706834,0.09021294116973877
2,350,5,0.01,41,0.9994693398475647,0.0005390463629737496,0.02321737200834215,0.1387927532196045
2,350,5,0.01,42,0.9995120763778687,0.0004956297925673425,0.0222627444976432,0.11572661250829697
2,350,5,0.01,43,0.9950816631317139,0.0049962252378463745,0.07068398147986837,0.41278430819511414
2,350,5,0.01,44,0.9994891285896301,0.0005189337534829974,0.02278011750371357,0.11478074640035629
2,350,5,0.01,45,0.9992743730545044,0.000737122492864728,0.02714999986859536,0.10140503197908401
2,350,5,0.01,46,0.9996498823165894,0.0003556441224645823,0.018858529170234416,0.11148710548877716
2,350,5,0.01,47,0.9994447231292725,0.0005640651215799153,0.023750055191091985,0.18246416747570038
2,350,5,0.01,48,0.9994813799858093,0.0005268122185952961,0.022952390258866202,0.07272080332040787
2,350,5,0.01,49,0.9933769106864929,0.0067279646173119545,0.08202417093340203,0.2336677759885788
2,350,5,0.01,50,0.9992900490760803,0.0007212081691250205,0.026855319196111234,0.09079702198505402
2,350,5,0.01,51,0.9995097517967224,0.0004979818477295339,0.022315506889370312,0.09331048280000687
2,350,5,0.01,52,0.9994463920593262,0.0005623807082884014,0.023714567427815362,0.09201875329017639
2,350,5,0.01,53,0.9996181726455688,0.00038785202195867896,0.019693959021960996,0.15765057504177094
2,350,5,0.01,54,0.9995512366294861,0.00045585521729663014,0.021350766199287326,0.08706528693437576
2,350,5,0.01,55,0.9996315836906433,0.00037425680784508586,0.01934571807519912,0.12614108622074127
2,350,5,0.01,56,0.9994114637374878,0.0005978584522381425,0.024451144190776482,0.08708752691745758
2,350,5,0.01,57,0.9996461868286133,0.000359436497092247,0.018958810540016666,0.09459679573774338
2,350,5,0.01,58,0.9995564222335815,0.00045058660907670856,0.021227025441090622,0.08035124093294144
2,350,5,0.01,59,0.9996594786643982,0.00034589532879181206,0.018598261445409676,0.07355692237615585
2,350,5,0.01,60,0.9990016222000122,0.0010141638340428472,0.031845939051044596,0.14342263340950012
2,350,5,0.01,61,0.9995996356010437,0.0004066767287440598,0.020166227429642358,0.08150970935821533
2,350,5,0.01,62,0.9995710849761963,0.0004356802674010396,0.02087295540648328,0.10860491544008255
2,350,5,0.01,63,0.9981669187545776,0.0018621173221617937,0.04315225743992768,0.1948082596063614
2,350,5,0.01,64,0.999517023563385,0.0004906175308860838,0.02214988783010162,0.0999680757522583
2,350,5,0.01,65,0.9997358322143555,0.00026832925505004823,0.016380758683591193,0.07201384007930756
2,350,5,0.01,66,0.9996346235275269,0.0003711359458975494,0.019264888940701146,0.0652461126446724
2,350,5,0.01,67,0.9995147585868835,0.0004929413553327322,0.022202282660409765,0.12263913452625275
2,350,5,0.01,68,0.9997239708900452,0.0002804002433549613,0.01674515581757785,0.09041749686002731
2,350,5,0.01,69,0.9997490048408508,0.00025495767476968467,0.015967394113307425,0.06701603531837463
2,350,5,0.01,70,0.999277651309967,0.0007337870192714036,0.027088503452044072,0.12562015652656555
2,350,5,0.01,71,0.9992207288742065,0.0007916014292277396,0.028135412369960734,0.1404474377632141
2,350,5,0.01,72,0.9991865754127502,0.0008262862102128565,0.02874519455861895,0.10472435504198074
2,350,5,0.01,73,0.9991961717605591,0.0008165246690623462,0.028574895783928002,0.1367029845714569
2,350,5,0.01,74,0.9995178580284119,0.0004897524486295879,0.022130351299280992,0.09995456784963608
2,350,5,0.01,75,0.9993016719818115,0.0007094001048244536,0.026634565977775075,0.11689641326665878
2,350,5,0.01,76,0.9995631575584412,0.00044378050370141864,0.02106609844516584,0.08660218864679337
2,350,5,0.01,77,0.9996157288551331,0.00039036566158756614,0.019757673486206977,0.11981771141290665
2,350,5,0.01,78,0.9990053772926331,0.0010103671811521053,0.0317862734706682,0.09866871684789658
2,350,5,0.01,79,0.9992462396621704,0.0007656762609258294,0.027670855804001245,0.12162191420793533
2,350,5,0.01,80,0.9996528029441833,0.0003527211956679821,0.018780873133802434,0.14332294464111328
2,350,5,0.01,81,0.9995872378349304,0.00041930776205845177,0.020477005690736422,0.1181374341249466
2,350,5,0.01,82,0.9994476437568665,0.0005611192318610847,0.023687955417491916,0.08042536675930023
2,350,5,0.01,83,0.9991280436515808,0.0008857641951180995,0.02976179085871849,0.1389516144990921
2,350,5,0.01,84,0.9989321827888489,0.0010847514495253563,0.032935565116228936,0.13357418775558472
2,350,5,0.01,85,0.9994032382965088,0.0006061799358576536,0.024620721676215214,0.17860731482505798
2,350,5,0.01,86,0.9994904398918152,0.0005176348495297134,0.02275159004398843,0.12472091615200043
2,350,5,0.01,87,0.9996393918991089,0.00036631966941058636,0.01913947934011232,0.08986863493919373
2,350,5,0.01,88,0.9997258186340332,0.00027853925712406635,0.016689495412506226,0.08970297873020172
2,350,5,0.01,89,0.9996981620788574,0.00030659371986985207,0.017509817813725306,0.07723306119441986
2,350,5,0.01,90,0.9994703531265259,0.0005380166112445295,0.023195185087524727,0.08817446231842041
2,350,5,0.01,91,0.9991651177406311,0.0008480885880999267,0.0291219605813195,0.11571015417575836
2,350,5,0.01,92,0.9996727705001831,0.0003324364952277392,0.018232841117821964,0.0848405733704567
2,350,5,0.01,93,0.9995588660240173,0.00044814086868427694,0.021169337936843394,0.08916865289211273
2,350,5,0.01,94,0.9994673132896423,0.0005411244346760213,0.023262081477718657,0.08882655948400497
2,350,5,0.01,95,0.9986423254013062,0.001379140536300838,0.037136781447788904,0.13515229523181915
2,350,5,0.01,96,0.9994252920150757,0.0005837858188897371,0.024161660102106748,0.09012920409440994
2,350,5,0.01,97,0.9992966651916504,0.0007144480478018522,0.02672916100070955,0.1173514574766159
2,350,5,0.01,98,0.9997012615203857,0.0003034640976693481,0.017420220942035956,0.07347018271684647
2,350,5,0.01,99,0.9997040629386902,0.00030063072335906327,0.017338705930924122,0.06275546550750732
2,350,5,0.01,100,0.9997354745864868,0.0002687170635908842,0.01639259172891475,0.07329006493091583
3,350,5,0.01,1,0.9923270344734192,0.007794474717229605,0.08828632236779152,0.3995778262615204
3,350,5,0.01,2,0.9965831637382507,0.0034709132742136717,0.05891445725977344,0.4142155945301056
3,350,5,0.01,3,0.9970531463623047,0.0029934877529740334,0.05471277504362243,0.22028383612632751
3,350,5,0.01,4,0.9978600144386292,0.002173888497054577,0.046624977180204356,0.16703125834465027
3,350,5,0.01,5,0.9981896877288818,0.0018389610340818763,0.042883108960077465,0.17726188898086548
3,350,5,0.01,6,0.9982656240463257,0.0017618500860407948,0.04197439798306576,0.16274826228618622
3,350,5,0.01,7,0.9990578293800354,0.0009570867987349629,0.0309368194670196,0.13260439038276672
3,350,5,0.01,8,0.9916131496429443,0.008519630879163742,0.09230184656421421,0.2550458312034607
3,350,5,0.01,9,0.9990397691726685,0.0009754415950737894,0.031232060371896526,0.14714130759239197
