max_neurons,layers,learn_rate,epochs,Hys_score,Hys_mse,Hys_rmse,Hys_mape
350,1,0.1,100,0.997755229473114,0.0022802995517849922,0.047752482153129924,0.32348746061325073
350,1,0.01,100,0.9996593594551086,0.0003460042644292116,0.018601189865952435,0.11911316215991974
350,2,0.1,100,-0.00525975227355957,1.0211752653121948,1.0105321693603795,1.2913182973861694
350,2,0.01,100,0.9990277290344238,0.0009876745752990246,0.03142729029520402,0.13854871690273285
350,5,0.1,100,-0.010781049728393555,1.0267839431762695,1.013303480294166,1.4678730964660645
350,5,0.01,100,0.9997897744178772,0.00021354093041736633,0.014613039739129101,0.060292262583971024
350,10,0.1,100,-0.0025440454483032227,1.0184165239334106,1.009166251879942,1.3297526836395264
350,10,0.01,100,0.9994251728057861,0.000583903631195426,0.02416409798017352,0.13285572826862335
360,1,0.1,100,0.9964544773101807,0.003601658158004284,0.060013816392596495,0.36381322145462036
360,1,0.01,100,0.9996368885040283,0.0003688857250381261,0.01920639802352659,0.08265410363674164
360,2,0.1,100,-0.014895915985107422,1.0309640169143677,1.0153639824783858,1.7706692218780518
360,2,0.01,100,0.9995130300521851,0.0004946868866682053,0.02224155764932405,0.10187474638223648
360,5,0.1,100,-0.007225990295410156,1.0231724977493286,1.011519894885577,1.3605084419250488
360,5,0.01,100,0.998485267162323,0.0015387235907837749,0.03922656741015934,0.12215501070022583
360,10,0.1,100,0.0045310258865356445,1.011229395866394,1.0055990234016707,1.5267772674560547
360,10,0.01,100,0.9995011687278748,0.0005067450692877173,0.02251099885139967,0.14619459211826324
370,1,0.1,100,0.9990929365158081,0.0009214528254233301,0.030355441446688437,0.12577754259109497
370,1,0.01,100,0.9995757341384888,0.000430991523899138,0.020760335351316894,0.11003910005092621
370,2,0.1,100,0.9963424205780029,0.0037155067548155785,0.06095495676986063,0.26722270250320435
370,2,0.01,100,0.999778687953949,0.00022483014618046582,0.014994337137081646,0.0624060221016407
370,5,0.1,100,-3.5762786865234375e-07,1.015832543373108,1.0078851836261449,1.0517477989196777
370,5,0.01,100,0.9997130632400513,0.0002914498618338257,0.01707190270104143,0.1156805083155632
370,10,0.1,100,0.986115038394928,0.014104774221777916,0.11876352226916274,0.6174784302711487
370,10,0.01,100,0.9974111914634705,0.0026297997683286667,0.05128157338000334,0.2734028697013855
380,1,0.1,100,0.9910814166069031,0.009059792384505272,0.09518294166763955,0.37061193585395813
380,1,0.01,100,0.9996551871299744,0.00035027877311222255,0.018715735975702974,0.08089250326156616
380,2,0.1,100,-0.0012538433074951172,1.0171058177947998,1.008516642299372,1.2432982921600342
380,2,0.01,100,0.9996030330657959,0.00040327312308363616,0.02008166136263721,0.1173095852136612
380,5,0.1,100,-0.0030019283294677734,1.0188815593719482,1.009396631345651,1.3554203510284424
380,5,0.01,100,0.9993653893470764,0.0006446309853345156,0.025389584189870373,0.14004969596862793
380,10,0.1,100,-0.00020623207092285156,1.0160417556762695,1.0079889660488697,1.128280520439148
380,10,0.01,100,0.9986676573753357,0.0013534068129956722,0.03678867778265036,0.12168426066637039
390,1,0.1,100,0.9784764051437378,0.02186434715986252,0.1478659770192674,0.6982982158660889
390,1,0.01,100,0.9988547563552856,0.0011633769609034061,0.03410831219663919,0.19138088822364807
390,2,0.1,100,-0.0026459693908691406,1.0185199975967407,1.0092175174840856,1.1780765056610107
390,2,0.01,100,0.9994329214096069,0.0005760759231634438,0.024001581680452723,0.14185045659542084
390,5,0.1,100,-0.0003789663314819336,1.0162172317504883,1.0080760049472899,1.0228652954101562
390,5,0.01,100,0.9992548823356628,0.000756891502533108,0.027511661209987083,0.12170793861150742
390,10,0.1,100,-0.002071380615234375,1.0179363489151,1.0089283170350112,1.1474077701568604
390,10,0.01,100,0.9992784857749939,0.0007329295622184873,0.027072671870698083,0.13010850548744202
400,1,0.1,100,0.9993813633918762,0.0006284372066147625,0.025068649876185244,0.17133013904094696
400,1,0.01,100,0.9997519254684448,0.0002519870176911354,0.01587409895682698,0.08128643035888672
400,2,0.1,100,0.9931308627128601,0.006977918557822704,0.08353393656366677,0.5567315816879272
400,2,0.01,100,0.9997498989105225,0.00025404526968486607,0.015938797623562012,0.06650017201900482
400,5,0.1,100,-0.00429689884185791,1.0201971530914307,1.0100480944447303,1.2532633543014526
400,5,0.01,100,0.9997744560241699,0.0002290872944286093,0.015135629964709407,0.08575798571109772
400,10,0.1,100,-0.00029277801513671875,1.0161296129226685,1.0080325455671897,1.1428780555725098
400,10,0.01,100,0.9990628361701965,0.0009519959567114711,0.03085443171914646,0.11585289984941483
