seed,max_neurons,layers,learn_rate,epoch,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,350,1,0.01,21,0.9995189309120178,0.0004891962744295597,0.022117781860520276,0.1020742803812027
1,350,1,0.01,22,0.9992010593414307,0.0008124275482259691,0.028503114710956925,0.1366829127073288
1,350,1,0.01,23,0.9991049766540527,0.0009100994793698192,0.030167855067435922,0.15695138275623322
1,350,1,0.01,24,0.9990665316581726,0.0009492283570580184,0.030809549770452967,0.18072879314422607
1,350,1,0.01,25,0.9988101720809937,0.0012099029263481498,0.03478365889822619,0.15943051874637604
1,350,1,0.01,26,0.9948585033416748,0.0052282540127635,0.0723066664475932,0.26269641518592834
1,350,1,0.01,27,0.9992820620536804,0.0007300759898498654,0.02701991839088093,0.17670205235481262
1,350,1,0.01,28,0.9994202256202698,0.0005895362119190395,0.024280366799516014,0.12659315764904022
1,350,1,0.01,29,0.9988300800323486,0.0011896357173100114,0.03449109620336836,0.21760286390781403
1,350,1,0.01,30,0.9982942342758179,0.001734553137794137,0.04164796679063862,0.1965222954750061
1,350,1,0.01,31,0.9984418749809265,0.0015844242880120873,0.039804827446078536,0.13013845682144165
1,350,1,0.01,32,0.999457597732544,0.0005515553057193756,0.023485214619402048,0.10503295063972473
1,350,1,0.01,33,0.9988784790039062,0.0011404479155316949,0.033770518437413646,0.21057485044002533
1,350,1,0.01,34,0.9988028407096863,0.0012173858704045415,0.034891057169488884,0.21241189539432526
1,350,1,0.01,35,0.9987895488739014,0.0012308767763897777,0.035083853499719465,0.15543368458747864
1,350,1,0.01,36,0.9991354942321777,0.000879096332937479,0.029649558730906588,0.15408669412136078
1,350,1,0.01,37,0.9995726346969604,0.0004345604684203863,0.02084611398847244,0.13778825104236603
1,350,1,0.01,38,0.9992035627365112,0.00080990040441975,0.028458749171735395,0.11239934712648392
1,350,1,0.01,39,0.998968243598938,0.0010491758584976196,0.03239098421625406,0.1385176181793213
1,350,1,0.01,40,0.9993942379951477,0.000616008706856519,0.02481952269598509,0.12518428266048431
1,350,1,0.01,41,0.999610960483551,0.00039562745951116085,0.019890386107644088,0.12113670259714127
1,350,1,0.01,42,0.9995677471160889,0.0004395378928165883,0.02096515902197234,0.12220613658428192
1,350,1,0.01,43,0.9993445873260498,0.000666466832626611,0.025816018915135058,0.20472277700901031
1,350,1,0.01,44,0.9993560314178467,0.0006548481760546565,0.025590001486022945,0.1092064380645752
1,350,1,0.01,45,0.9993977546691895,0.0006124292267486453,0.024747307464624214,0.1013207882642746
