seed,max_neurons,layers,lr,unlock_layers,epoch,n_samples,data_fraction,Hys_score,Hys_mse,Hys_rmse,Hys_mape
19,400,2,0.01,4,100,6040,0.25,0.9939742088317871,0.006143076810985804,0.07837778263631731,0.08150327205657959
20,400,2,0.01,4,100,6040,0.25,0.9990368485450745,0.0009819233091548085,0.03133565555648722,0.08408763259649277
21,400,2,0.01,4,100,6040,0.25,0.994104266166687,0.006010464858263731,0.07752718786505629,0.08564307540655136
22,400,2,0.01,4,100,6040,0.25,0.9976877570152283,0.002357265679165721,0.04855168049785425,0.09434156119823456
23,400,2,0.01,4,100,6040,0.25,0.9986000061035156,0.0014272647676989436,0.03777915784793175,0.07619594037532806
24,400,2,0.01,4,100,6040,0.25,0.9976291656494141,0.0024169518146663904,0.04916250415373886,0.09195750951766968
25,400,2,0.01,4,100,6040,0.25,0.9945854544639587,0.005519940983504057,0.07429630531529853,0.10663201659917831
26,400,2,0.01,4,100,6040,0.25,0.9953044652938843,0.0047869086265563965,0.0691874889453028,0.07958320528268814
27,400,2,0.01,4,100,6040,0.25,0.9980664849281311,0.001971170539036393,0.044397866379324954,0.07257655262947083
28,400,2,0.01,4,100,6040,0.25,0.9957817196846008,0.004300389438867569,0.06557735461931632,0.10470961034297943
29,400,2,0.01,4,100,6040,0.25,0.9956799745559692,0.004404110834002495,0.06636347515013431,0.09184407442808151
30,400,2,0.01,4,100,6040,0.25,0.9991862177848816,0.000829647877253592,0.0288036087540015,0.10144053399562836
1,400,2,0.01,4,100,12080,0.5,0.9952436685562134,0.004848908632993698,0.06963410538661137,0.11273660510778427
2,400,2,0.01,4,100,12080,0.5,0.9957252740859985,0.004357947036623955,0.06601474862955971,0.09361082315444946
3,400,2,0.01,4,100,12080,0.5,0.9965648651123047,0.0035020094364881516,0.059177778232104586,0.07197579741477966
4,400,2,0.01,4,100,12080,0.5,0.9980238080024719,0.002014636993408203,0.04488470779016171,0.08797261863946915
5,400,2,0.01,4,100,12080,0.5,0.9918069243431091,0.008352543227374554,0.09139224927407441,0.07598666101694107
6,400,2,0.01,4,100,12080,0.5,0.9933423399925232,0.006787224672734737,0.08238461429620665,0.08146428316831589
7,400,2,0.01,4,100,12080,0.5,0.9944821000099182,0.005625301972031593,0.07500201311985961,0.0761522725224495
8,400,2,0.01,4,100,12080,0.5,0.9951656460762024,0.004928437061607838,0.07020282801716636,0.08870790898799896
9,400,2,0.01,4,100,12080,0.5,0.9965693354606628,0.0034974098671227694,0.05913890316130972,0.07381530106067657
10,400,2,0.01,4,100,12080,0.5,0.9985628128051758,0.001465180073864758,0.038277670695390516,0.07025869935750961
11,400,2,0.01,4,100,12080,0.5,0.9970054626464844,0.0030528432689607143,0.05525254083714806,0.0674716979265213
12,400,2,0.01,4,100,12080,0.5,0.9979978799819946,0.002041060011833906,0.045178092166822476,0.08751862496137619
13,400,2,0.01,4,100,12080,0.5,0.9994613528251648,0.0005491079646162689,0.023433052823229602,0.08250151574611664
14,400,2,0.01,4,100,12080,0.5,0.9980469942092896,0.0019910072442144156,0.044620704210202866,0.08418520539999008
15,400,2,0.01,4,100,12080,0.5,0.9963977932929993,0.00367233669385314,0.060599807704753816,0.10575015097856522
16,400,2,0.01,4,100,12080,0.5,0.9960548281669617,0.0040219309739768505,0.06341869577637851,0.08926167339086533
17,400,2,0.01,4,100,12080,0.5,0.993572473526001,0.006552622653543949,0.08094827146730157,0.07518819719552994
18,400,2,0.01,4,100,12080,0.5,0.997990071773529,0.002049041911959648,0.04526634414175335,0.11732776463031769
19,400,2,0.01,4,100,12080,0.5,0.9948396682739258,0.005260770209133625,0.0725311671568411,0.08239548653364182
20,400,2,0.01,4,100,12080,0.5,0.9963114261627197,0.003760366002097726,0.06132182321243984,0.07394044101238251
21,400,2,0.01,4,100,12080,0.5,0.998774528503418,0.0012492976384237409,0.03534540477097045,0.08346675336360931
22,400,2,0.01,4,100,12080,0.5,0.9983711242675781,0.0016605844721198082,0.04075026959567026,0.09288278222084045
23,400,2,0.01,4,100,12080,0.5,0.9970685243606567,0.0029885603580623865,0.0546677268419164,0.10724514722824097
24,400,2,0.01,4,100,12080,0.5,0.9963568449020386,0.0037140827625989914,0.0609432749579393,0.08922063559293747
