seed,max_neurons,layers,lr,unlock_layers,epoch,Hys_score,Hys_mse,Hys_rmse,Hys_mape
1,380,1,0.01,3,1,0.9869892597198486,0.013263960368931293,0.1151692683354865,0.4339035749435425
1,380,1,0.01,3,2,0.9927630424499512,0.0073778098449110985,0.08589417817821589,0.2851359248161316
1,380,1,0.01,3,3,0.996253490447998,0.0038194507360458374,0.06180170496067109,0.23783501982688904
1,380,1,0.01,3,4,0.9964651465415955,0.0036036784294992685,0.0600306457528092,0.17549094557762146
1,380,1,0.01,3,5,0.9961569905281067,0.0039177811704576015,0.06259218138439977,0.1419897824525833
1,380,1,0.01,3,6,0.9965168237686157,0.0035509446170181036,0.0595898029617325,0.14197635650634766
1,380,1,0.01,3,7,0.9960805773735046,0.00399567699059844,0.06321136757418273,0.11943580955266953
1,380,1,0.01,3,8,0.997477114200592,0.0025720081757754087,0.05071496993763684,0.11431758105754852
1,380,1,0.01,3,9,0.9959850907325745,0.00409307237714529,0.06397712385802672,0.09621252119541168
1,380,1,0.01,3,10,0.9970188140869141,0.0030391935724765062,0.05512888147311268,0.0934443324804306
1,380,1,0.01,3,11,0.9966254830360413,0.003440199187025428,0.05865321122517869,0.09622165560722351
1,380,1,0.01,3,12,0.9967716336250305,0.003291207365691662,0.05736904536151584,0.09898006170988083
1,380,1,0.01,3,13,0.9967324137687683,0.0033312090672552586,0.05771662730318932,0.09410981088876724
1,380,1,0.01,3,14,0.9942561388015747,0.0058556245639920235,0.07652205279520423,0.09926485270261765
1,380,1,0.01,3,15,0.9938257336616516,0.006294419057667255,0.07933737491036148,0.08891493082046509
1,380,1,0.01,3,16,0.9967058300971985,0.0033583040349185467,0.05795087604962108,0.10474849492311478
1,380,1,0.01,3,17,0.9943507313728333,0.005759232211858034,0.07588960542694918,0.09769538044929504
1,380,1,0.01,3,18,0.9961049556732178,0.003970877267420292,0.06301489718646133,0.08642235398292542
1,380,1,0.01,3,19,0.9940566420555115,0.006059014238417149,0.07783967008163092,0.10375919938087463
1,380,1,0.01,3,20,0.9941296577453613,0.005984625779092312,0.07736036310083033,0.12392524629831314
1,380,1,0.01,3,21,0.9956437945365906,0.004440993070602417,0.06664077633553211,0.09044346213340759
1,380,1,0.01,3,22,0.9946889877319336,0.005414354149252176,0.07358229508008143,0.083058662712574
1,380,1,0.01,3,23,0.996677815914154,0.003386819502338767,0.05819638736501405,0.08025228977203369
1,380,1,0.01,3,24,0.9965841770172119,0.0034822768066078424,0.05901081940295222,0.08950052410364151
1,380,1,0.01,3,25,0.9955260753631592,0.004561023786664009,0.06753535212512043,0.12055440247058868
1,380,1,0.01,3,26,0.9955416321754456,0.004545161966234446,0.0674178163858371,0.07907264679670334
1,380,1,0.01,3,27,0.9954059720039368,0.004683422856032848,0.06843553796115617,0.08302464336156845
1,380,1,0.01,3,28,0.996329128742218,0.003742304164916277,0.061174375067639855,0.09427487105131149
1,380,1,0.01,3,29,0.996311604976654,0.0037602013908326626,0.061320481006207565,0.07003618031740189
1,380,1,0.01,3,30,0.9968054294586182,0.0032567724119871855,0.057068138325927414,0.08408872038125992
1,380,1,0.01,3,31,0.9971765279769897,0.002878416096791625,0.053650872283604344,0.09187223762273788
1,380,1,0.01,3,32,0.9953271746635437,0.004763753153383732,0.06901994750348432,0.11090747267007828
1,380,1,0.01,3,33,0.9956335425376892,0.004451465327292681,0.06671930250903917,0.09061130881309509
1,380,1,0.01,3,34,0.9953740835189819,0.004715955350548029,0.0686728137660605,0.08320853114128113
1,380,1,0.01,3,35,0.9939450025558472,0.006172856315970421,0.07856752710866252,0.08278173953294754
1,380,1,0.01,3,36,0.9944073557853699,0.005701499059796333,0.0755082714660873,0.07836837321519852
1,380,1,0.01,3,37,0.9960503578186035,0.004026534501463175,0.06345498011553684,0.0928569957613945
1,380,1,0.01,3,38,0.9962425827980042,0.003830550704151392,0.06189144289925217,0.08685474097728729
1,380,1,0.01,3,39,0.9965171813964844,0.0035506205167621374,0.05958708347252899,0.10199497640132904
1,380,1,0.01,3,40,0.9947963953018188,0.005304905120283365,0.07283477960619751,0.08086419850587845
1,380,1,0.01,3,41,0.9969163537025452,0.003143687266856432,0.05606859430069949,0.0842931866645813
1,380,1,0.01,3,42,0.99547278881073,0.004615304991602898,0.0679360360309821,0.08863960951566696
1,380,1,0.01,3,43,0.995323896408081,0.0047670998610556126,0.0690441877427464,0.08218628168106079
1,380,1,0.01,3,44,0.9952872395515442,0.004804491065442562,0.06931443619797079,0.10123671591281891
1,380,1,0.01,3,45,0.997374951839447,0.0026761507615447044,0.05173152579950358,0.08669377863407135
1,380,1,0.01,3,46,0.9958152174949646,0.004266226664185524,0.06531635831999151,0.08641330152750015
1,380,1,0.01,3,47,0.9959388971328735,0.00414017029106617,0.06434415506529066,0.09419688582420349
1,380,1,0.01,3,48,0.9971542954444885,0.0029011000879108906,0.05386186116270854,0.08686843514442444
1,380,1,0.01,3,49,0.9969534277915955,0.003105857176706195,0.055730217806017904,0.08612564206123352
1,380,1,0.01,3,50,0.9969140291213989,0.0031460437458008528,0.05608960461441008,0.09734386205673218
1,380,1,0.01,3,51,0.9960057735443115,0.004071943927556276,0.06381178517763217,0.07651365548372269
1,380,1,0.01,3,52,0.9957310557365417,0.004352002404630184,0.0659697082351452,0.08687152713537216
1,380,1,0.01,3,53,0.9970988631248474,0.0029575962107628584,0.05438378628564637,0.07243195921182632
1,380,1,0.01,3,54,0.9967753291130066,0.0032874159514904022,0.0573359917633802,0.09326580911874771
1,380,1,0.01,3,55,0.9969204664230347,0.0031394576653838158,0.05603086350739042,0.08745153993368149
1,380,1,0.01,3,56,0.9963878989219666,0.003682417795062065,0.06068292836590918,0.0984501838684082
1,380,1,0.01,3,57,0.996568500995636,0.0034982720389962196,0.0591461920921053,0.08055820316076279
1,380,1,0.01,3,58,0.9975031018257141,0.0025454943533986807,0.05045289241855892,0.07590911537408829
1,380,1,0.01,3,59,0.9980459213256836,0.0019921332132071257,0.04463331954053077,0.0870162844657898
1,380,1,0.01,3,60,0.9976730942726135,0.00237218476831913,0.04870507949197014,0.0934830829501152
1,380,1,0.01,3,61,0.9978007078170776,0.0022421034518629313,0.04735085481660211,0.08395301550626755
1,380,1,0.01,3,62,0.9976208209991455,0.0024254985619336367,0.04924935087829724,0.09149645268917084
1,380,1,0.01,3,63,0.9969323873519897,0.003127336036413908,0.055922589679072515,0.0870683342218399
1,380,1,0.01,3,64,0.997084379196167,0.0029723430052399635,0.05451919850144501,0.09417325258255005
1,380,1,0.01,3,65,0.9970083236694336,0.0030499324202537537,0.05522619324427272,0.07343418896198273
1,380,1,0.01,3,66,0.997610330581665,0.002436191076412797,0.04935778638080113,0.08450053632259369
1,380,1,0.01,3,67,0.9974082708358765,0.0026421924121677876,0.051402260769034154,0.07438737899065018
1,380,1,0.01,3,68,0.9977452754974365,0.002298613777384162,0.04794386068501536,0.07902737706899643
1,380,1,0.01,3,69,0.9976755380630493,0.0023697104770690203,0.04867967211340911,0.08075525611639023
1,380,1,0.01,3,70,0.9972975254058838,0.0027550854720175266,0.052488908085590105,0.0871107280254364
1,380,1,0.01,3,71,0.9973661303520203,0.002685140585526824,0.051818342172698116,0.07529313862323761
1,380,1,0.01,3,72,0.9964344501495361,0.003634932218119502,0.06029039905423999,0.08773373812437057
1,380,1,0.01,3,73,0.9968659281730652,0.003195094410330057,0.05652516616808886,0.07582428306341171
1,380,1,0.01,3,74,0.9968569874763489,0.003204191802069545,0.05660558101521037,0.08444975316524506
1,380,1,0.01,3,75,0.9978400468826294,0.002201987197622657,0.04692533641459224,0.07922308146953583
