,neurons,layers,learn_rate,epochs,jou_score,jou_mse,jou_mape,time
0,8,1,0.1,1000,0.7882299423217773,0.20062042772769928,0.5675762891769409,2025-11-11 12:40:56.689359
0,8,1,0.01,1000,0.7006701827049255,0.2616767883300781,1.7841148376464844,2025-11-11 12:40:59.481406
0,8,3,0.1,1000,0.7914672493934631,0.20954717695713043,1.170423150062561,2025-11-11 12:41:04.038373
0,8,3,0.01,1000,0.656568169593811,0.286417156457901,1.0501540899276733,2025-11-11 12:41:09.054740
0,8,5,0.1,1000,0.345947802066803,0.39057931303977966,2.0281424522399902,2025-11-11 12:41:15.406429
0,8,5,0.01,1000,-1239790.25,1.1515522003173828,4443.61279296875,2025-11-11 12:41:21.851337
0,8,10,0.1,1000,-3602829056.0,1.151745080947876,1807.7581787109375,2025-11-11 12:41:32.774962
0,8,10,0.01,1000,-80158760960.0,1.1517504453659058,1773.1107177734375,2025-11-11 12:41:43.344048
0,8,15,0.1,1000,-72113910185984.0,1.1517506837844849,1774.1995849609375,2025-11-11 12:41:58.475530
0,8,15,0.01,1000,-1625759475040256.0,1.1517506837844849,1774.069091796875,2025-11-11 12:42:30.943178
0,8,20,0.1,1000,-3.575834121034793e+17,1.1517506837844849,1774.155029296875,2025-11-11 12:43:16.240680
0,8,20,0.01,1000,-5.233754032014623e+17,1.1517508029937744,1774.3572998046875,2025-11-11 12:44:13.897451
0,15,1,0.1,1000,0.793136715888977,0.1968548446893692,0.8385974168777466,2025-11-11 12:44:19.338978
0,15,1,0.01,1000,0.7128391265869141,0.2540145516395569,0.6431297063827515,2025-11-11 12:44:24.898596
0,15,3,0.1,1000,0.7760910987854004,0.20146261155605316,1.641135811805725,2025-11-11 12:44:45.743622
0,15,3,0.01,1000,0.7056633234024048,0.2551092803478241,0.6765631437301636,2025-11-11 12:45:22.333736
0,15,5,0.1,1000,0.7776929140090942,0.21848395466804504,0.736207127571106,2025-11-11 12:46:17.250401
0,15,5,0.01,1000,-1446.0421142578125,1.1157747507095337,338.5848083496094,2025-11-11 12:46:51.925169
0,15,10,0.1,1000,-23450705920.0,1.1517465114593506,1759.7193603515625,2025-11-11 12:47:13.981388
0,15,10,0.01,1000,-126024196096.0,1.1517524719238281,1790.5799560546875,2025-11-11 12:47:34.153386
0,15,15,0.1,1000,-62793915039744.0,1.1517506837844849,1774.2484130859375,2025-11-11 12:48:13.556111
0,15,15,0.01,1000,-2270146571796480.0,1.1517506837844849,1774.8306884765625,2025-11-11 12:49:41.114663
0,15,20,0.1,1000,-2.4513594561396736e+17,1.1517508029937744,1774.185302734375,2025-11-11 12:51:34.246163
0,15,20,0.01,1000,-6.872017252070195e+16,1.1517506837844849,1774.84521484375,2025-11-11 12:53:27.427920
0,20,1,0.1,1000,0.7920263409614563,0.19799841940402985,0.3184587061405182,2025-11-11 12:53:44.990379
0,20,1,0.01,1000,0.7400712966918945,0.23513484001159668,0.8729265928268433,2025-11-11 12:54:02.683332
