epoch,rmse
1,0.12780695407699053
2,0.08446332571283899
3,0.0690377836425172
4,0.0586333796475636
5,0.055800394367990475
6,0.05025565513150374
7,0.04975450315489532
8,0.049433898713833996
9,0.04346651472061377
10,0.04132558718841534
11,0.038672751419173916
12,0.04504486537913763
13,0.039056363219771455
14,0.03735090072055952
15,0.0363853800056906
16,0.034972753406088464
17,0.03793745563408647
18,0.03634900260975571
19,0.03925079471577426
20,0.041377452741986835
21,0.03391479639925835
22,0.03260402449531403
23,0.03335755736616484
24,0.03317322857651578
25,0.04071956315174648
26,0.03397126513592902
27,0.03200678588956387
28,0.031645705851232594
29,0.03414747389058046
30,0.039961326546886694
31,0.032436327556826614
32,0.030988343803242127
33,0.03186870516592745
34,0.034659989204292245
35,0.030315593816301046
36,0.030565646462244776
37,0.029966425208167714
38,0.030860075686141426
39,0.031116317939376782
40,0.0365525717225916
41,0.03320308643226628
42,0.03201006284577269
43,0.03323872845199028
44,0.04142037709600684
45,0.03336730853201481
46,0.03172230134835219
47,0.03648979650881059
48,0.029218519252615646
49,0.035612042526965176
50,0.03142283744134754
51,0.028235231637098065
52,0.03547014073552575
53,0.029983670959871714
54,0.027412630075551836
55,0.033110311809403985
56,0.03395819080053248
57,0.04075518156518961
58,0.027781174439846693
59,0.030444947598330874
60,0.029265260526688472
61,0.03171985898522116
62,0.03265252333633994
63,0.033547434164418896
64,0.027178501302690478
65,0.029629280897989323
66,0.02886038303512289
67,0.035846987669746665
68,0.026324322304548144
69,0.027370701433176346
70,0.029576368103970983
71,0.030962378509387663
72,0.030694873783377458
73,0.03740509685413626
74,0.02750124130813793
75,0.02676433358470222
76,0.026222528672913085
77,0.02669289320401006
78,0.03423474849595557
79,0.026139022719328855
80,0.031774175960226546
81,0.027950367823957687
82,0.027939656327557686
83,0.028900820191535805
84,0.036473265141812525
85,0.032901383328655345
86,0.028081248695129197
87,0.028027500590772778
88,0.030716364024300852
89,0.028369203656072404
90,0.03684820956782551
91,0.028513315471439243
92,0.028618527035704815
93,0.026171507850605357
94,0.03192733432073195
95,0.026859046957748944
96,0.0325244211839165
97,0.02764316734659533
98,0.02715721966013165
99,0.03196441529329589
100,0.027098347445481147
