epoch,mape_mean,mape_std
1,0.5866191804409027,0.13659375759276687
2,0.4016739696264267,0.08377244832291747
3,0.3341813718279203,0.06054828152390685
4,0.29777931720018386,0.06014016174154016
5,0.26849753558635714,0.05415217998159802
6,0.25289934972922007,0.062270752050105835
7,0.23942471891641617,0.055637354644748074
8,0.2314226751526197,0.04521920059379811
9,0.20402244875828426,0.040087659291048024
10,0.19590989102919895,0.03245085583883051
11,0.19448884824911752,0.040412801831886495
12,0.192679975181818,0.03976898855691384
13,0.18016861155629157,0.03329470997204756
14,0.18237294852733613,0.03361256920867154
15,0.17778192609548568,0.03915830418217219
16,0.1698924628396829,0.03223510120056476
17,0.16367724562684696,0.03613569036494379
18,0.1702069878578186,0.03267016854043113
19,0.15976466313004495,0.030953692514106318
20,0.16751425514618556,0.036393952296802236
21,0.16768953849871954,0.03928927268751907
22,0.16039697130521138,0.035775837677681215
23,0.15973232562343279,0.034581383152830734
24,0.1531927267710368,0.02469552969746773
25,0.1528746912876765,0.03318656465670647
26,0.14695087000727652,0.029660814466242965
27,0.1537038857738177,0.04439488530449468
28,0.15097818225622178,0.03215227095513657
29,0.14449240614970524,0.03232107131020751
30,0.14282733152310054,0.02904630085276671
31,0.15186664859453838,0.03485960731023782
32,0.14436359604199728,0.03138638455738299
33,0.14882384364803633,0.03048032598687445
34,0.14814672643939655,0.033851427377636724
35,0.15231834178169568,0.030841717306280797
36,0.1486620470881462,0.0349212544738131
37,0.1435312713185946,0.03362835991577365
38,0.14875512545307476,0.03763880166527663
39,0.15003506044546763,0.03894328722556456
40,0.13674317424496016,0.027395914129472898
41,0.13633216296633086,0.02088574553580415
42,0.1410129298766454,0.031127975646183827
43,0.1497622403005759,0.04395440687395149
44,0.13729571551084518,0.024653278401803952
45,0.1380776971578598,0.022508250562442614
46,0.14319638932744663,0.03880702640754731
47,0.1340051052471002,0.03600343164180065
48,0.14327766622106233,0.036555214749404395
49,0.13445012172063192,0.02843194652294416
50,0.1436927981674671,0.04707475676439034
51,0.1313715805610021,0.025998839695715592
52,0.13352440893650055,0.025563603816774357
53,0.12585195302963256,0.02777897698299361
54,0.13191226422786712,0.024543632676353493
55,0.1418036657075087,0.037243294723752714
56,0.12950267791748046,0.023052076918363792
57,0.13725555936495462,0.030249736561332886
58,0.13609855497876802,0.040279353267799634
59,0.13347388034065563,0.03487323387835882
60,0.1286437491575877,0.02389848182725457
61,0.12840478519598644,0.024261787187931608
62,0.1372684992849827,0.030524995421226872
63,0.12872749840219816,0.028909715570696815
64,0.14276028151313463,0.033297599209138
65,0.12390198061863582,0.026473113318985386
66,0.14116196557879448,0.03508562718934233
67,0.13412808353702227,0.03709277733428906
68,0.12662009050448736,0.027268893212767327
69,0.12957235450545948,0.03496081066625807
70,0.1276133969426155,0.023754729191566498
71,0.1323264812429746,0.028350382468483266
72,0.12995326096812884,0.03107813070622587
73,0.1261947902540366,0.030118554247149144
74,0.13123203441500664,0.02479040110807084
75,0.11986913233995437,0.020165187045311228
76,0.12731735184788703,0.027861702043313244
77,0.12551113242904346,0.027421140496071555
78,0.12273462687929472,0.027636459271974195
79,0.125160334755977,0.027735876117444488
80,0.13901245271166165,0.049699121906338156
81,0.11917901809016863,0.025049215671944576
82,0.11545857489109039,0.018785751551936743
83,0.12839184949795404,0.03778366059280059
84,0.13566639522711435,0.04561515212474768
85,0.12153117880225181,0.021573663292247098
86,0.12006978491942087,0.02368811358142778
87,0.1252508339782556,0.021649824865427374
88,0.12443296189109485,0.02011439279507632
89,0.1165793811281522,0.01968489119235483
90,0.12467269971966743,0.032248510324626535
91,0.11989209701617559,0.026331612752903775
92,0.12288938835263252,0.03175219394472724
93,0.11348565717538198,0.025836457375631845
94,0.11573561802506446,0.023582076908031477
95,0.11613073448340099,0.020022331022467244
96,0.11496455743908882,0.025418204970985004
97,0.1267207644879818,0.034183413517592735
98,0.11447835167249044,0.024224307536513327
99,0.12437258859475454,0.02693068119529677
100,0.12373348996043206,0.02448922507319428
