epoch,mape
1,0.4705544114112854
2,0.2439815104007721
3,0.2149873524904251
4,0.1673336625099182
5,0.1406233161687851
6,0.1566624939441681
7,0.16551773250102997
8,0.12077245861291885
9,0.1402100771665573
10,0.10783251374959946
11,0.13160786032676697
12,0.1163576990365982
13,0.1733320653438568
14,0.13611842691898346
15,0.1778610199689865
16,0.1555146723985672
17,0.1224389597773552
18,0.09690678864717484
19,0.13824978470802307
20,0.12041879445314407
21,0.18053162097930908
22,0.11949600279331207
23,0.11536849290132523
24,0.1658419966697693
25,0.1733744740486145
26,0.18265144526958466
27,0.20982590317726135
28,0.16272886097431183
29,0.14731495082378387
30,0.10944987088441849
31,0.11614874750375748
32,0.09342130273580551
33,0.12434347718954086
34,0.12094108760356903
35,0.10816310346126556
36,0.10867540538311005
37,0.10750190913677216
38,0.13019360601902008
39,0.09656786173582077
40,0.11555212736129761
41,0.12908126413822174
42,0.15494029223918915
43,0.10109777003526688
44,0.09286011010408401
45,0.11306262016296387
46,0.10820373147726059
47,0.09636089205741882
48,0.12570741772651672
49,0.09748384356498718
50,0.08398211002349854
51,0.09505842626094818
52,0.09737195074558258
53,0.19459445774555206
54,0.20597361028194427
55,0.07756202667951584
56,0.15648876130580902
57,0.10465261340141296
58,0.09895234555006027
59,0.1425418257713318
60,0.15396185219287872
61,0.09862247854471207
62,0.15102341771125793
63,0.11512182652950287
64,0.11560922116041183
65,0.08431317657232285
66,0.10164748132228851
67,0.1513206511735916
68,0.088620625436306
69,0.07657182216644287
70,0.05046624317765236
71,0.10921972990036011
72,0.06474963575601578
73,0.16166117787361145
74,0.08090665191411972
75,0.09577830880880356
76,0.07462095469236374
77,0.08282376080751419
78,0.07317596673965454
79,0.08677079528570175
80,0.10053134709596634
81,0.06929134577512741
82,0.06968624889850616
83,0.14213258028030396
84,0.11651776731014252
85,0.10186730325222015
86,0.09895466268062592
87,0.09734981507062912
88,0.07969598472118378
89,0.08056052029132843
90,0.1507873237133026
91,0.07028444856405258
92,0.1139402911067009
93,0.11022675782442093
94,0.1129240095615387
95,0.09474717080593109
96,0.07488313317298889
97,0.11886641383171082
98,0.07940144091844559
99,0.11520181596279144
100,0.08187102526426315
