epoch,rmse
1,0.07610448582854512
2,0.05497346345575441
3,0.043234944777272154
4,0.0361377899504743
5,0.032105453099712154
6,0.029223818885956567
7,0.03250213944117123
8,0.026537113645652494
9,0.027879153272935584
10,0.026477325406371655
11,0.024325479496061547
12,0.024188209368116977
13,0.029505392932847464
14,0.02404777773734442
15,0.021101364029811092
16,0.022824164822860905
17,0.02400209944639539
18,0.032429658432333835
19,0.027403679593901425
20,0.019310035991894212
21,0.02576272002350157
22,0.02459542502577208
23,0.02053024351021371
24,0.026682151377666097
25,0.018918998684416728
26,0.024756523552285872
27,0.07484763135382538
28,0.024357466663545466
29,0.017642680810076083
30,0.02121909709401268
31,0.02193851732869609
32,0.02489076022405046
33,0.02215858840775544
34,0.02219699013392637
35,0.036685657807520436
36,0.017365598057375375
37,0.02972267096426734
38,0.02062564515713216
39,0.018486635368804613
40,0.03206542215917925
41,0.01841159436434403
42,0.025138468298014766
43,0.03761514343717388
44,0.02687062247763202
45,0.016144676761516007
46,0.03337469546765342
47,0.021742139386726256
48,0.024896744958877427
49,0.029903532306065083
50,0.03483041628729738
51,0.017174940607215586
52,0.017165075481187564
53,0.037043671730227365
54,0.03239552859341116
55,0.01887523771356977
56,0.01628427287422523
57,0.018483623454393625
58,0.016631772974661247
59,0.015831373279110272
60,0.02442759973010493
61,0.018168017862981892
62,0.027518801980681042
63,0.02384924202058855
64,0.03301388442040975
65,0.021325330070792688
66,0.02598552737387468
67,0.026506948716354086
68,0.014395507559573483
69,0.015397181913679994
70,0.014281627446837843
71,0.03071837645360093
72,0.023802198459795833
73,0.017311384518921835
74,0.016620528733190004
75,0.026061447771747084
76,0.026980571446941985
77,0.02017876418945341
78,0.025219722685024263
79,0.01648200863592406
80,0.01941299475956394
81,0.018838955731436197
82,0.018397558420586057
83,0.02650466813487217
84,0.016859874431355965
85,0.03598319470908536
86,0.01766449353159532
87,0.023954939348073103
88,0.016341022376845434
89,0.013662064919832283
90,0.013354065773204212
91,0.02441855985226264
92,0.020617141823999895
93,0.03453113354958883
94,0.018000800959019733
95,0.02443180035909354
96,0.01806982433358159
97,0.024518795673096026
98,0.018392853920997435
99,0.01622198206896621
100,0.014650585593237184
