seed,max_neurons,layers,lr,epoch,Hys_score,Hys_mse,Hys_rmse,Hys_mape
1,400,1,0.01,1,0.9957066178321838,0.004361338913440704,0.06604043392831928,0.25362688302993774
1,400,1,0.01,2,0.9980266690254211,0.0020045677665621042,0.044772399606924175,0.2034311592578888
1,400,1,0.01,3,0.9980437755584717,0.0019872139673680067,0.044578178152185705,0.23847074806690216
1,400,1,0.01,4,0.998673141002655,0.0013478397158905864,0.03671293662853173,0.16707028448581696
1,400,1,0.01,5,0.9987502694129944,0.0012695015175268054,0.03563006479824034,0.21513305604457855
1,400,1,0.01,6,0.9989808797836304,0.001035280292853713,0.032175771829961015,0.14649924635887146
1,400,1,0.01,7,0.9990615844726562,0.0009532793192192912,0.030875221767937007,0.2211230844259262
1,400,1,0.01,8,0.9992580413818359,0.0007536771008744836,0.027453180159582306,0.13416138291358948
1,400,1,0.01,9,0.9993730783462524,0.0006368340691551566,0.025235571504429153,0.14311188459396362
1,400,1,0.01,10,0.9983288645744324,0.001697619678452611,0.04120218050604374,0.25308331847190857
1,400,1,0.01,11,0.999052882194519,0.0009621104109100997,0.0310179046827812,0.16488347947597504
1,400,1,0.01,12,0.9992191791534424,0.0007932076696306467,0.028163942721690205,0.12526920437812805
1,400,1,0.01,13,0.9991291165351868,0.0008846826967783272,0.029743616067625794,0.18141266703605652
1,400,1,0.01,14,0.9989132881164551,0.0011039337841793895,0.03322549900572434,0.21231289207935333
1,400,1,0.01,15,0.9993672370910645,0.0006427792250178754,0.02535309103478066,0.18012072145938873
1,400,1,0.01,16,0.9995633959770203,0.00044351114775054157,0.021059704360473382,0.1421242654323578
1,400,1,0.01,17,0.9995566606521606,0.00045035124639980495,0.02122148077773568,0.17604902386665344
1,400,1,0.01,18,0.999561607837677,0.00044530531158670783,0.02110225844753845,0.16523344814777374
1,400,1,0.01,19,0.9992237091064453,0.0007886041421443224,0.02808209646989203,0.18411026895046234
1,400,1,0.01,20,0.9992561936378479,0.0007555900956504047,0.027487999120532666,0.22839032113552094
1,400,1,0.01,21,0.9992084503173828,0.000804087205324322,0.028356431463149978,0.12028340250253677
1,400,1,0.01,22,0.9996100068092346,0.0003961913753300905,0.01990455664741344,0.12055068463087082
1,400,1,0.01,23,0.9987630844116211,0.0012564908247441053,0.035447014327642676,0.1670050024986267
1,400,1,0.01,24,0.9986860156059265,0.0013347795465961099,0.03653463489069119,0.16180859506130219
1,400,1,0.01,25,0.9993364810943604,0.0006740366807207465,0.025962216406168918,0.10365714132785797
1,400,1,0.01,26,0.9989416599273682,0.001075110281817615,0.03278887436033166,0.10829304903745651
1,400,1,0.01,27,0.9996323585510254,0.00037343960138969123,0.019324585413138654,0.0793495923280716
1,400,1,0.01,28,0.9995647668838501,0.0004421421908773482,0.021027177434866245,0.10387560725212097
1,400,1,0.01,29,0.9990906119346619,0.0009237764170393348,0.03039369041494196,0.17419056594371796
1,400,1,0.01,30,0.9996895790100098,0.00031535420566797256,0.017758215159975187,0.09040877968072891
1,400,1,0.01,31,0.9996290802955627,0.00037680056993849576,0.01941135157423346,0.12042141705751419
1,400,1,0.01,32,0.9977788925170898,0.0022562756203114986,0.04750026968672387,0.15616847574710846
1,400,1,0.01,33,0.9992265701293945,0.0007856519659981132,0.028029483869634723,0.13975057005882263
1,400,1,0.01,34,0.99913489818573,0.0008788043633103371,0.02964463464626166,0.12206112593412399
1,400,1,0.01,35,0.999579906463623,0.0004267344775144011,0.020657552553833697,0.0862787738442421
1,400,1,0.01,36,0.9996241927146912,0.00038176836096681654,0.01953889354510169,0.10257352888584137
1,400,1,0.01,37,0.9995498657226562,0.0004572689940687269,0.021383848906797086,0.13139104843139648
1,400,1,0.01,38,0.9989671111106873,0.0010492289438843727,0.03239180365284361,0.17836186289787292
1,400,1,0.01,39,0.9994868040084839,0.0005212945397943258,0.02283187552073473,0.09964814782142639
1,400,1,0.01,40,0.9997410178184509,0.0002630756644066423,0.016219607406057716,0.0875726118683815
1,400,1,0.01,41,0.999317467212677,0.000693333160597831,0.026331220264124315,0.13149236142635345
1,400,1,0.01,42,0.998928964138031,0.0010879769688472152,0.03298449588590396,0.10871695727109909
1,400,1,0.01,43,0.9996206760406494,0.00038534949999302626,0.019630320934539664,0.10357916355133057
1,400,1,0.01,44,0.9995408058166504,0.00046644959365949035,0.02159744414646072,0.07497644424438477
1,400,1,0.01,45,0.9995653629302979,0.0004414962022565305,0.021011811018009145,0.07477303594350815
1,400,1,0.01,46,0.9996999502182007,0.00030480220448225737,0.017458585408968774,0.08081541210412979
1,400,1,0.01,47,0.9997583627700806,0.0002454887144267559,0.015668079474739586,0.08293226361274719
1,400,1,0.01,48,0.9993786811828613,0.0006311500328592956,0.025122699553576953,0.10130266100168228
1,400,1,0.01,49,0.9997499585151672,0.0002539900888223201,0.015937066506177357,0.07728948444128036
1,400,1,0.01,50,0.9995245337486267,0.00048297684406861663,0.021976734153841344,0.09043960273265839
1,400,1,0.01,51,0.9995731115341187,0.00043362242286093533,0.020823602542810293,0.12768664956092834
1,400,1,0.01,52,0.9996713995933533,0.00033380681998096406,0.018270380947888416,0.09578493982553482
1,400,1,0.01,53,0.9996123909950256,0.00039373725303448737,0.019842813637044706,0.07502274960279465
1,400,1,0.01,54,0.9989473819732666,0.001069285674020648,0.032699933853459824,0.11085624247789383
1,400,1,0.01,55,0.9997371435165405,0.0002670414396561682,0.016341402622056904,0.0953686535358429
1,400,1,0.01,56,0.9997447729110718,0.000259290769463405,0.016102508173058167,0.08979388326406479
1,400,1,0.01,57,0.9991825819015503,0.0008303796057589352,0.02881630798278876,0.15400001406669617
1,400,1,0.01,58,0.9986298084259033,0.0013919054763391614,0.03730824944082959,0.19110311567783356
1,400,1,0.01,59,0.9993477463722229,0.0006625904934480786,0.025740833192577094,0.10454186797142029
1,400,1,0.01,60,0.9996936917304993,0.00031115059391595423,0.017639461270570433,0.09684332460165024
1,400,1,0.01,61,0.9992135763168335,0.0007988853612914681,0.028264560164479265,0.153083935379982
1,400,1,0.01,62,0.99973464012146,0.0002695333387237042,0.016417470533663346,0.08831091225147247
1,400,1,0.01,63,0.9996204972267151,0.00038549938471987844,0.01963413824744744,0.10132363438606262
1,400,1,0.01,64,0.9994103908538818,0.0005989394849166274,0.024473240180176947,0.11419953405857086
1,400,1,0.01,65,0.9988718032836914,0.0011460420209914446,0.0338532423999747,0.12789011001586914
1,400,1,0.01,66,0.9997125267982483,0.0002920007973443717,0.01708803082114413,0.08075027912855148
1,400,1,0.01,67,0.999733567237854,0.0002706371305976063,0.016451052568076194,0.08958488702774048
1,400,1,0.01,68,0.9996339678764343,0.00037185000837780535,0.019283412778287077,0.07997868955135345
1,400,1,0.01,69,0.9991422891616821,0.0008712642011232674,0.02951718484414236,0.11476444453001022
1,400,1,0.01,70,0.9994180798530579,0.0005911619518883526,0.024313822239383765,0.15348264575004578
1,400,1,0.01,71,0.9996710419654846,0.0003341851115692407,0.01828073060819071,0.0988411158323288
1,400,1,0.01,72,0.9997526407241821,0.00025127845583483577,0.01585176507001147,0.10690575838088989
1,400,1,0.01,73,0.9994585514068604,0.0005500409752130508,0.023452952377324497,0.09594067931175232
1,400,1,0.01,74,0.999674916267395,0.0003302056575194001,0.018171561779863614,0.09158087521791458
1,400,1,0.01,75,0.9995020031929016,0.0005058997194282711,0.022492214640365476,0.09478709846735
1,400,1,0.01,76,0.9995428323745728,0.0004643863649107516,0.021549625632728556,0.09906776994466782
1,400,1,0.01,77,0.9998120665550232,0.00019088346743956208,0.01381605831775337,0.08112981915473938
1,400,1,0.01,78,0.9992953538894653,0.0007157853106036782,0.02675416436003334,0.15693534910678864
