seed,max_neurons,layers,lr,unlock_layers,epoch,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,380,1,0.01,3,1,0.9874781966209412,0.012733053416013718,0.11284083221960797,0.5685909390449524
1,380,1,0.01,3,2,0.9934706091880798,0.006639545783400536,0.08148340802519576,0.3990148603916168
1,380,1,0.01,3,3,0.9957579374313354,0.0043136319145560265,0.06567824536751897,0.3779643476009369
1,380,1,0.01,3,4,0.9962989091873169,0.0037635131739079952,0.06134747895315663,0.31369560956954956
1,380,1,0.01,3,5,0.9973732233047485,0.0026710752863436937,0.05168244659788944,0.26770341396331787
1,380,1,0.01,3,6,0.9964706301689148,0.003588894149288535,0.059907379756491894,0.29011091589927673
1,380,1,0.01,3,7,0.998006284236908,0.002027370734140277,0.045026333785244795,0.19892416894435883
1,380,1,0.01,3,8,0.9977998733520508,0.002237273845821619,0.04729982923670675,0.23482955992221832
1,380,1,0.01,3,9,0.9986534714698792,0.0013692653737962246,0.0370035859586098,0.19929273426532745
1,380,1,0.01,3,10,0.9987592101097107,0.0012617317261174321,0.035520863251298274,0.21020618081092834
1,380,1,0.01,3,11,0.9987741708755493,0.0012465080944821239,0.035305921521497266,0.1592128425836563
1,380,1,0.01,3,12,0.9988152384757996,0.001204746076837182,0.0347094522693341,0.1369619518518448
1,380,1,0.01,3,13,0.9983451962471008,0.001682725502178073,0.04102103731231175,0.16768349707126617
1,380,1,0.01,3,14,0.9986223578453064,0.001400864333845675,0.03742812223242939,0.23312565684318542
1,380,1,0.01,3,15,0.9987177848815918,0.0013038446195423603,0.036108788674536846,0.2566540241241455
1,380,1,0.01,3,16,0.9989275932312012,0.0010904938681051135,0.033022626608207796,0.20031559467315674
1,380,1,0.01,3,17,0.9990628957748413,0.0009529165690764785,0.030869346754936012,0.17150680720806122
1,380,1,0.01,3,18,0.9987799525260925,0.0012406536843627691,0.03522291419463712,0.18165607750415802
1,380,1,0.01,3,19,0.9988875985145569,0.0011311393463984132,0.03363241511397023,0.2168673574924469
1,380,1,0.01,3,20,0.9986610412597656,0.0013615568168461323,0.0368992793540217,0.2596825659275055
1,380,1,0.01,3,21,0.9982531070709229,0.0017763363430276513,0.042146605355919846,0.2653425335884094
1,380,1,0.01,3,22,0.9989050626754761,0.0011134266387671232,0.033368048171373815,0.19304627180099487
1,380,1,0.01,3,23,0.9981220960617065,0.0019096009200438857,0.04369898076664816,0.3205881118774414
1,380,1,0.01,3,24,0.998757004737854,0.0012639631750062108,0.035552259773553224,0.15620221197605133
1,380,1,0.01,3,25,0.9991322755813599,0.0008823414682410657,0.029704233170392832,0.1554647833108902
1,380,1,0.01,3,26,0.9989592432975769,0.001058305730111897,0.032531611243710276,0.10798712819814682
1,380,1,0.01,3,27,0.9990580081939697,0.0009578759199939668,0.030949570594662003,0.1707410365343094
1,380,1,0.01,3,28,0.999171257019043,0.0008427462889812887,0.029030092817304058,0.2667897641658783
1,380,1,0.01,3,29,0.99895179271698,0.0010658808751031756,0.0326478310934,0.1773374378681183
1,380,1,0.01,3,30,0.9991180300712585,0.0008968485053628683,0.02994742902759548,0.1808999627828598
1,380,1,0.01,3,31,0.9990676641464233,0.0009480838198214769,0.030790969777216775,0.17334848642349243
1,380,1,0.01,3,32,0.9984453916549683,0.0015808513853698969,0.03975992184813618,0.23460248112678528
1,380,1,0.01,3,33,0.9987751245498657,0.0012455654796212912,0.03529256975088795,0.19350512325763702
1,380,1,0.01,3,34,0.9991776347160339,0.0008362484513781965,0.0289179607057309,0.19526080787181854
1,380,1,0.01,3,35,0.9992422461509705,0.0007705255411565304,0.027758341830097316,0.17702756822109222
1,380,1,0.01,3,36,0.9984015226364136,0.0016254645306617022,0.04031705012351105,0.25141796469688416
1,380,1,0.01,3,37,0.9992552995681763,0.0007572625181637704,0.027518403263339434,0.24258507788181305
1,380,1,0.01,3,38,0.9991886019706726,0.0008250886457972229,0.02872435631649947,0.18081490695476532
1,380,1,0.01,3,39,0.9980016350746155,0.0020320506300777197,0.04507827226145341,0.19362163543701172
1,380,1,0.01,3,40,0.9989904165267944,0.0010266447206959128,0.03204129711319304,0.17111873626708984
1,380,1,0.01,3,41,0.9992737174034119,0.000738506147172302,0.027175469585129564,0.1750798523426056
1,380,1,0.01,3,42,0.999199390411377,0.0008141060243360698,0.028532543250402158,0.21457551419734955
1,380,1,0.01,3,43,0.9990718960762024,0.000943764578551054,0.03072075159482681,0.17924027144908905
1,380,1,0.01,3,44,0.9988746643066406,0.0011442925315350294,0.033827393212233034,0.1787830889225006
1,380,1,0.01,3,45,0.9992644786834717,0.0007479178020730615,0.027348085894136384,0.16460900008678436
1,380,1,0.01,3,46,0.9985671639442444,0.0014570333296433091,0.03817110595258289,0.21378356218338013
1,380,1,0.01,3,47,0.9991474151611328,0.0008669671369716525,0.029444305679904435,0.16492648422718048
1,380,1,0.01,3,48,0.9991360902786255,0.0008785079116933048,0.02963963413561822,0.1705874353647232
1,380,1,0.01,3,49,0.9992247819900513,0.0007882850477471948,0.028076414438941356,0.1623435616493225
1,380,1,0.01,3,50,0.998329758644104,0.001698412117548287,0.04121179585444302,0.2074843943119049
1,380,1,0.01,3,51,0.9993629455566406,0.0006478000432252884,0.025451916297703173,0.20118185877799988
1,380,1,0.01,3,52,0.9988594651222229,0.0011598028941079974,0.03405587899479321,0.16762040555477142
1,380,1,0.01,3,53,0.9992584586143494,0.0007540719234384596,0.027460370052831765,0.18894188106060028
1,380,1,0.01,3,54,0.998881459236145,0.0011374354362487793,0.03372588673776835,0.16338428854942322
1,380,1,0.01,3,55,0.9989517331123352,0.0010659807594493032,0.032649360781634044,0.20237943530082703
1,380,1,0.01,3,56,0.9989281296730042,0.0010899724438786507,0.0330147307103761,0.15129084885120392
1,380,1,0.01,3,57,0.9986149668693542,0.001408410957083106,0.03752880170060198,0.19117140769958496
1,380,1,0.01,3,58,0.9992329478263855,0.00077996333129704,0.02792782360473225,0.1935359537601471
