seed,max_neurons,layers,learn_rate,epoch,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,380,1,0.01,1,0.9850997924804688,0.014540380798280239,0.12058350135188578,0.41409021615982056
1,380,1,0.01,2,0.9907947778701782,0.008982903324067593,0.09477817957772555,0.32044461369514465
1,380,1,0.01,3,0.9873970150947571,0.012298653833568096,0.1108992959110566,0.4499393701553345
1,380,1,0.01,4,0.9948104023933411,0.005064265802502632,0.07116365506705394,0.285705029964447
1,380,1,0.01,5,0.9934074878692627,0.006433343514800072,0.08020812623917899,0.3217313587665558
1,380,1,0.01,6,0.9920327663421631,0.007774864323437214,0.08817519108818088,0.3632831871509552
1,380,1,0.01,7,0.9950481057167053,0.004832305945456028,0.06951478940093272,0.24775220453739166
1,380,1,0.01,8,0.9943915009498596,0.005473065190017223,0.0739801675452092,0.2583158314228058
1,380,1,0.01,9,0.9938148260116577,0.006035799626260996,0.07769040884344088,0.2749553620815277
1,380,1,0.01,10,0.9958946108818054,0.004006232600659132,0.06329480705918245,0.2598620355129242
1,380,1,0.01,11,0.996809720993042,0.003113242331892252,0.05579643655191837,0.2245912104845047
1,380,1,0.01,12,0.9967436790466309,0.003177663777023554,0.05637077059100358,0.23712283372879028
1,380,1,0.01,13,0.9946736097335815,0.005197783466428518,0.07209565497606994,0.3135482966899872
1,380,1,0.01,14,0.9949375987052917,0.00494014285504818,0.07028614980953346,0.31501975655555725
1,380,1,0.01,15,0.9963597655296326,0.0035523129627108574,0.05960128323040417,0.24432548880577087
1,380,1,0.01,16,0.9934402108192444,0.00640135770663619,0.08000848521648307,0.29329365491867065
1,380,1,0.01,17,0.9864371418952942,0.013235345482826233,0.11504497156688871,0.3882538378238678
1,380,1,0.01,18,0.9951558113098145,0.004727229941636324,0.06875485394963998,0.2780369818210602
1,380,1,0.01,19,0.9797750115394592,0.019736597314476967,0.14048700051775953,0.33797264099121094
1,380,1,0.01,20,0.9939514994621277,0.00590242026373744,0.07682721043834301,0.2833805978298187
1,380,1,0.01,21,0.9969179630279541,0.003007621970027685,0.05484179036125357,0.249443918466568
1,380,1,0.01,22,0.9933416843414307,0.006497502792626619,0.08060708897253777,0.28273504972457886
1,380,1,0.01,23,0.994255542755127,0.005605725571513176,0.07487139354595436,0.3352823257446289
1,380,1,0.01,24,0.9933722615242004,0.006467687431722879,0.08042193377259017,0.36545246839523315
1,380,1,0.01,25,0.9957991242408752,0.004099415615200996,0.06402667893309004,0.21338483691215515
1,380,1,0.01,26,0.9953319430351257,0.004555345978587866,0.06749330321289562,0.28064975142478943
1,380,1,0.01,27,0.9962165355682373,0.0036920870188623667,0.06076254618481986,0.237233966588974
1,380,1,0.01,28,0.9966303706169128,0.003288248321041465,0.0573432500041763,0.24290844798088074
1,380,1,0.01,29,0.9840853810310364,0.015530312433838844,0.12462067418305377,0.4203418791294098
1,380,1,0.01,30,0.9943892955780029,0.005475218407809734,0.073994718783233,0.30907467007637024
1,380,1,0.01,31,0.9978304505348206,0.0021171579137444496,0.04601258429760764,0.17610804736614227
1,380,1,0.01,32,0.9960476160049438,0.0038569560274481773,0.06210439620065698,0.25743117928504944
1,380,1,0.01,33,0.996535062789917,0.0033812420442700386,0.058148448339315456,0.20246534049510956
1,380,1,0.01,34,0.9971341490745544,0.002796667627990246,0.0528835288912365,0.18810275197029114
1,380,1,0.01,35,0.9971287250518799,0.0028019375167787075,0.052933330867976816,0.2414126694202423
1,380,1,0.01,36,0.9792293906211853,0.020269015803933144,0.14236929375372046,0.44668442010879517
1,380,1,0.01,37,0.9884416460990906,0.011279231868684292,0.10620372812987448,0.4056851863861084
1,380,1,0.01,38,0.9956444501876831,0.004250349476933479,0.06519470436265111,0.22006487846374512
1,380,1,0.01,39,0.9962544441223145,0.003655129810795188,0.06045766957793848,0.17709530889987946
1,380,1,0.01,40,0.9948497414588928,0.005025871563702822,0.07089338166361386,0.29865026473999023
1,380,1,0.01,41,0.9953438639640808,0.004543700255453587,0.06740697482793295,0.26012593507766724
1,380,1,0.01,42,0.9950321316719055,0.0048478771932423115,0.06962669885354549,0.265509694814682
1,380,1,0.01,43,0.9886271953582764,0.011098185554146767,0.10534792619765596,0.27012720704078674
1,380,1,0.01,44,0.9969995617866516,0.00292800716124475,0.05411106320563984,0.18774071335792542
1,380,1,0.01,45,0.9953343868255615,0.004552941769361496,0.06747549013798637,0.27191755175590515
1,380,1,0.01,46,0.9977691173553467,0.002177024260163307,0.04665859256517825,0.2151530683040619
1,380,1,0.01,47,0.9972219467163086,0.0027109456714242697,0.052066742469874853,0.1929081231355667
1,380,1,0.01,48,0.9775030016899109,0.021953735500574112,0.14816793006779203,0.4582017958164215
1,380,1,0.01,49,0.9965873956680298,0.003330199047923088,0.057707876827371565,0.23799531161785126
1,380,1,0.01,50,0.9964737892150879,0.003441078821197152,0.058660709347885934,0.24094948172569275
1,380,1,0.01,51,0.9921652674674988,0.00764552503824234,0.08743869302684218,0.25312983989715576
1,380,1,0.01,52,0.9972771406173706,0.002657110569998622,0.05154716839942444,0.2119600474834442
1,380,1,0.01,53,0.9759591817855835,0.023460248485207558,0.15316738714624453,0.4707842767238617
1,380,1,0.01,54,0.9977430701255798,0.0022024281788617373,0.04693003493352351,0.16417832672595978
1,380,1,0.01,55,0.9981293678283691,0.001825476298108697,0.04272559301061481,0.16913796961307526
1,380,1,0.01,56,0.9967087507247925,0.0032117809168994427,0.056672576409577874,0.20865792036056519
1,380,1,0.01,57,0.9976492524147034,0.0022940076887607574,0.04789580032487981,0.18888221681118011
1,380,1,0.01,58,0.9965717196464539,0.0033454985823482275,0.057840285116415424,0.2619815468788147
1,380,1,0.01,59,0.9981377720832825,0.001817280543036759,0.042629573573245594,0.18659640848636627
1,380,1,0.01,60,0.9979170560836792,0.0020326648373156786,0.04508508442174284,0.2126263827085495
1,380,1,0.01,61,0.9974035620689392,0.0025337187107652426,0.05033605775947539,0.23740771412849426
1,380,1,0.01,62,0.9965407848358154,0.003375671338289976,0.05810052786584625,0.2599870264530182
1,380,1,0.01,63,0.9975841641426086,0.0023574847728013992,0.048553936738449946,0.16161325573921204
1,380,1,0.01,64,0.997874915599823,0.0020737722516059875,0.04553868961230645,0.1999209225177765
1,380,1,0.01,65,0.9969529509544373,0.0029734543059021235,0.05452938937767526,0.22482626140117645
1,380,1,0.01,66,0.9981756806373596,0.0017802536021918058,0.04219305158662746,0.158538356423378
1,380,1,0.01,67,0.9970880746841431,0.002841600915417075,0.05330666858299321,0.21882012486457825
1,380,1,0.01,68,0.985506534576416,0.01414347905665636,0.11892635980579058,0.2651669383049011
1,380,1,0.01,69,0.9975593090057373,0.0023817813489586115,0.04880349730253572,0.21835730969905853
1,380,1,0.01,70,0.9947929382324219,0.00508133415132761,0.07128347740765464,0.2452167123556137
1,380,1,0.01,71,0.9972206354141235,0.0027122246101498604,0.052079022745726136,0.1882486194372177
1,380,1,0.01,72,0.9978885054588318,0.002060523023828864,0.045392984301859514,0.17068088054656982
1,380,1,0.01,73,0.9976456165313721,0.00229754694737494,0.047932733568772604,0.19032132625579834
1,380,1,0.01,74,0.9934836030006409,0.00635904585942626,0.07974362582317322,0.29385027289390564
1,380,1,0.01,75,0.9972679615020752,0.002666093874722719,0.05163423161743302,0.17926783859729767
1,380,1,0.01,76,0.998094916343689,0.0018591033294796944,0.04311732052759882,0.1603011041879654
1,380,1,0.01,77,0.9979032874107361,0.002046063542366028,0.04523343389978289,0.18173134326934814
1,380,1,0.01,78,0.9978733658790588,0.0020752970594912767,0.04555542843055344,0.20183786749839783
1,380,1,0.01,79,0.9973572492599487,0.0025789591018110514,0.05078345303158354,0.15923699736595154
1,380,1,0.01,80,0.9942894577980042,0.005572660826146603,0.07465025670516212,0.24620255827903748
1,380,1,0.01,81,0.9975775480270386,0.002363975625485182,0.04862073246553554,0.20341786742210388
1,380,1,0.01,82,0.9976057410240173,0.002336427103728056,0.04833660211194055,0.19250604510307312
1,380,1,0.01,83,0.9981552958488464,0.0018001729622483253,0.042428445201872826,0.17666149139404297
1,380,1,0.01,84,0.99569171667099,0.004204249940812588,0.06484018769877666,0.21381130814552307
1,380,1,0.01,85,0.9972229599952698,0.0027099945582449436,0.05205760807264336,0.16503538191318512
1,380,1,0.01,86,0.9979150295257568,0.002034607343375683,0.045106621945959144,0.1889462172985077
1,380,1,0.01,87,0.9978305697441101,0.0021170370746403933,0.0460112711695775,0.20300807058811188
1,380,1,0.01,88,0.9973940849304199,0.0025429907254874706,0.05042807477474696,0.21854102611541748
1,380,1,0.01,89,0.9982672333717346,0.00169092183932662,0.041120820022546,0.1899750977754593
1,380,1,0.01,90,0.9984885454177856,0.0014749291585758328,0.03840480645148251,0.13634657859802246
1,380,1,0.01,91,0.9977216124534607,0.0022233854979276657,0.047152788866912904,0.2017897516489029
1,380,1,0.01,92,0.9972959756851196,0.0026387404650449753,0.05136867201948066,0.16334649920463562
1,380,1,0.01,93,0.9982843995094299,0.0016741767758503556,0.04091670533963305,0.186150461435318
1,380,1,0.01,94,0.9980754852294922,0.0018780501559376717,0.043336476044294046,0.2030131220817566
1,380,1,0.01,95,0.9976513385772705,0.002291949698701501,0.04787431146973814,0.14445647597312927
1,380,1,0.01,96,0.9981603026390076,0.0017952992348000407,0.042370971605570254,0.18397055566310883
1,380,1,0.01,97,0.9980601668357849,0.0018929783254861832,0.04350837075191604,0.1996440440416336
1,380,1,0.01,98,0.9966087341308594,0.0033093553502112627,0.05752699670773073,0.21580657362937927
1,380,1,0.01,99,0.998701274394989,0.0012673601740971208,0.035600002445184194,0.15294159948825836
1,380,1,0.01,100,0.9983059763908386,0.0016531053697690368,0.040658398514563224,0.16733157634735107
2,380,1,0.01,1,0.9912658929824829,0.008523223921656609,0.0923213080586308,0.37755417823791504
2,380,1,0.01,2,0.9825464487075806,0.017032058909535408,0.13050693050384493,0.39872369170188904
2,380,1,0.01,3,0.9900506734848022,0.00970909558236599,0.09853474302176866,0.35996052622795105
2,380,1,0.01,4,0.9920801520347595,0.007728623691946268,0.0879125912025477,0.3358112573623657
2,380,1,0.01,5,0.9929258227348328,0.006903348956257105,0.08308639453157843,0.24531322717666626
2,380,1,0.01,6,0.9960663318634033,0.0038386639207601547,0.06195695215841524,0.22355444729328156
2,380,1,0.01,7,0.9962612986564636,0.0036484033335000277,0.060402014316577456,0.22059230506420135
2,380,1,0.01,8,0.9936150312423706,0.006230775732547045,0.07893526292188457,0.22443562746047974
2,380,1,0.01,9,0.9951726794242859,0.004710722714662552,0.06863470488508384,0.2339710146188736
2,380,1,0.01,10,0.9943282604217529,0.00553475646302104,0.07439594386134932,0.30517059564590454
2,380,1,0.01,11,0.996747612953186,0.0031738493125885725,0.05633692672296362,0.23041822016239166
2,380,1,0.01,12,0.9930192828178406,0.006812173407524824,0.08253589163221552,0.3433774411678314
2,380,1,0.01,13,0.996822714805603,0.003100575413554907,0.055682810754800326,0.2905314862728119
2,380,1,0.01,14,0.9966642260551453,0.003255200106650591,0.057054360978373866,0.22421525418758392
2,380,1,0.01,15,0.9974305629730225,0.0025074079167097807,0.050074024371022756,0.2003140151500702
2,380,1,0.01,16,0.9972317814826965,0.002701390068978071,0.05197489845086829,0.2016534060239792
2,380,1,0.01,17,0.997184693813324,0.0027473068330436945,0.0524147577791188,0.19549517333507538
2,380,1,0.01,18,0.9961154460906982,0.003790730144828558,0.0615689056653483,0.20482583343982697
2,380,1,0.01,19,0.9839103817939758,0.015701087191700935,0.1253039791535007,0.334346741437912
2,380,1,0.01,20,0.9966748356819153,0.003244842868298292,0.0569635222602877,0.20745296776294708
2,380,1,0.01,21,0.9960132241249084,0.003890503663569689,0.06237390210312073,0.22135703265666962
2,380,1,0.01,22,0.9913265705108643,0.00846396666020155,0.09199981880526477,0.2355935275554657
2,380,1,0.01,23,0.9972795248031616,0.002654771553352475,0.05152447528459145,0.21212676167488098
2,380,1,0.01,24,0.9948858022689819,0.004990673158317804,0.07064469660432979,0.23479528725147247
2,380,1,0.01,25,0.9963750243186951,0.003537410870194435,0.05947613698109886,0.2052862048149109
2,380,1,0.01,26,0.9955986738204956,0.004295057617127895,0.06553668909189642,0.2849823534488678
2,380,1,0.01,27,0.9905510544776917,0.00922075193375349,0.09602474646544759,0.26641330122947693
2,380,1,0.01,28,0.9899022579193115,0.00985387247055769,0.09926667351411393,0.2515697181224823
2,380,1,0.01,29,0.997767448425293,0.0021786317229270935,0.046675815182245006,0.17731082439422607
2,380,1,0.01,30,0.9972317218780518,0.0027014536317437887,0.051975509922883766,0.2101525217294693
2,380,1,0.01,31,0.9981058835983276,0.001848396728746593,0.042992984645713925,0.18264171481132507
2,380,1,0.01,32,0.995378851890564,0.00450955331325531,0.06715320776593856,0.2125495970249176
2,380,1,0.01,33,0.9981444478034973,0.0018107682699337602,0.04255312291634728,0.19314956665039062
2,380,1,0.01,34,0.997876763343811,0.002071990631520748,0.045519123800011226,0.18668396770954132
2,380,1,0.01,35,0.997041642665863,0.0028869230300188065,0.053730094267726784,0.1918780505657196
2,380,1,0.01,36,0.9976429343223572,0.002300172345712781,0.04796011202773385,0.1818108707666397
2,380,1,0.01,37,0.9906426668167114,0.009131359867751598,0.09555814914360573,0.2957848012447357
2,380,1,0.01,38,0.9762781262397766,0.023149026557803154,0.15214804158385725,0.49247512221336365
2,380,1,0.01,39,0.9963343739509583,0.0035771187394857407,0.05980901888081546,0.22523140907287598
2,380,1,0.01,40,0.98737633228302,0.012318829074501991,0.11099022062552175,0.36605894565582275
2,380,1,0.01,41,0.9972711801528931,0.0026629106141626835,0.05160339731221854,0.24487662315368652
2,380,1,0.01,42,0.9978918433189392,0.0020572433713823557,0.045356844812909504,0.17311370372772217
2,380,1,0.01,43,0.9948793649673462,0.004996961448341608,0.07068918904854976,0.26215165853500366
2,380,1,0.01,44,0.9946138262748718,0.0052560907788574696,0.07249890191483917,0.20161883533000946
