,neurons,layers,learn_rate,epochs,jou_score,jou_mse,jou_mape,time
0,10,1,0.1,1000,0.9770171046257019,0.022016318514943123,0.8351007699966431,2025-11-12 01:08:19.082181
0,10,1,0.01,1000,0.9173008799552917,0.07489588856697083,0.9111303687095642,2025-11-12 01:08:22.016703
0,10,2,0.1,1000,0.9713572859764099,0.02539607509970665,1.151537537574768,2025-11-12 01:08:25.822366
0,10,2,0.01,1000,0.6990783214569092,0.18922173976898193,1.5475218296051025,2025-11-12 01:08:29.606673
0,10,3,0.1,1000,0.9584484100341797,0.04593977332115173,0.8321304321289062,2025-11-12 01:08:35.151832
0,10,3,0.01,1000,0.8647980093955994,0.11172191053628922,1.329012155532837,2025-11-12 01:08:40.130707
0,10,4,0.1,1000,0.936029851436615,0.07074761390686035,0.8541434407234192,2025-11-12 01:08:46.471268
0,10,4,0.01,1000,0.9175863862037659,0.07442804425954819,0.7615953683853149,2025-11-12 01:08:53.564005
0,10,5,0.1,1000,0.9426273107528687,0.05023004487156868,0.8702455163002014,2025-11-12 01:09:00.828796
0,10,5,0.01,1000,-5712.34814453125,0.9632236957550049,390.6044616699219,2025-11-12 01:09:08.203197
0,10,6,0.1,1000,0.9252333045005798,0.0824018344283104,0.9872044920921326,2025-11-12 01:09:18.024327
0,10,6,0.01,1000,-114017.59375,0.9731813073158264,2088.0146484375,2025-11-12 01:09:28.079698
0,10,7,0.1,1000,0.9516934752464294,0.041071224957704544,0.6185635924339294,2025-11-12 01:09:39.103192
0,10,7,0.01,1000,-3456802.25,0.9758005738258362,586.3453979492188,2025-11-12 01:09:50.417770
0,10,8,0.1,1000,-48612492.0,0.9758308529853821,498.42645263671875,2025-11-12 01:10:02.832478
0,10,8,0.01,1000,-65896260.0,0.9759052395820618,495.39947509765625,2025-11-12 01:10:15.014217
0,10,9,0.1,1000,-8537792000.0,0.9759435653686523,499.28253173828125,2025-11-12 01:10:28.845298
0,10,9,0.01,1000,-347133856.0,0.9759156107902527,499.8198547363281,2025-11-12 01:10:42.558575
0,10,10,0.1,1000,-863143680.0,0.9759272933006287,502.49163818359375,2025-11-12 01:10:57.534604
0,10,10,0.01,1000,-2752929280.0,0.9759519696235657,499.7932434082031,2025-11-12 01:11:13.091259
0,15,1,0.1,1000,0.9810709953308105,0.0181523896753788,0.525894820690155,2025-11-12 01:11:17.529373
0,15,1,0.01,1000,0.9002884030342102,0.0895477756857872,2.4703481197357178,2025-11-12 01:11:21.810894
0,15,2,0.1,1000,0.9750363826751709,0.0228795874863863,3.737656593322754,2025-11-12 01:11:27.957737
0,15,2,0.01,1000,0.9207816123962402,0.07248100638389587,0.6830381751060486,2025-11-12 01:11:33.962229
0,15,3,0.1,1000,0.9731457829475403,0.024945683777332306,0.560465395450592,2025-11-12 01:11:42.833413
0,15,3,0.01,1000,0.9201030135154724,0.0721716657280922,1.0615143775939941,2025-11-12 01:11:51.158516
0,15,4,0.1,1000,0.9718539714813232,0.02512427233159542,0.6705842614173889,2025-11-12 01:12:02.153843
0,15,4,0.01,1000,-125.87496185302734,0.8642492294311523,35.81446075439453,2025-11-12 01:12:11.910600
0,15,5,0.1,1000,0.9653674960136414,0.0347541980445385,0.7409061193466187,2025-11-12 01:12:23.434259
0,15,5,0.01,1000,-19.855077743530273,0.6962205767631531,11.159038543701172,2025-11-12 01:12:34.748412
0,15,6,0.1,1000,-90292.0625,0.9733237028121948,2096.2998046875,2025-11-12 01:12:47.958041
0,15,6,0.01,1000,-1662399.625,0.9759209156036377,1184.7860107421875,2025-11-12 01:13:00.945479
0,15,7,0.1,1000,0.9583457112312317,0.0427115261554718,1.4137163162231445,2025-11-12 01:13:15.788411
0,15,7,0.01,1000,-514728.3125,0.9745915532112122,2096.895263671875,2025-11-12 01:13:30.590886
0,15,8,0.1,1000,-5762829.5,0.9756796956062317,492.5965576171875,2025-11-12 01:13:47.307313
0,15,8,0.01,1000,-955282560.0,0.9759450554847717,499.4248352050781,2025-11-12 01:14:03.902916
0,15,9,0.1,1000,-42073505792.0,0.9759469032287598,499.09307861328125,2025-11-12 01:14:22.131966
0,15,9,0.01,1000,-3853769984.0,0.9759365916252136,494.28369140625,2025-11-12 01:14:40.616416
0,15,10,0.1,1000,-11775664128.0,0.9759559035301208,498.1465148925781,2025-11-12 01:15:00.684904
0,15,10,0.01,1000,-3289400576.0,0.9759378433227539,503.08758544921875,2025-11-12 01:15:20.639599
0,20,1,0.1,1000,0.9835669994354248,0.015826238319277763,0.535304844379425,2025-11-12 01:15:25.381432
0,20,1,0.01,1000,0.9330194592475891,0.06098301336169243,1.122917652130127,2025-11-12 01:15:30.208758
0,20,2,0.1,1000,0.976745069026947,0.02119731903076172,9.134408950805664,2025-11-12 01:15:37.160778
0,20,2,0.01,1000,0.920002818107605,0.07341931015253067,0.8108581304550171,2025-11-12 01:15:44.225866
0,20,3,0.1,1000,0.972909688949585,0.026716288179159164,5.406611919403076,2025-11-12 01:15:53.226017
0,20,3,0.01,1000,0.9325755834579468,0.06168583780527115,1.1674624681472778,2025-11-12 01:16:02.307203
0,20,4,0.1,1000,0.974258303642273,0.025735296308994293,0.6881043910980225,2025-11-12 01:16:15.740838
0,20,4,0.01,1000,-64.17568969726562,0.8137269020080566,35.40617752075195,2025-11-12 01:16:29.012171
0,20,5,0.1,1000,0.960389256477356,0.03599740192294121,1.3649818897247314,2025-11-12 01:16:44.816862
0,20,5,0.01,1000,-135791.75,0.974005401134491,1854.0234375,2025-11-12 01:17:00.683086
