lr,epochs,Jou_score,Jou_mse,Jou_mape,time
0.01,100,0.9956814646720886,0.004214233253151178,0.2763158679008484,24.465239
0.001,100,0.9957394003868103,0.004157728049904108,0.251605361700058,24.62163
0.0005,100,0.9954115152359009,0.004477689042687416,0.23713353276252747,24.534202
0.0001,100,0.9881472587585449,0.011566494591534138,0.49592265486717224,24.666451
