modelo,data_fraction,n_seeds,mape_mean,mape_std,area_std,cv_final,range,mape_best,mape_worst
Baseline,0.1,30,0.1623432951668898,0.049102534595283735,0.049102534595283735,0.30246111824209343,0.26611368358135234,0.1180786043405532,0.3841922879219055
Baseline,0.25,30,0.1047452442348003,0.02174723887438264,0.02174723887438264,0.2076202984990262,0.09671235084533689,0.0778143554925918,0.1745267063379287
Baseline,0.5,30,0.0785972780237595,0.017825023175809914,0.017825023175809914,0.2267893192232626,0.0717168264091014,0.0513194091618061,0.1230362355709075
Baseline,1.0,30,0.05990111306309697,0.015693554407961316,0.015693554407961316,0.2619910316429425,0.0706965401768684,0.0413532182574272,0.1120497584342956
TL_arq,0.1,30,0.18130522370338437,0.03330874048831475,0.03330874048831475,0.18371638614675495,0.1686862856149674,0.1264043897390365,0.2950906753540039
TL_arq,0.25,30,0.12738867675264673,0.030077946758962845,0.030077946758962845,0.2361116193817275,0.1123593524098396,0.0835112258791923,0.1958705782890319
TL_arq,0.5,30,0.09854493886232372,0.031656003571892216,0.031656003571892216,0.3212341895723183,0.1440692394971848,0.0567697584629058,0.2008389979600906
TL_arq,1.0,4,0.07974854763597247,0.017619377455931038,0.017619377455931038,0.22093665625558553,0.04505975916981699,0.0575953312218189,0.1026550903916359
TL_wei,0.1,30,0.13632223208745317,0.016757214930631776,0.016757214930631776,0.1229235662740742,0.06432790309190749,0.103353165090084,0.1676810681819915
TL_wei,0.25,30,0.11224955419699346,0.01650000538670399,0.01650000538670399,0.1469939502632424,0.0699321553111077,0.0869243070483207,0.1568564623594284
TL_wei,0.5,30,0.09739260772864021,0.014313381683761584,0.014313381683761584,0.14696579152744518,0.0661918818950653,0.0697270631790161,0.1359189450740814
TL_wei,1.0,30,0.086583287268877,0.011880031333652409,0.011880031333652409,0.13720928955677078,0.048403009772300803,0.0629767104983329,0.1113797202706337
