modelo,data_fraction,n_seeds,mape_mean,mape_std,area_std,cv_final,range,mape_best,mape_worst
Baseline,0.1,30,1.3209194928407668,0.7793645880772858,0.7793645880772858,0.5900167211562499,3.2565128803253174,0.3994412422180176,3.655954122543335
Baseline,0.25,30,0.7378171275059382,0.37159819816187956,0.37159819816187956,0.5036453943784177,1.5163795351982117,0.2464275956153869,1.7628071308135986
Baseline,0.5,30,0.7865545858939489,0.42387805891853214,0.42387805891853214,0.5389048217636145,2.144864857196808,0.2513365149497986,2.3962013721466064
Baseline,1.0,30,0.6946051930387814,0.29004837711157133,0.29004837711157133,0.41757300408690906,1.5205066949129102,0.2402245253324508,1.760731220245361
TL_arq,0.1,30,1.5240913033485413,0.7017218864641709,0.7017218864641709,0.4604198481563644,3.55940443277359,0.6590742468833923,4.218478679656982
TL_arq,0.25,30,0.772098516424497,0.3476920411630441,0.3476920411630441,0.4503208253438532,1.611242264509201,0.3291421234607696,1.9403843879699707
TL_arq,0.5,30,0.9394120196501414,0.7137704574527945,0.7137704574527945,0.7598055406174375,2.993709534406662,0.2810817062854767,3.2747912406921387
TL_arq,1.0,30,0.7209269553422928,0.32476408078462526,0.32476408078462526,0.45048125663497873,1.1527193784713745,0.3167399168014526,1.4694592952728271
TL_wei,0.1,30,1.3510809679826101,0.5103736563583999,0.5103736563583999,0.37775208773791935,1.8145312070846558,0.5351146459579468,2.3496458530426025
TL_wei,0.25,30,0.7300695836544037,0.2532639442296108,0.2532639442296108,0.34690384300340815,1.033449947834015,0.3470701575279236,1.3805201053619385
TL_wei,0.5,30,0.9352347989877065,0.6059865001020739,0.6059865001020739,0.6479511891110026,1.983474463224411,0.3248472511768341,2.308321714401245
TL_wei,1.0,30,0.7339879800875981,0.30836587972991714,0.30836587972991714,0.4201238822645503,1.0859070122241972,0.3544100224971771,1.4403170347213743
