modelo,data_fraction,n_seeds,mape_mean,mape_std,area_std,cv_final,range,mape_best,mape_worst
Baseline,0.1,30,0.2172095735867818,0.05390652066781272,0.05390652066781272,0.24817746187543355,0.19666191935539254,0.1270784139633178,0.3237403333187103
Baseline,0.25,30,0.17311838070551552,0.050483415406554884,0.050483415406554884,0.2916121049701252,0.17083012312650678,0.1109952703118324,0.2818253934383392
Baseline,0.5,30,0.1353464931249618,0.03542884013239735,0.03542884013239735,0.26176400521649906,0.16787774860858912,0.0665864646434784,0.2344642132520675
Baseline,1.0,30,0.12445860455433524,0.028731204398022535,0.028731204398022535,0.23084948204990738,0.1207472905516625,0.0748000815510749,0.1955473721027374
TL_arq,0.1,30,0.25485497812430064,0.055831271239505195,0.055831271239505195,0.21907075015923197,0.21472670137882233,0.149706169962883,0.3644328713417053
TL_arq,0.25,30,0.18818267559011773,0.06154998068483609,0.06154998068483609,0.32707570179785633,0.27616392821073527,0.1217779293656349,0.3979418575763702
TL_arq,0.5,30,0.1623814741770426,0.04934469874531585,0.04934469874531585,0.30388133249434546,0.18696770071983337,0.0916924774646759,0.2786601781845093
TL_arq,1.0,30,0.1251414100329081,0.03307561969948363,0.03307561969948363,0.2643059534872256,0.1302743330597877,0.0636836066842079,0.1939579397439956
TL_wei,0.1,30,0.29216267516215644,0.06385694603302884,0.06385694603302884,0.21856640653220638,0.2871706336736679,0.193314328789711,0.4804849624633789
TL_wei,0.25,30,0.20629620427886639,0.053225229129632304,0.053225229129632304,0.25800391876179984,0.2696474194526673,0.110133409500122,0.3797808289527893
TL_wei,0.5,30,0.16479912375410394,0.04454223322262136,0.04454223322262136,0.27028197849572694,0.15619930624961859,0.0927531868219375,0.2489524930715561
TL_wei,1.0,30,0.130947653700908,0.03282471748084782,0.03282471748084782,0.25067052790286243,0.1174514070153237,0.0768232718110084,0.1942746788263321
