modelo,data_fraction,n_seeds,mape_mean,mape_std,area_std,cv_final,range,mape_best,mape_worst
Baseline,0.1,30,0.37814705073833466,0.09260063389422556,0.09260063389422556,0.24487995797778192,0.4021714925765992,0.2421674728393554,0.6443389654159546
Baseline,0.25,30,0.2201831971605618,0.03090154336252441,0.03090154336252441,0.14034469369608804,0.15809060633182523,0.1583588272333145,0.3164494335651397
Baseline,0.5,30,0.23751217226187382,0.08618085179365959,0.08618085179365959,0.36284814783572084,0.4681776463985443,0.1783337295055389,0.6465113759040833
Baseline,1.0,30,0.17638463477293648,0.04628273718258098,0.04628273718258098,0.2623966494709797,0.2253330573439598,0.1229098811745643,0.3482429385185241
TL_arq,0.1,30,0.43016563455263773,0.1743175219359684,0.1743175219359684,0.4052334913207434,0.7591778337955475,0.2631485164165497,1.0223263502120972
TL_arq,0.25,30,0.22242206186056132,0.02982369890823173,0.02982369890823173,0.1340860643892804,0.14390957355499273,0.183856189250946,0.3277657628059387
TL_arq,0.5,30,0.24429182161887486,0.09224617823230072,0.09224617823230072,0.3776064938277633,0.46770164370536804,0.1447935402393341,0.6124951839447021
TL_arq,1.0,30,0.16634345104296996,0.025214924202206966,0.025214924202206966,0.15158351016592428,0.092523068189621,0.1311580836772918,0.2236811518669128
TL_wei,0.1,30,0.34429831703503927,0.1022969941471254,0.1022969941471254,0.2971173226406292,0.5705735981464386,0.2591782510280609,0.8297518491744995
TL_wei,0.25,30,0.22730587621529896,0.03672389152516333,0.03672389152516333,0.1615615580935501,0.1673908978700638,0.1812658756971359,0.3486567735671997
TL_wei,0.5,30,0.22625168710947036,0.0365019162831008,0.0365019162831008,0.16133323357469417,0.14499539136886602,0.1711906492710113,0.3161860406398773
TL_wei,1.0,30,0.21195489863554637,0.04957456633639342,0.04957456633639342,0.23389205276937822,0.25381915271282196,0.1574208587408065,0.4112400114536285
