modelo,data_fraction,n_seeds,mape_mean,mape_std,area_std,cv_final,range,mape_best,mape_worst
Baseline,0.1,30,0.20776738772789632,0.03930615151542528,0.03930615151542528,0.18918345148037763,0.1474409848451615,0.1475181728601455,0.294959157705307
Baseline,0.25,30,0.16720669244726494,0.05098478031140734,0.05098478031140734,0.3049206916612345,0.2451282739639283,0.099729299545288,0.3448575735092163
Baseline,0.5,30,0.1266090035438537,0.032879367805359716,0.032879367805359716,0.2596921773732407,0.11512193083763118,0.0884764641523361,0.2035983949899673
Baseline,1.0,30,0.0979405593127012,0.03298729180823941,0.03298729180823941,0.33680930596811004,0.1214240826666355,0.0601488314568996,0.1815729141235351
TL_arq,0.1,30,0.1966141983866691,0.0521410223343279,0.0521410223343279,0.26519459307707444,0.2420507818460464,0.1310911625623703,0.3731419444084167
TL_arq,0.25,30,0.14976995761195816,0.044236328619894516,0.044236328619894516,0.2953618290692668,0.1770542338490486,0.0831693038344383,0.2602235376834869
TL_arq,0.5,30,0.10829511632521945,0.03645729461399934,0.03645729461399934,0.33664763334770315,0.1767143085598946,0.064249537885189,0.2409638464450836
TL_arq,1.0,30,0.10293032800157861,0.027055250822573432,0.027055250822573432,0.2628501370573549,0.11343260854482651,0.0719708576798439,0.1854034662246704
TL_wei,0.1,30,0.23275838345289226,0.04127913865236529,0.04127913865236529,0.17734759126611535,0.16825741529464722,0.1565755307674408,0.324832946062088
TL_wei,0.25,30,0.1663978191713492,0.033614022647672624,0.033614022647672624,0.20200999517342458,0.11409639567136759,0.1088317409157753,0.2229281365871429
TL_wei,0.5,30,0.14564249118169145,0.030668069713084417,0.030668069713084417,0.21057089496516154,0.1265591755509376,0.0879918411374092,0.2145510166883468
TL_wei,1.0,30,0.13550414765874538,0.03433859437765533,0.03433859437765533,0.2534136037232889,0.1302276775240898,0.0798111632466316,0.2100388407707214
