modelo,data_fraction,n_seeds,mape_mean,mape_std,area_std,cv_final,range,mape_best,mape_worst
Baseline,0.1,30,0.1886494368314743,0.036695274325527036,0.036695274325527036,0.19451568444547188,0.1397162079811096,0.1441923677921295,0.2839085757732391
Baseline,0.25,30,0.14372532193859416,0.039352532066080845,0.039352532066080845,0.2738037496474977,0.20146663486957558,0.0919144004583358,0.2933810353279114
Baseline,0.5,30,0.12079768677552538,0.036357790062903406,0.036357790062903406,0.3009808468473901,0.16561176627874377,0.0862293913960456,0.2518411576747894
Baseline,1.0,30,0.09647354359428086,0.02480387903928377,0.02480387903928377,0.257105503904743,0.12204728275537491,0.0651079043745994,0.1871551871299743
TL_arq,0.1,30,0.1841057310501734,0.030338685878591027,0.030338685878591027,0.16478947018940426,0.1363092809915542,0.1254948228597641,0.2618041038513183
TL_arq,0.25,30,0.14346394240856167,0.024973033229065664,0.024973033229065664,0.17407184557877672,0.107288271188736,0.094627097249031,0.201915368437767
TL_arq,0.5,30,0.11626335506637889,0.030146057418009943,0.030146057418009943,0.2592911360660329,0.1441253125667572,0.0799437761306762,0.2240690886974334
TL_arq,1.0,30,0.09693157399694122,0.026854245347080034,0.026854245347080034,0.2770433228281989,0.1222065761685372,0.0629757121205329,0.1851822882890701
TL_wei,0.1,30,0.1569343288739522,0.021349267371845386,0.021349267371845386,0.13603949833686718,0.09799930453300482,0.1125070452690124,0.2105063498020172
TL_wei,0.25,30,0.12903319671750066,0.02118152474616632,0.02118152474616632,0.16415562262275943,0.08631128817796709,0.0921343341469764,0.1784456223249435
TL_wei,0.5,30,0.12648317764202752,0.01911392812495815,0.01911392812495815,0.1511183422277258,0.07934368401765819,0.0992147848010063,0.1785584688186645
TL_wei,1.0,30,0.10572959010799723,0.015392158684520678,0.015392158684520678,0.14558042520356312,0.064298577606678,0.0819366797804832,0.1462352573871612
