modelo,data_fraction,n_seeds,mape_mean,mape_std,area_std,cv_final,range,mape_best,mape_worst
Baseline,0.1,30,0.20776738772789632,0.03930615151542528,0.03930615151542528,0.18918345148037763,0.1474409848451615,0.1475181728601455,0.294959157705307
Baseline,0.25,30,0.16720669244726494,0.05098478031140734,0.05098478031140734,0.3049206916612345,0.2451282739639283,0.099729299545288,0.3448575735092163
Baseline,0.5,30,0.1266090035438537,0.032879367805359716,0.032879367805359716,0.2596921773732407,0.11512193083763118,0.0884764641523361,0.2035983949899673
Baseline,1.0,30,0.0979405593127012,0.03298729180823941,0.03298729180823941,0.33680930596811004,0.1214240826666355,0.0601488314568996,0.1815729141235351
TL_arq,0.1,30,0.1966141983866691,0.0521410223343279,0.0521410223343279,0.26519459307707444,0.2420507818460464,0.1310911625623703,0.3731419444084167
TL_arq,0.25,30,0.14976995761195816,0.044236328619894516,0.044236328619894516,0.2953618290692668,0.1770542338490486,0.0831693038344383,0.2602235376834869
TL_arq,0.5,30,0.10829511632521945,0.03645729461399934,0.03645729461399934,0.33664763334770315,0.1767143085598946,0.064249537885189,0.2409638464450836
TL_arq,1.0,30,0.10293032800157861,0.027055250822573432,0.027055250822573432,0.2628501370573549,0.11343260854482651,0.0719708576798439,0.1854034662246704
TL_wei,0.1,30,0.22176248331864673,0.0513038844880724,0.0513038844880724,0.23134609479618212,0.2757068425416946,0.1274883896112442,0.4031952321529388
TL_wei,0.25,30,0.17130259945988652,0.05104971747702791,0.05104971747702791,0.29800900650653633,0.2143620178103447,0.1019866839051246,0.3163487017154693
TL_wei,0.5,30,0.14110540524125095,0.03504895256825547,0.03504895256825547,0.24838844768796434,0.1392102837562561,0.0988809317350387,0.2380912154912948
TL_wei,1.0,30,0.11403474683562911,0.026461827624939635,0.026461827624939635,0.23205056668457372,0.1243148371577263,0.0716265812516212,0.1959414184093475
