modelo,data_fraction,n_seeds,mape_mean,mape_std,area_std,cv_final,range,mape_best,mape_worst
Baseline,0.1,30,0.2172095735867818,0.05390652066781272,0.05390652066781272,0.24817746187543355,0.19666191935539254,0.1270784139633178,0.3237403333187103
Baseline,0.25,30,0.17311838070551552,0.050483415406554884,0.050483415406554884,0.2916121049701252,0.17083012312650678,0.1109952703118324,0.2818253934383392
Baseline,0.5,30,0.1353464931249618,0.03542884013239735,0.03542884013239735,0.26176400521649906,0.16787774860858912,0.0665864646434784,0.2344642132520675
Baseline,1.0,30,0.12445860455433524,0.028731204398022535,0.028731204398022535,0.23084948204990738,0.1207472905516625,0.0748000815510749,0.1955473721027374
TL_arq,0.1,30,0.23109253893295925,0.07438726946042007,0.07438726946042007,0.3218938603725327,0.3319035023450852,0.1223010271787643,0.4542045295238495
TL_arq,0.25,30,0.17588142404953636,0.0429788513903337,0.0429788513903337,0.24436265297822962,0.1891836002469063,0.1224643215537071,0.3116479218006134
TL_arq,0.5,30,0.15545696864525474,0.06893613794504228,0.06893613794504228,0.44344192830847745,0.3725188970565796,0.0778593122959137,0.4503782093524933
TL_arq,1.0,30,0.12298762227098144,0.0400396150167614,0.0400396150167614,0.32555808688244414,0.16080213338136679,0.0622476413846015,0.2230497747659683
TL_wei,0.1,30,0.2858979120850563,0.051901963525396215,0.051901963525396215,0.18154019785200484,0.2062451839447022,0.1700198352336883,0.3762650191783905
TL_wei,0.25,30,0.20054021378358206,0.041685456556131234,0.041685456556131234,0.20786582286741315,0.14881847798824313,0.1421031206846237,0.2909215986728668
TL_wei,0.5,30,0.15726699059208232,0.036476887243860036,0.036476887243860036,0.23194242546723268,0.166829489171505,0.0993244722485542,0.2661539614200592
TL_wei,1.0,30,0.14356550226608908,0.028605788827878106,0.028605788827878106,0.19925252498931942,0.11499737203121191,0.0962597578763961,0.211257129907608
