neurons,layers,lr,unlock_layers,epochs,Hys_score,Hys_mse,Hys_mape,time
390,2,0.01,0,100,0.993199348449707,0.006908344570547342,0.5897947549819946,28.521732
390,2,0.01,1,100,0.9982297420501709,0.0017982798162847757,0.29759180545806885,28.839082
390,2,0.01,2,100,0.9983496069908142,0.0016765237087383866,0.27334198355674744,29.639072
390,2,0.01,3,100,0.9994897246360779,0.0005183438188396394,0.12794902920722961,29.668104
390,2,0.01,4,100,0.9995103478431702,0.0004974134499207139,0.13003429770469666,30.945292
