seed,max_neurons,layers,lr,unlock_layers,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
26,350,1,0.01,3,100,5761,0.25,0.9964147806167603,0.003498651785776019,0.059149402243606986,0.21485000848770142
27,350,1,0.01,3,100,5761,0.25,0.9969384074211121,0.002987675601616502,0.05465963411528202,0.203527569770813
28,350,1,0.01,3,100,5761,0.25,0.9966651201248169,0.0032543300185352564,0.05704673538893577,0.2355680763721466
29,350,1,0.01,3,100,5761,0.25,0.9963005185127258,0.003610157873481512,0.0600845893177403,0.21574239432811737
30,350,1,0.01,3,100,5761,0.25,0.9966017603874207,0.0033161870669573545,0.05758634444863951,0.2668054699897766
1,350,1,0.01,3,100,11523,0.5,0.9968401193618774,0.0030835673678666353,0.05552987815461723,0.20441560447216034
2,350,1,0.01,3,100,11523,0.5,0.9923737645149231,0.007442066445946693,0.08626741242176383,0.24356621503829956
3,350,1,0.01,3,100,11523,0.5,0.9946326613426208,0.0052377306856215,0.07237216789361432,0.29094550013542175
4,350,1,0.01,3,100,11523,0.5,0.9972073435783386,0.0027252035215497017,0.05220348189105495,0.17119064927101135
5,350,1,0.01,3,100,11523,0.5,0.9954127669334412,0.004476443398743868,0.06690622840023093,0.24534830451011658
6,350,1,0.01,3,100,11523,0.5,0.9963232278823853,0.0035879858769476414,0.0598997986386235,0.20566466450691223
7,350,1,0.01,3,100,11523,0.5,0.9950305819511414,0.0048494418151676655,0.06963793373706363,0.22851096093654633
8,350,1,0.01,3,100,11523,0.5,0.996378481388092,0.0035340855829417706,0.05944817560650428,0.17199040949344635
9,350,1,0.01,3,100,11523,0.5,0.9972302913665771,0.0027028056792914867,0.05198851487868726,0.1845690906047821
10,350,1,0.01,3,100,11523,0.5,0.9966984987258911,0.003221761202439666,0.05676056027242566,0.23102101683616638
11,350,1,0.01,3,100,11523,0.5,0.997149646282196,0.0027815201319754124,0.052740118808886016,0.20765350759029388
12,350,1,0.01,3,100,11523,0.5,0.9964183568954468,0.003495139302685857,0.05911970316811356,0.19952689111232758
13,350,1,0.01,3,100,11523,0.5,0.997134268283844,0.0027965253684669733,0.05288218384736936,0.18172164261341095
14,350,1,0.01,3,100,11523,0.5,0.9934886693954468,0.0063540940172970295,0.0797125712626122,0.2508799433708191
15,350,1,0.01,3,100,11523,0.5,0.9944593906402588,0.00540683651342988,0.07353119415207317,0.2407391369342804
16,350,1,0.01,3,100,11523,0.5,0.9966953992843628,0.003224814310669899,0.05678744853107858,0.18155229091644287
17,350,1,0.01,3,100,11523,0.5,0.9965472221374512,0.0033693963196128607,0.05804650135548964,0.207962766289711
18,350,1,0.01,3,100,11523,0.5,0.9776967167854309,0.02176472172141075,0.14752871490462713,0.3161860406398773
19,350,1,0.01,3,100,11523,0.5,0.9961420297622681,0.0037648321595042944,0.061358228132046756,0.23053628206253052
20,350,1,0.01,3,100,11523,0.5,0.9969087243080139,0.003016628324985504,0.05492384113466122,0.24381253123283386
21,350,1,0.01,3,100,11523,0.5,0.9960616827011108,0.0038432159926742315,0.061993677037857915,0.287068635225296
22,350,1,0.01,3,100,11523,0.5,0.996843695640564,0.0030800732783973217,0.05549840789065324,0.23265521228313446
23,350,1,0.01,3,100,11523,0.5,0.9968515038490295,0.003072456456720829,0.05542974343004691,0.18382394313812256
24,350,1,0.01,3,100,11523,0.5,0.9962791204452515,0.0036310364957898855,0.06025808241049399,0.19143320620059967
25,350,1,0.01,3,100,11523,0.5,0.9961035251617432,0.0038023903034627438,0.06166352490299872,0.2491643875837326
26,350,1,0.01,3,100,11523,0.5,0.9972110390663147,0.002721583703532815,0.05216880009673229,0.20844107866287231
27,350,1,0.01,3,100,11523,0.5,0.9966339468955994,0.0032847472466528416,0.05731271452873997,0.22135865688323975
28,350,1,0.01,3,100,11523,0.5,0.992958664894104,0.006871314253658056,0.08289339089250757,0.2853793203830719
29,350,1,0.01,3,100,11523,0.5,0.9956780076026917,0.004217649810016155,0.0649434354651504,0.24077853560447693
30,350,1,0.01,3,100,11523,0.5,0.9955752491950989,0.004317895043641329,0.06571069200397549,0.24965418875217438
1,350,1,0.01,3,100,23046,1.0,0.9942626953125,0.005598784424364567,0.07482502538833226,0.22267338633537292
2,350,1,0.01,3,100,23046,1.0,0.9969373941421509,0.0029886472038924694,0.054668521142358234,0.1840939074754715
3,350,1,0.01,3,100,23046,1.0,0.9959717392921448,0.003931010141968727,0.06269776823754357,0.16796793043613434
4,350,1,0.01,3,100,23046,1.0,0.9976896643638611,0.002254537306725979,0.04748196822716998,0.1895262748003006
5,350,1,0.01,3,100,23046,1.0,0.9972163438796997,0.0027164521161466837,0.0521195943589998,0.18001866340637207
6,350,1,0.01,3,100,23046,1.0,0.9969264268875122,0.0029993478674441576,0.05476630229844039,0.1850813776254654
7,350,1,0.01,3,100,23046,1.0,0.9968054890632629,0.0031173613388091326,0.05583333537242006,0.20487144589424133
8,350,1,0.01,3,100,23046,1.0,0.993096649646759,0.006736658979207277,0.08207715260172758,0.2602390646934509
9,350,1,0.01,3,100,23046,1.0,0.9977563619613647,0.002189487451687455,0.04679195926318383,0.18359260261058807
10,350,1,0.01,3,100,23046,1.0,0.9976887702941895,0.002255441155284643,0.0474914850819033,0.15742085874080658
11,350,1,0.01,3,100,23046,1.0,0.9976155757904053,0.0023268654476851225,0.04823759371781643,0.19344456493854523
12,350,1,0.01,3,100,23046,1.0,0.9961953163146973,0.003712813137099147,0.06093285761474795,0.234975203871727
13,350,1,0.01,3,100,23046,1.0,0.9926843047142029,0.0071390350349247456,0.08449281055169573,0.19808931648731232
14,350,1,0.01,3,100,23046,1.0,0.9976606369018555,0.0022828998044133186,0.04777970075684149,0.21640197932720184
15,350,1,0.01,3,100,23046,1.0,0.9968348741531372,0.0030886714812368155,0.05557581741402294,0.1662854552268982
16,350,1,0.01,3,100,23046,1.0,0.9964460134506226,0.0034681891556829214,0.05889133345139097,0.22378265857696533
17,350,1,0.01,3,100,23046,1.0,0.9968904852867126,0.0030344531405717134,0.05508587060736821,0.18019214272499084
18,350,1,0.01,3,100,23046,1.0,0.9959143400192261,0.003986977506428957,0.0631425174223277,0.2969115376472473
19,350,1,0.01,3,100,23046,1.0,0.9919753074645996,0.007830923423171043,0.08849250489827397,0.41124001145362854
20,350,1,0.01,3,100,23046,1.0,0.9975739121437073,0.0023675241973251104,0.048657211154412766,0.16743382811546326
21,350,1,0.01,3,100,23046,1.0,0.9960683584213257,0.0038366804365068674,0.06194094313543238,0.2902323007583618
22,350,1,0.01,3,100,23046,1.0,0.9973390102386475,0.002596749924123287,0.05095831555421831,0.23683275282382965
23,350,1,0.01,3,100,23046,1.0,0.9967406392097473,0.0031806586775928736,0.05639732863880056,0.2231377810239792
24,350,1,0.01,3,100,23046,1.0,0.9971051216125488,0.0028249849565327168,0.05315058754644879,0.2155512124300003
25,350,1,0.01,3,100,23046,1.0,0.9963995814323425,0.00351345119997859,0.05927437220231514,0.1815820187330246
26,350,1,0.01,3,100,23046,1.0,0.9948216080665588,0.005053323227912188,0.07108673032227736,0.21202445030212402
27,350,1,0.01,3,100,23046,1.0,0.9956931471824646,0.004202875308692455,0.06482958667685963,0.2029145210981369
28,350,1,0.01,3,100,23046,1.0,0.996967613697052,0.0029591426718980074,0.05439800246238834,0.19431790709495544
29,350,1,0.01,3,100,23046,1.0,0.9966264367103577,0.003292080946266651,0.05737665854915787,0.18775756657123566
30,350,1,0.01,3,100,23046,1.0,0.9976873993873596,0.0022567540872842073,0.04750530588559774,0.19005423784255981
