seed,max_neurons,layers,lr,unlock_layers,epoch,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,400,2,0.01,4,1,0.9662463665008545,0.03293856605887413,0.18148985111811108,0.49470964074134827
1,400,2,0.01,4,2,0.9936966300010681,0.006151170004159212,0.07842939502609472,0.3350982367992401
1,400,2,0.01,4,3,0.9944120049476624,0.0054530431516468525,0.07384472324849524,0.30044567584991455
1,400,2,0.01,4,4,0.9955716729164124,0.0043214065954089165,0.06573740636356835,0.24559497833251953
1,400,2,0.01,4,5,0.9952456951141357,0.004639470484107733,0.06811365857232844,0.2794296145439148
1,400,2,0.01,4,6,0.9942312240600586,0.005629443563520908,0.0750296179086693,0.27078977227211
1,400,2,0.01,4,7,0.9946014881134033,0.005268147215247154,0.07258200338408381,0.3027344346046448
1,400,2,0.01,4,8,0.9652683734893799,0.033892933279275894,0.1841003348157626,0.524798572063446
1,400,2,0.01,4,9,0.9952658414840698,0.004619864281266928,0.06796958350076104,0.25864821672439575
1,400,2,0.01,4,10,0.9952433109283447,0.004641834180802107,0.06813100748412654,0.29717710614204407
1,400,2,0.01,4,11,0.9939130544662476,0.0059399851597845554,0.07707129919616351,0.2786010801792145
1,400,2,0.01,4,12,0.9960083365440369,0.003895264118909836,0.06241205107116602,0.2638779878616333
1,400,2,0.01,4,13,0.9940184354782104,0.0058371094055473804,0.07640097777873907,0.3066958785057068
1,400,2,0.01,4,14,0.9929443001747131,0.006885291077196598,0.08297765408347357,0.3252592086791992
1,400,2,0.01,4,15,0.9943481087684631,0.005515430588275194,0.07426594501031543,0.2634028494358063
1,400,2,0.01,4,16,0.9943997263908386,0.0054650576785206795,0.07392602842382837,0.2633834481239319
1,400,2,0.01,4,17,0.9937527179718018,0.006096445024013519,0.07807973504062062,0.2633879780769348
1,400,2,0.01,4,18,0.9957692623138428,0.004128581844270229,0.06425404146254327,0.22731025516986847
1,400,2,0.01,4,19,0.995960533618927,0.0039419252425432205,0.06278475326497047,0.23446786403656006
1,400,2,0.01,4,20,0.9959356784820557,0.003966169431805611,0.06297753116632639,0.21718353033065796
1,400,2,0.01,4,21,0.9965437054634094,0.0033728121779859066,0.058075917366718424,0.22295483946800232
1,400,2,0.01,4,22,0.9537926912307739,0.04509149119257927,0.21234757166631144,0.5633946657180786
1,400,2,0.01,4,23,0.9960996508598328,0.0038061507511883974,0.06169400903806137,0.21560907363891602
1,400,2,0.01,4,24,0.9936562180519104,0.006190591957420111,0.07868031492959411,0.30058541893959045
1,400,2,0.01,4,25,0.9965763092041016,0.0033409991301596165,0.057801376542082596,0.20365381240844727
1,400,2,0.01,4,26,0.9911162853240967,0.008669211529195309,0.09310860072622351,0.35254770517349243
1,400,2,0.01,4,27,0.9792571663856506,0.020241929218173027,0.14227413404471323,0.38002386689186096
1,400,2,0.01,4,28,0.9973160028457642,0.002619164064526558,0.05117776924140557,0.18842606246471405
1,400,2,0.01,4,29,0.9789860248565674,0.02050652727484703,0.14320100305112052,0.3612661361694336
1,400,2,0.01,4,30,0.9963939189910889,0.0035190172493457794,0.05932130518916268,0.22766812145709991
1,400,2,0.01,4,31,0.9961807727813721,0.0037270071916282177,0.06104921941866429,0.2222082018852234
1,400,2,0.01,4,32,0.9964045882225037,0.0035085887648165226,0.05923334166511731,0.19609373807907104
1,400,2,0.01,4,33,0.9965798854827881,0.003337523201480508,0.0577713008463589,0.23083573579788208
1,400,2,0.01,4,34,0.997252345085144,0.0026813088916242123,0.051781356602779466,0.1921250820159912
1,400,2,0.01,4,35,0.9849877953529358,0.014649691991508007,0.12103591199106159,0.4322883188724518
