seed,max_neurons,layers,lr,epoch,Hys_score,Hys_mse,Hys_rmse,Hys_mape
1,380,2,0.01,1,0.99368816614151,0.006152364891022444,0.07843701225201304,1.521159291267395
1,380,2,0.01,2,0.9950942397117615,0.004781817551702261,0.06915068728293494,0.6666826009750366
1,380,2,0.01,3,0.9956305623054504,0.004259052686393261,0.06526141805380313,2.200216293334961
1,380,2,0.01,4,0.9972590804100037,0.0026716934517025948,0.05168842667079929,1.4551920890808105
1,380,2,0.01,5,0.9950106739997864,0.004863284528255463,0.0697372535181553,0.8421852588653564
1,380,2,0.01,6,0.9928049445152283,0.0070133088156580925,0.08374550027110765,2.174741268157959
1,380,2,0.01,7,0.992275059223175,0.007529800292104483,0.08677442187709741,0.7897787690162659
1,380,2,0.01,8,0.9968212842941284,0.003098440123721957,0.055663633763184714,0.3571573495864868
1,380,2,0.01,9,0.9952977299690247,0.004583493806421757,0.06770150520056224,1.9283198118209839
1,380,2,0.01,10,0.9973226189613342,0.00260972511023283,0.051085468679780456,0.6123068332672119
1,380,2,0.01,11,0.9985498189926147,0.001413534628227353,0.03759700291548986,0.855440080165863
1,380,2,0.01,12,0.9950664639472961,0.004808899015188217,0.06934622567370352,1.578109622001648
1,380,2,0.01,13,0.9916358590126038,0.008152864873409271,0.09029321609849364,0.7194305062294006
1,380,2,0.01,14,0.9974604845046997,0.002475373214110732,0.04975312265688187,0.516157329082489
1,380,2,0.01,15,0.9970551133155823,0.002870496828109026,0.05357701772317144,1.105427861213684
1,380,2,0.01,16,0.9859954118728638,0.01365082710981369,0.11683675410509183,0.5663628578186035
1,380,2,0.01,17,0.9981474280357361,0.0018057869747281075,0.04249455229471311,0.6281659603118896
1,380,2,0.01,18,0.9923551082611084,0.007451800629496574,0.08632381264458014,0.5940350890159607
1,380,2,0.01,19,0.9723479747772217,0.02695353887975216,0.16417532969283832,3.359231472015381
1,380,2,0.01,20,0.9975096583366394,0.0024274447932839394,0.049269105870554816,0.7883511781692505
1,380,2,0.01,21,0.9964679479598999,0.003442813642323017,0.05867549439351165,0.47999465465545654
1,380,2,0.01,22,0.993557333946228,0.006279907654970884,0.07924586837792166,1.2763078212738037
1,380,2,0.01,23,0.9958651661872864,0.0040303985588252544,0.06348542004921488,1.1915851831436157
1,380,2,0.01,24,0.995830774307251,0.004063879139721394,0.06374856186394634,0.552756130695343
1,380,2,0.01,25,0.9985260367393494,0.0014367096591740847,0.037903953081098084,0.41209903359413147
1,380,2,0.01,26,0.9976166486740112,0.0023231219965964556,0.04819877588275926,0.5343098044395447
1,380,2,0.01,27,0.9988572001457214,0.0011139307171106339,0.03337560062546641,0.41383519768714905
1,380,2,0.01,28,0.9972190856933594,0.00271064811386168,0.05206388492863052,0.4603843688964844
1,380,2,0.01,29,0.9932295680046082,0.006599386688321829,0.08123660928621916,2.7252392768859863
1,380,2,0.01,30,0.9857412576675415,0.013898546807467937,0.11789209815533837,1.1438491344451904
1,380,2,0.01,31,0.9987689256668091,0.001199977588839829,0.034640692672633276,0.4811870753765106
