seed,max_neurons,layers,learn_rate,epoch,Hys_score,Hys_mse,Hys_rmse,Hys_mape
0,360,2,0.01,1,0.9914939403533936,0.008671608753502369,0.09312147310638062,0.3709166646003723
0,360,2,0.01,2,0.9944161772727966,0.005692523438483477,0.07544881336696739,0.2087443470954895
0,360,2,0.01,3,0.995306670665741,0.0047846632078289986,0.06917125998439669,0.1716288924217224
0,360,2,0.01,4,0.9959518313407898,0.004126935265958309,0.0642412271517155,0.16021059453487396
0,360,2,0.01,5,0.9961402416229248,0.003934851381927729,0.06272839374579688,0.1248892992734909
0,360,2,0.01,6,0.9966227412223816,0.003442977089434862,0.0586768871825599,0.11665666848421097
0,360,2,0.01,7,0.9966683387756348,0.003396505955606699,0.05827955006352313,0.12995781004428864
0,360,2,0.01,8,0.9971991181373596,0.002855421509593725,0.053436144224613784,0.12810486555099487
0,360,2,0.01,9,0.9968096613883972,0.003252409165725112,0.05702989712181771,0.11702284216880798
0,360,2,0.01,10,0.9949265718460083,0.005172182340174913,0.07191788609362008,0.14618906378746033
0,360,2,0.01,11,0.9972596168518066,0.002793700899928808,0.05285547180688872,0.11301533132791519
0,360,2,0.01,12,0.9972674250602722,0.0027857713866978884,0.052780407223683753,0.09780563414096832
0,360,2,0.01,13,0.9972147345542908,0.0028394670225679874,0.05328664957161397,0.09429443627595901
0,360,2,0.01,14,0.9975436329841614,0.0025041550397872925,0.050041533147849225,0.09935726225376129
0,360,2,0.01,15,0.9976230263710022,0.0024232363793998957,0.04922637889790286,0.11378122866153717
0,360,2,0.01,16,0.9975875020027161,0.002459477400407195,0.04959311847834531,0.0961519107222557
0,360,2,0.01,17,0.9978048205375671,0.0022379313595592976,0.04730677921354716,0.09127062559127808
0,360,2,0.01,18,0.9979696869850159,0.0020698527805507183,0.04549563474170592,0.09344685077667236
0,360,2,0.01,19,0.9977521300315857,0.002291616750881076,0.04787083403160087,0.0945466011762619
0,360,2,0.01,20,0.9977056980133057,0.00233896030113101,0.04836279873137007,0.09975210577249527
0,360,2,0.01,21,0.9976779222488403,0.002367244800552726,0.048654339997093024,0.09874328970909119
0,360,2,0.01,22,0.9981756806373596,0.0018598054302856326,0.04312546150808862,0.0822777971625328
0,360,2,0.01,23,0.9983435273170471,0.00168870750349015,0.041093886449083274,0.09062870591878891
0,360,2,0.01,24,0.9970780611038208,0.0029788329266011715,0.054578685643767305,0.11096218973398209
0,360,2,0.01,25,0.9979079365730286,0.0021328029688447714,0.04618227981428344,0.14974062144756317
0,360,2,0.01,26,0.9980140924453735,0.002024563727900386,0.04499515227111012,0.09587413817644119
0,360,2,0.01,27,0.99825519323349,0.0017787676770240068,0.04217543926296449,0.08863343298435211
0,360,2,0.01,28,0.9984325170516968,0.0015979997115209699,0.03997498857436947,0.07801079005002975
0,360,2,0.01,29,0.9981756806373596,0.001859808573499322,0.043125497950740485,0.07662318646907806
0,360,2,0.01,30,0.9979843497276306,0.0020548678003251553,0.045330649679054404,0.08191172778606415
0,360,2,0.01,31,0.9979003071784973,0.002140574622899294,0.04626634438659806,0.09048325568437576
0,360,2,0.01,32,0.9969409108161926,0.0031186286360025406,0.05584468314891348,0.12481166422367096
0,360,2,0.01,33,0.9979584217071533,0.0020812945440411568,0.04562120717430827,0.07052618265151978
0,360,2,0.01,34,0.9983757734298706,0.0016558333300054073,0.04069193200138582,0.07132979482412338
0,360,2,0.01,35,0.9983229637145996,0.0017096628434956074,0.041348069404696604,0.07496269047260284
0,360,2,0.01,36,0.9979256987571716,0.002114701783284545,0.04598588678371381,0.07973866164684296
0,360,2,0.01,37,0.9983602166175842,0.0016717275138944387,0.04088676453199053,0.05800715088844299
0,360,2,0.01,38,0.9984482526779175,0.0015819532563909888,0.03977377598859566,0.06961914151906967
0,360,2,0.01,39,0.997007429599762,0.00305079179815948,0.055233973224452,0.10450776666402817
0,360,2,0.01,40,0.9973811507225037,0.00266983057372272,0.05167040326649987,0.09629948437213898
0,360,2,0.01,41,0.9983295202255249,0.00170297606382519,0.041267130549932717,0.061021838337183
0,360,2,0.01,42,0.9986516237258911,0.0013746371259912848,0.03707609912047497,0.07146811485290527
0,360,2,0.01,43,0.9983062148094177,0.0017267545918002725,0.041554236749100235,0.08506770431995392
0,360,2,0.01,44,0.9989267587661743,0.0010941599030047655,0.03307808795871922,0.07376871258020401
0,360,2,0.01,45,0.9986349940299988,0.001391566009260714,0.03730369967256216,0.06147099286317825
0,360,2,0.01,46,0.9991142749786377,0.0009029827197082341,0.030049670875206505,0.06796441972255707
0,360,2,0.01,47,0.9985194802284241,0.0015093600377440453,0.038850483108245196,0.0636538416147232
0,360,2,0.01,48,0.9986594319343567,0.0013666623272001743,0.036968396329840635,0.06778553128242493
0,360,2,0.01,49,0.9985141754150391,0.0015147648518905044,0.038919980111640655,0.07788287103176117
0,360,2,0.01,50,0.9988817572593689,0.001140014617703855,0.0337641025010862,0.0643039271235466
