max_neurons,layers,learn_rate,epochs,Jou_score,Jou_mse,Jou_rmse,Jou_mape
350,1,0.1,100,0.8482083082199097,0.17482499778270721,0.41812079329149276,0.7670965194702148
350,1,0.01,100,0.9382572174072266,0.07111179828643799,0.26666795511729185,0.11913490295410156
350,2,0.1,100,0.8246495723724365,0.20195865631103516,0.4493981044809103,0.87920743227005
350,2,0.01,100,0.9291854500770569,0.08156014233827591,0.2855873637580555,0.07773464173078537
350,5,0.1,100,-0.012125730514526367,1.1657086610794067,1.0796798882443845,1.501585602760315
350,5,0.01,100,0.9255919456481934,0.08569894731044769,0.29274382540106236,0.0884920209646225
350,10,0.1,100,-0.0005068778991699219,1.1523268222808838,1.0734648677441119,1.0883978605270386
350,10,0.01,100,0.9231343269348145,0.08852950483560562,0.2975390811903633,0.09447314590215683
360,1,0.1,100,0.9242714643478394,0.08721978217363358,0.29532995475168716,0.17349956929683685
360,1,0.01,100,0.9314547181129456,0.07894653081893921,0.28097425294666983,0.09868763387203217
360,2,0.1,100,-0.0022046566009521484,1.1542820930480957,1.0743752105517401,1.194230079650879
360,2,0.01,100,0.9299319982528687,0.0807003527879715,0.28407807516239525,0.06195301562547684
360,5,0.1,100,-0.003575921058654785,1.155861496925354,1.0751099929427472,1.281945824623108
360,5,0.01,100,0.9265644550323486,0.08457888662815094,0.2908244945463689,0.09868597984313965
360,10,0.1,100,-0.003476858139038086,1.155747413635254,1.0750569350668149,1.2773584127426147
360,10,0.01,100,0.9112695455551147,0.102194644510746,0.31967897101740367,0.136323481798172
370,1,0.1,100,0.9157125949859619,0.09707742184400558,0.31157249853606395,0.17262929677963257
370,1,0.01,100,0.9369412660598755,0.07262744009494781,0.26949478676766236,0.0750657469034195
370,2,0.1,100,0.9134886264801025,0.09963889420032501,0.31565629124147837,0.22914911806583405
370,2,0.01,100,0.9365041255950928,0.07313089817762375,0.2704272511741813,0.06976590305566788
370,5,0.1,100,-0.008396029472351074,1.1614129543304443,1.0776887093824656,1.4625033140182495
370,5,0.01,100,0.93209308385849,0.07821130007505417,0.27966283284529275,0.07761679589748383
370,10,0.1,100,-0.005211472511291504,1.1577452421188354,1.0759857072093642,1.3511555194854736
370,10,0.01,100,0.92155522108078,0.09034819900989532,0.30057977145825254,0.08990932255983353
380,1,0.1,100,0.9181929230690002,0.09422073513269424,0.30695396256229407,0.21892480552196503
380,1,0.01,100,0.9288106560707092,0.08199183642864227,0.28634216669684237,0.08050469309091568
380,2,0.1,100,-0.0011420249938964844,1.1530582904815674,1.0738055179973547,1.1425154209136963
380,2,0.01,100,0.9317947626113892,0.07855487614870071,0.28027642810036796,0.11955608427524567
380,5,0.1,100,-0.0066481828689575195,1.1593998670578003,1.0767543206589887,1.3583403825759888
380,5,0.01,100,0.9239556789398193,0.08758347481489182,0.29594505370911645,0.0732894092798233
380,10,0.1,100,-0.0002859830856323242,1.1520724296569824,1.0733463698438555,1.0581064224243164
380,10,0.01,100,0.929219126701355,0.0815214067697525,0.28551953833276017,0.1301792562007904
390,1,0.1,100,0.9191677570343018,0.09309793263673782,0.3051195382743259,0.3643816411495209
390,1,0.01,100,0.9327229857444763,0.0774858370423317,0.27836277955634026,0.07387136667966843
390,2,0.1,100,-0.018225669860839844,1.172734260559082,1.0829285574584697,1.7181316614151
390,2,0.01,100,0.9623354077339172,0.04337995499372482,0.20827855144907462,0.07454343140125275
390,5,0.1,100,-0.007047176361083984,1.159859538078308,1.0769677516426888,1.4182368516921997
390,5,0.01,100,0.921818733215332,0.09004472196102142,0.3000745273444939,0.24272394180297852
390,10,0.1,100,-0.0002200603485107422,1.1519964933395386,1.0733109956296631,1.0483229160308838
390,10,0.01,100,0.9197359681129456,0.09244350343942642,0.30404523255500393,0.11465921252965927
400,1,0.1,100,0.9280691742897034,0.08284582197666168,0.28782950157456355,0.3356052339076996
400,1,0.01,100,0.9289373159408569,0.0818459540605545,0.28608731894397993,0.07535024732351303
400,2,0.1,100,-0.004832863807678223,1.1573091745376587,1.0757830517988554,1.3415790796279907
400,2,0.01,100,0.9260430335998535,0.08517938107252121,0.2918550686085839,0.08082284033298492
400,5,0.1,100,-0.0014594793319702148,1.1534239053726196,1.0739757471063394,1.154752492904663
400,5,0.01,100,0.9221700429916382,0.08964010328054428,0.2993995712764871,0.12207946181297302
400,10,0.1,100,-0.0004438161849975586,1.1522541046142578,1.073430996671075,1.0782289505004883
400,10,0.01,100,0.9200047254562378,0.092134028673172,0.303535877077442,0.08359386026859283
