epoch,rmse_mean,rmse_std
1,0.13978494202507535,0.02401616825723358
2,0.09534894692247863,0.015618782596442058
3,0.08225875561175454,0.015539493978727566
4,0.07394138716574455,0.01664749888386012
5,0.07220952510052608,0.016843329744339545
6,0.07068491698510111,0.018836125110994688
7,0.06823725688470082,0.01532108803047211
8,0.06716903823645902,0.015431769941240266
9,0.06761159530952272,0.015207143963488115
10,0.06688843459044376,0.017476042510736284
11,0.06784121850316245,0.01733888972300436
12,0.06671788370248465,0.017173017893969727
13,0.06770273540251076,0.01813569593416244
14,0.06774288202384258,0.017218813582878443
15,0.06964902291048193,0.019255249702324232
16,0.06906153659742366,0.018814861867389437
17,0.06912998103244541,0.01916042453865
18,0.06882536350626094,0.018366155314730428
19,0.0699571857261949,0.020354778337155804
20,0.0681916477991274,0.020373696904655413
21,0.06879973285237971,0.01938553825607161
22,0.06786697719644505,0.01974862368341114
23,0.06909371949732883,0.019714168586730314
24,0.0698503789056392,0.02075306284176857
25,0.06721681452538672,0.02093987957769598
26,0.06982919583719674,0.02066121013307804
27,0.06749601456293006,0.020765719912091387
28,0.06934103274141727,0.020345174229181334
29,0.07061474188822169,0.020825247446492914
30,0.06929447697746692,0.019809063236061186
31,0.07229183422658193,0.021805071119925475
32,0.0698601905191872,0.02044680542002619
33,0.06931098832235587,0.020802193597457004
34,0.07007963734376561,0.020289676749321507
35,0.06893087875790781,0.019536963896166097
36,0.06739934957649214,0.019156803205071817
37,0.06984949446336051,0.019046953186557622
38,0.07235389030116192,0.022499275113121123
39,0.07167052600454459,0.019491248277917275
40,0.06938052509417138,0.020242399377684513
41,0.07028172929190411,0.020915739501079212
42,0.07080217946265475,0.02094128700434275
43,0.06858320442800687,0.020289732617216557
44,0.07144458958446183,0.02326671785805278
45,0.06922138572669309,0.021146707633117625
46,0.07127174197279056,0.021357727312948403
47,0.07188279963340441,0.02153056702175329
48,0.06864253900074209,0.023119953778816003
49,0.06922240488337607,0.021476568334075546
50,0.07051027211422807,0.023865204268729526
51,0.07064776113381854,0.02300334299318746
52,0.06968715622904621,0.022951787344883585
53,0.06958643441863314,0.02214852536644405
54,0.070082367179616,0.023617828986554203
55,0.06952848540865456,0.021115140698002896
56,0.06938554158758291,0.022412816016914063
57,0.06854510472852679,0.023467538813483613
58,0.06804082152110268,0.02381577983385174
59,0.07193027224578313,0.024174448587869577
60,0.0696437454457923,0.022109312093637163
61,0.06845846499617804,0.02528072287194835
62,0.06808897943858197,0.022915909117513223
63,0.06926600477658083,0.0236632207428135
64,0.07079291514598966,0.025007318587834698
65,0.07014183515083215,0.02229404344751638
66,0.06817458174506326,0.025169599876722668
67,0.06825083552429832,0.023482964966680366
68,0.06826197054292135,0.021214062211283045
69,0.06815347145293578,0.023123484011986037
70,0.07034202143969913,0.025348260789539355
71,0.06839611422966982,0.02130114683607686
72,0.06917776655806443,0.024246300793523596
73,0.06896068544139738,0.025163147876784198
74,0.06617776810701205,0.023829544255252928
75,0.06726546047317901,0.022784119826940254
76,0.06778821015632329,0.02389410899230777
77,0.0673451325387029,0.023792100044249122
78,0.06822133286084446,0.024594728307130297
79,0.06701623642610223,0.02309440541359492
80,0.06969349058744582,0.024265143490088098
81,0.0663150729689997,0.020313855353699138
82,0.06637705508984018,0.024469761877495538
83,0.067402911322227,0.02370065188791942
84,0.06588649575288376,0.022523011207814712
85,0.06656939028027939,0.024654817144193136
86,0.06854292957106574,0.024882250025074017
87,0.0665627858110537,0.021520950003434642
88,0.06737637314530025,0.02258782482452039
89,0.06598689793916467,0.021085987893348503
90,0.06420723494892913,0.021767567500514253
91,0.06619629129226273,0.02218773985025123
92,0.06505832393869256,0.024191325133394174
93,0.06691016267368448,0.021766876810031734
94,0.0642988736455334,0.022083494972969065
95,0.06595155015131234,0.01924148315320979
96,0.06637872994443356,0.021645128026900093
97,0.06521506857262181,0.022763520092510217
98,0.06839008124618735,0.02234734957331817
99,0.0645167776749009,0.020691105874213137
100,0.06539980994866343,0.02175096567794121
