epoch,mape_mean,mape_std
1,0.4920887957016627,0.11470494541939018
2,0.3012008979916573,0.03859305371480158
3,0.23598248064517974,0.03846306460603562
4,0.19668598473072052,0.030457828901102532
5,0.1740680401523908,0.03371480268383497
6,0.1623410793642203,0.030067726452519223
7,0.148952271292607,0.023087422124257972
8,0.13923508102695148,0.019504865959968202
9,0.1382672836383184,0.021466179306395616
10,0.12823230475187303,0.01594198821359945
11,0.13254122560222945,0.018715518559776836
12,0.1217620126903057,0.020171236158472862
13,0.12373268703619639,0.021836252363391838
14,0.11930570875604947,0.015165205702762126
15,0.11938879812757174,0.01609235203195615
16,0.1230234277745088,0.021411649318116406
17,0.11586059133211772,0.013790764290286275
18,0.11571546743313471,0.01965964958299583
19,0.11938734029730161,0.023561801168911753
20,0.10777268062035243,0.012684370495981765
21,0.11572720482945442,0.012757891969892701
22,0.11207900146643321,0.012785646509369208
23,0.11515284602840742,0.01770539858976704
24,0.11475195611516635,0.015012269323411292
25,0.11110100373625756,0.019413707548738605
26,0.11064692760507265,0.013156079127913018
27,0.10711751828591029,0.014762588234268204
28,0.1086017111937205,0.012371891858510307
29,0.11304185564319293,0.019782648027501078
30,0.11049160609642665,0.017437330598852368
31,0.12642267420887948,0.035387945543865665
32,0.1098674605290095,0.017196873759758598
33,0.11484480227033297,0.018331757129311475
34,0.11506827498475711,0.028742758182582005
35,0.10452931895852088,0.013994639012467568
36,0.10713471447428068,0.012628016032630031
37,0.11595526089270909,0.022886402395253365
38,0.11418138990799585,0.03510862057526905
39,0.11610235845049223,0.022526985027306694
40,0.10609246964255968,0.027111975322514092
41,0.10837191194295884,0.026953227824320213
42,0.10470074191689491,0.01584822815685688
43,0.10349979524811109,0.013188393730804302
44,0.10418328965703647,0.01804059343221132
45,0.10233981882532438,0.013471474005992724
46,0.10510589629411697,0.017719369207996126
47,0.11095847114920616,0.02707932267811563
48,0.1041257694363594,0.013624643842048936
49,0.10062979087233544,0.01308343955640114
50,0.11177914539972941,0.020506048757542764
51,0.10572607442736626,0.02050311707595303
52,0.10126781910657882,0.01588199378809674
53,0.10110293825467427,0.013598845072222364
54,0.1017841803530852,0.014546434869618645
55,0.10203182647625605,0.021735965919649516
56,0.10225878929098448,0.013328311858354355
57,0.09895020251472791,0.01539906026013334
58,0.09885131617387136,0.017331365641764122
59,0.10650268544753393,0.03127884739353884
60,0.09970597823460897,0.0183049102366545
61,0.09941086868445079,0.01618474004162057
62,0.09831366216142973,0.01694860200978782
63,0.0989600916703542,0.015392064650757434
64,0.09951843321323395,0.0158208082849468
65,0.09615260809659958,0.014148959408490834
66,0.09772416477402052,0.01658985514672269
67,0.09898346886038781,0.013304753966061775
68,0.09750865176320075,0.013166040452469911
69,0.09541687394181887,0.01381549370141983
70,0.09825646082560222,0.017342153582678103
71,0.09751161982615789,0.019050203585747945
72,0.09976658970117569,0.020753082278330726
73,0.10446468442678451,0.025393705520363553
74,0.09444045300285021,0.013000107633487766
75,0.09871199255188307,0.02193998004834477
76,0.0967965083817641,0.013653438890438314
77,0.09739248752593994,0.01564087181465706
78,0.0931284395356973,0.012311572743057005
79,0.08946843768159549,0.011194929272660767
80,0.0979210652410984,0.019322859255770465
81,0.10031709869702657,0.026050499251571043
82,0.0943513810634613,0.01603397685440802
83,0.09391146550575892,0.015320296768147817
84,0.0900244986017545,0.01322355827265945
85,0.09254274542133013,0.01319176305579184
86,0.10131738235553106,0.026106736309762315
87,0.0942415527999401,0.013699377413955632
88,0.09829220945636431,0.01663651749090369
89,0.09529079645872116,0.01729767914830783
90,0.08910379335284233,0.012251742766795927
91,0.08710021326939264,0.013132346828565806
92,0.09420782352487246,0.01689799260011126
93,0.09619444732864697,0.017362783775391483
94,0.0901198240617911,0.013189600702468773
95,0.09188664481043815,0.015894817337140262
96,0.09689266110459964,0.02940058308065006
97,0.09330182547370593,0.015825347090462565
98,0.0893400159974893,0.014856755042301507
99,0.09300279294451078,0.017709045039164168
100,0.0906754103799661,0.015352187795181809
