epoch,rmse_mean,rmse_std
1,0.32145171891610286,0.019021656837112027
2,0.3098044491835084,0.015986916048876334
3,0.3050205955984951,0.013523039059886614
4,0.30368616482603467,0.009936398744046707
5,0.3037564291936596,0.012322108965572922
6,0.3027375455192565,0.009574811570058931
7,0.3067351644653112,0.01701533169462654
8,0.3037342564332753,0.010122311954889775
9,0.30481570673898195,0.010494900771259441
10,0.30299183394637696,0.009619236710158113
11,0.3056731377615526,0.01602684202098577
12,0.3021912324882137,0.009553130660145953
13,0.3028621469874144,0.010949883119402266
14,0.3007044844638181,0.010374523156706226
15,0.30172430927496935,0.011578695985659677
16,0.2997653104579874,0.009347636900456913
17,0.3006447320833401,0.009832434638747022
18,0.30092642349332294,0.008949446450351974
19,0.30417422896624735,0.015804404045527215
20,0.304843863336237,0.013188894302270826
21,0.30149842075547784,0.012192225731753692
22,0.29921708145854936,0.008572765977483968
23,0.29824482697115456,0.009872087468163995
24,0.2983036542364437,0.010568390007650823
25,0.2979109749067839,0.011398170588777791
26,0.2979263932151282,0.010407620903883467
27,0.29890406497094646,0.01020882536052751
28,0.2976202899690946,0.012263034741268726
29,0.29963815560072965,0.013423914487823404
30,0.29880049465289676,0.016198435000917295
31,0.29647592373905096,0.010820457453802052
32,0.2981939405472723,0.013200819172633804
33,0.2962230567651664,0.010915195682724501
34,0.2961794825366734,0.012211453910184161
35,0.297626459847981,0.012602098590763808
36,0.29545197732510675,0.011488835886786132
37,0.2948869575629393,0.01095160601172117
38,0.2953775781155715,0.01486728125588938
39,0.2972415815478226,0.011148333394949264
40,0.29430324179194595,0.011777245758309256
41,0.29653857628921243,0.013410525892780993
42,0.2950077745099429,0.012376166290408256
43,0.29577711775258175,0.0132020065608899
44,0.294977098385363,0.013917066921724357
45,0.29553491883245375,0.011816964572835889
46,0.3021468115005271,0.027794559550204725
47,0.29636240120208357,0.016303214641459566
48,0.3041566327173114,0.05049371308019106
49,0.29617705610658873,0.01376056266675675
50,0.29527133359645324,0.015360731224576967
51,0.293261956340526,0.012925879049606206
52,0.29161462348742595,0.01381482351892971
53,0.2925420528584603,0.012734414032129195
54,0.2920494977297275,0.013991743782171188
55,0.2923873036974094,0.015579966552846138
56,0.2918362941834303,0.014847581164718593
57,0.29106620578103276,0.01533742944067212
58,0.2912193265783663,0.017490043017913286
59,0.2924458744750357,0.0185298370826875
60,0.29199500612706697,0.017025648320365922
61,0.2921677895885237,0.018344874258880737
62,0.2918699308403646,0.02021148579564339
63,0.2930888757147245,0.015321451559335647
64,0.2930712489313703,0.013679478468764411
65,0.29226942225503527,0.014932093812490388
66,0.29404154427840345,0.01635371049155757
67,0.2912299161172112,0.016676813983443048
68,0.29099566510966085,0.017515407881840583
69,0.2901957440520294,0.01909741223867289
70,0.29033636440320726,0.019395794951105473
71,0.2901276569432013,0.017892950519986347
72,0.2908782179732647,0.01645731320610882
73,0.2911292708197798,0.019206053706336317
74,0.2884320232070968,0.01854396470213173
75,0.289479468021246,0.019883677276631307
76,0.2918494665468034,0.020974202850517907
77,0.28998103263538844,0.018591926896573775
78,0.29055337496754063,0.01355679277334887
79,0.2888628791087521,0.018530188925683276
80,0.2870575689642803,0.018644946235658467
81,0.28856201962476224,0.019603775967417053
82,0.28846223437023816,0.018512964956382633
83,0.2875341663045006,0.020895500599154352
84,0.2862512241527231,0.021149493336780224
85,0.2864965386813616,0.021869182901883815
86,0.2873628315225018,0.01951040397949078
87,0.2876975850217346,0.022847430275044447
88,0.28632993399623374,0.02210958789422351
89,0.288360550107904,0.017875189602525272
90,0.28722975849183635,0.020439620474122375
91,0.28781111685565414,0.017962590489241394
92,0.2869776094112327,0.017861804991625877
93,0.2861264636729213,0.01799375408402346
94,0.28786389934407525,0.022031458554695873
95,0.28455769855159496,0.019795489211394714
96,0.2874422593590867,0.01856448620741326
97,0.286119373306629,0.019294669538168743
98,0.28533998495279167,0.0182684216954067
99,0.2860621154457525,0.019105412814753822
100,0.2854395053702393,0.017793781122656067
