epoch,rmse_mean,rmse_std
1,0.10975597364015247,0.013524466323957558
2,0.0833260049550023,0.012295654135040418
3,0.07281455018201473,0.009531707254569192
4,0.06624611457244645,0.009537950391246658
5,0.06286486408953557,0.009423830420916423
6,0.06119741303817491,0.009583140168444906
7,0.05834316185565326,0.010958120473792791
8,0.056282269980854054,0.009427955998028738
9,0.05430748275783109,0.010597740859246134
10,0.05437456615739312,0.010701026559199288
11,0.05228267624021957,0.010073094660091443
12,0.05138125343728905,0.010431460807163258
13,0.050273920551572523,0.010865889029581832
14,0.04913188082793019,0.010102056323654036
15,0.04832462048295036,0.01073392705370008
16,0.04968600540018932,0.01277919351022916
17,0.04714261495188388,0.010166276282602747
18,0.0464044700453965,0.010817397801841953
19,0.04811783161168379,0.011293336519516016
20,0.04675196099905031,0.011270748263423926
21,0.04544863710877823,0.012236694306701929
22,0.045363924173364635,0.013013048807965416
23,0.044377286293676696,0.013658689505367258
24,0.043914756786596315,0.011225472879260406
25,0.04506037557500198,0.011303230953105585
26,0.04656047992489102,0.013118575748345313
27,0.043961912483605634,0.014220676828882768
28,0.04386814740011971,0.01276425291441113
29,0.043022618778811014,0.013832757440190604
30,0.04291419000634462,0.01145041777001357
31,0.040397706643475854,0.01429174642651764
32,0.04269215226643233,0.015158874171601512
33,0.040608060725238954,0.01309293329064037
34,0.040500559193629264,0.011870159408141465
35,0.04166722845480221,0.011475087249499836
36,0.04237779951394831,0.010713844181294485
37,0.03787934976769267,0.010060407638532607
38,0.039328772830004695,0.013615934580092998
39,0.04208024334175154,0.013161227927253107
40,0.04135143742162457,0.014096972445615457
41,0.04047350069850856,0.012939883787701303
42,0.0422473304503886,0.01775554586986115
43,0.04048227906838236,0.011257184382290465
44,0.039623029401748326,0.011519225503676072
45,0.039038364910852844,0.012200113548082769
46,0.03878422698574687,0.013853563250046802
47,0.037783061817265956,0.012321839891238117
48,0.040375274489671195,0.015057617598072538
49,0.039453726773440626,0.014486765722926715
50,0.039979731904244725,0.01082217034839258
51,0.035523340243230554,0.012102642209849863
52,0.034788704413107614,0.011977602332118071
53,0.03527869475019165,0.012625652527154996
54,0.036504523336057235,0.013736923954945704
55,0.03737614920002294,0.013131918551945943
56,0.03412213158619291,0.010479812158188414
57,0.03677394949353919,0.012541152551185767
58,0.03892294815350645,0.014030370308503239
59,0.03533054300539096,0.011759324393596303
60,0.03865047964427677,0.015313765179609062
61,0.035859684120243325,0.01207515028519075
62,0.03421514370392156,0.011135772684063894
63,0.03355916254341752,0.01394277694866543
64,0.034840170440457126,0.014291596964991878
65,0.03547189400035892,0.013020873537554536
66,0.03576739788108026,0.013561812230660834
67,0.034513308415553,0.012837722744061105
68,0.036183090596445054,0.012479754194706752
69,0.03491639619095579,0.013413904056332695
70,0.035183816536639566,0.01256720465894405
71,0.03407493034583426,0.012137868225466182
72,0.03341574856550133,0.011939847442813676
73,0.03715898996733338,0.013752708217994219
74,0.03447498483815634,0.012952322548195096
75,0.033478040333759576,0.013803249799310677
76,0.03504685880208367,0.012804706456216005
77,0.03396950712237358,0.012837086233208799
78,0.03553723083325136,0.014768555065982522
79,0.03548729418601141,0.01244013638659062
80,0.034590336823534774,0.012246760941629664
81,0.03587564609116283,0.012032448608244116
82,0.03435037168915917,0.010790866774089348
83,0.03513973346161572,0.012232989186436229
84,0.034196854249691176,0.010338422615359498
85,0.035638330577971916,0.012066057494412084
86,0.03657975146518225,0.01587299899660708
87,0.03549129358773254,0.013536450966873078
88,0.03466173905944704,0.011962522158684355
89,0.03609547939140558,0.011728138085670727
90,0.03701796340144041,0.01346318511153075
91,0.035756165259302246,0.011386854663387114
92,0.03618613147528352,0.012024857084069774
93,0.035315648678094044,0.011244806450776064
94,0.03638253134889379,0.013797574414585524
95,0.03610534098952576,0.013292442266505363
96,0.03600092632205692,0.01251821838712865
97,0.035533119089802966,0.012253561398826517
98,0.03611286072685048,0.012657649617175045
99,0.03559296269636198,0.013507777590531986
100,0.03758953453411658,0.01476511220264916
