epoch,mape_mean,mape_std
1,0.35499818871418637,0.07225337770835215
2,0.2582988445957502,0.07270488386172039
3,0.23412746836741766,0.05833957325486334
4,0.2058430810769399,0.04369394712565854
5,0.21373626937468845,0.07425439279248017
6,0.18196540648738543,0.04368558328776846
7,0.17257998486359913,0.04803555810655825
8,0.17762432644764584,0.048283717328265134
9,0.16475359350442886,0.04943890621175561
10,0.17356923123200735,0.049394625842901684
11,0.17497815042734147,0.042551283402521074
12,0.14368976677457493,0.033247436117660324
13,0.15845971057812372,0.034746835575235294
14,0.1531981982290745,0.0483131599606426
15,0.14592334429423015,0.0387449270161567
16,0.156454386562109,0.046682931876121464
17,0.14480882560213407,0.037550875839764436
18,0.14713482111692427,0.04585039235417696
19,0.13400270342826842,0.034590637960757925
20,0.1580817145605882,0.05099079830119594
21,0.1335083452363809,0.034357887824756655
22,0.14595292136073112,0.05386870029638765
23,0.14944223513205845,0.03965724782797145
24,0.13771655410528183,0.03914112765162314
25,0.13945716296633084,0.05174102885686622
26,0.1436235152184963,0.04456187937696954
27,0.12367773974935213,0.03139282767088067
28,0.13513617316881815,0.041928342718736036
29,0.1527879757185777,0.059548754996335954
30,0.13308845435579617,0.04024954717398372
31,0.116412686308225,0.02399674217556531
32,0.13471446211139362,0.03792757314869594
33,0.12741627904276054,0.0814912365988347
34,0.1357619968553384,0.05650583628672622
35,0.1243729643523693,0.04795205384899994
36,0.14896190588672956,0.0879676580990101
37,0.1293789267539978,0.03466820473390159
38,0.12439422284563383,0.049608733711188624
39,0.1341926711301009,0.051158240005499594
40,0.11656236127018929,0.03647837558522927
41,0.11965779984990756,0.03635275846546595
42,0.1211405041317145,0.0498456836184035
43,0.13818073918422064,0.054746051858144185
44,0.10919942756493886,0.028039741194894732
45,0.11389448009431362,0.03507623029615356
46,0.10979848876595497,0.024630058336043776
47,0.10596753309170405,0.03864913397424881
48,0.10675328001379966,0.02994900349891978
49,0.1237163799504439,0.047963568490877594
50,0.11857018247246742,0.03760126592080036
51,0.12513437593976656,0.03698519429244119
52,0.1165097566942374,0.051357863664701374
53,0.1071026029686133,0.03154229702484291
54,0.10601671313246092,0.02371943189180657
55,0.11956547908484935,0.036161319130452764
56,0.10504730318983396,0.0295610189227711
57,0.11126761933167775,0.03423750160090954
58,0.11411564921339352,0.03229580206946588
59,0.10652105261882146,0.04622334811757069
60,0.11909132823348045,0.0465906937127994
61,0.11684401904543242,0.044451863522333976
62,0.10421704202890396,0.02792774077151945
63,0.11081072154144446,0.03913683042455127
64,0.1107978584865729,0.029041553390324156
65,0.11091576516628265,0.03836411950887103
66,0.11299781252940495,0.04199587196216752
67,0.10318569665153822,0.025656177595703884
68,0.100779677182436,0.0259665573554148
69,0.11235480209191641,0.029912924983693558
70,0.11922602181633314,0.03397719370507844
71,0.10361738801002503,0.030598953745847094
72,0.11194054074585438,0.04023231695160274
73,0.10859895125031471,0.0282511430787662
74,0.11617138534784317,0.03229957613845994
75,0.10403420800964037,0.024859448698457815
76,0.10486633740365506,0.03920231931555424
77,0.10416207797825336,0.029691324589002855
78,0.10296168054143588,0.03286091138408187
79,0.11598177999258041,0.025963686898103536
80,0.10084331010778745,0.02320466454226312
81,0.10635905588666598,0.024597357135509278
82,0.0981231597562631,0.025760649979882932
83,0.09566478754083316,0.01955818219925641
84,0.1018925649424394,0.02661770406157485
85,0.09955518022179603,0.02653256928637361
86,0.10319148326913516,0.024552581341127318
87,0.10819554428259531,0.027549737135064617
88,0.10822299147645632,0.028566953540732094
89,0.10250387241442999,0.02634019335843493
90,0.09970869086682796,0.029276623355558404
91,0.0962395874162515,0.014448979293860232
92,0.0995561567445596,0.02298529208987953
93,0.10180272820095221,0.028332150944964645
94,0.09799915328621864,0.024868172847479986
95,0.09686948234836261,0.0221877933030546
96,0.09639443879326184,0.02023923441004481
97,0.10063787897427877,0.0282990671747698
98,0.10667555605371794,0.021753638127210553
99,0.10745956773559252,0.03259814712863464
100,0.10293032800157866,0.027055250822573425
