seed,max_neurons,layers,lr,unlock_layers,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
23,390,2,0.01,4,100,2304,0.1,0.984403669834137,0.01521968375891447,0.12336808241564944,0.32892507314682007
24,390,2,0.01,4,100,2304,0.1,0.9932457804679871,0.006591113284230232,0.0811856716682829,0.33722108602523804
25,390,2,0.01,4,100,2304,0.1,0.9911445379257202,0.008641619235277176,0.09296030999989821,0.34606626629829407
26,390,2,0.01,4,100,2304,0.1,0.9922689199447632,0.007544373627752066,0.0868583538167289,0.46655547618865967
27,390,2,0.01,4,100,2304,0.1,0.9926161170005798,0.0072055598720908165,0.08488556928059572,0.34372323751449585
28,390,2,0.01,4,100,2304,0.1,0.9938710331916809,0.005980967078357935,0.07733671235808989,0.3404158651828766
29,390,2,0.01,4,100,2304,0.1,0.9905457496643066,0.009225950576364994,0.09605181193691764,0.45645105838775635
30,390,2,0.01,4,100,2304,0.1,0.9945319890975952,0.005335955414921045,0.07304762429347751,0.30129799246788025
1,390,2,0.01,4,100,5761,0.25,0.9968820810317993,0.0030426420271396637,0.055160148904255725,0.2273654192686081
2,390,2,0.01,4,100,5761,0.25,0.9972570538520813,0.0026766995433717966,0.05173682966100451,0.17414070665836334
3,390,2,0.01,4,100,5761,0.25,0.9972893595695496,0.0026451838202774525,0.05143135055855964,0.20982898771762848
4,390,2,0.01,4,100,5761,0.25,0.9957357048988342,0.004161305725574493,0.06450818340005006,0.22593194246292114
5,390,2,0.01,4,100,5761,0.25,0.9956034421920776,0.004290407989174128,0.06550120601312717,0.24392543733119965
6,390,2,0.01,4,100,5761,0.25,0.9970262050628662,0.0029019832145422697,0.05387005860904803,0.2013012170791626
7,390,2,0.01,4,100,5761,0.25,0.9968676567077637,0.003056707326322794,0.05528749701625851,0.23377558588981628
8,390,2,0.01,4,100,5761,0.25,0.9970766305923462,0.0028527691029012203,0.05341131998838093,0.19657205045223236
9,390,2,0.01,4,100,5761,0.25,0.9972721338272095,0.0026619783602654934,0.05159436364822705,0.196014866232872
10,390,2,0.01,4,100,5761,0.25,0.9970555901527405,0.0028732852078974247,0.05360303356991491,0.2039955109357834
11,390,2,0.01,4,100,5761,0.25,0.9973371624946594,0.0025985129177570343,0.050975611009158435,0.19858117401599884
12,390,2,0.01,4,100,5761,0.25,0.9969402551651001,0.002985855098813772,0.05464297849507997,0.21865035593509674
13,390,2,0.01,4,100,5761,0.25,0.9964985251426697,0.003416928928345442,0.058454503063027075,0.21123290061950684
14,390,2,0.01,4,100,5761,0.25,0.9968326687812805,0.0030908279586583376,0.05559521524968077,0.24236078560352325
15,390,2,0.01,4,100,5761,0.25,0.9944689869880676,0.005397464614361525,0.07346743914389234,0.26679524779319763
16,390,2,0.01,4,100,5761,0.25,0.9968818426132202,0.0030428855679929256,0.055162356439812515,0.19441606104373932
17,390,2,0.01,4,100,5761,0.25,0.9948611259460449,0.0050147525034844875,0.07081491723842151,0.22300229966640472
18,390,2,0.01,4,100,5761,0.25,0.9968521595001221,0.0030718257185071707,0.055424053609485935,0.18254594504833221
19,390,2,0.01,4,100,5761,0.25,0.9963058829307556,0.00360492873005569,0.06004105870198901,0.2020760476589203
20,390,2,0.01,4,100,5761,0.25,0.9964590072631836,0.003455458441749215,0.058783147599879466,0.23064294457435608
21,390,2,0.01,4,100,5761,0.25,0.9969334602355957,0.002992489840835333,0.054703654730148814,0.2298412322998047
22,390,2,0.01,4,100,5761,0.25,0.9964083433151245,0.0035049139987677336,0.05920231413355168,0.21753555536270142
23,390,2,0.01,4,100,5761,0.25,0.9958860278129578,0.0040146042592823505,0.06336090481742153,0.2166730761528015
24,390,2,0.01,4,100,5761,0.25,0.995445191860199,0.004444805905222893,0.06666937756738765,0.20674754679203033
25,390,2,0.01,4,100,5761,0.25,0.9967637658119202,0.0031580976210534573,0.056196953841409034,0.17908507585525513
26,390,2,0.01,4,100,5761,0.25,0.9962565898895264,0.003653000108897686,0.06044005384591981,0.2396509349346161
27,390,2,0.01,4,100,5761,0.25,0.9965648651123047,0.0033521894365549088,0.05789809527570755,0.2434176355600357
28,390,2,0.01,4,100,5761,0.25,0.9964597821235657,0.003454735968261957,0.058777002035336555,0.26245397329330444
29,390,2,0.01,4,100,5761,0.25,0.996228814125061,0.003680137451738119,0.06066413645423562,0.21679414808750153
30,390,2,0.01,4,100,5761,0.25,0.9971564412117004,0.0027748679276555777,0.05267701517413052,0.20883901417255402
1,390,2,0.01,4,100,11523,0.5,0.9971678853034973,0.002763709519058466,0.05257099503584144,0.21515752375125885
2,390,2,0.01,4,100,11523,0.5,0.9974753260612488,0.002463679062202573,0.049635461740600066,0.20109856128692627
3,390,2,0.01,4,100,11523,0.5,0.9955964088439941,0.0042972685769200325,0.0655535550288467,0.22881574928760529
4,390,2,0.01,4,100,11523,0.5,0.9851595163345337,0.01448210421949625,0.12034161466216185,0.3999253213405609
5,390,2,0.01,4,100,11523,0.5,0.9971676468849182,0.0027639842592179775,0.052573608010274296,0.1933119148015976
6,390,2,0.01,4,100,11523,0.5,0.9968404173851013,0.0030832926277071238,0.0555274042947005,0.23515035212039948
7,390,2,0.01,4,100,11523,0.5,0.9964088201522827,0.0035044807009398937,0.05919865455346003,0.2650893032550812
8,390,2,0.01,4,100,11523,0.5,0.9976474046707153,0.0022958049084991217,0.04791455841911852,0.18690381944179535
9,390,2,0.01,4,100,11523,0.5,0.9966761469841003,0.003243611892685294,0.05695271628891193,0.19258587062358856
10,390,2,0.01,4,100,11523,0.5,0.9971312284469604,0.0027994795236736536,0.05291010795371385,0.20651797950267792
11,390,2,0.01,4,100,11523,0.5,0.9974687695503235,0.002470092149451375,0.0497000216242546,0.19232001900672913
12,390,2,0.01,4,100,11523,0.5,0.9967417120933533,0.003179578809067607,0.05638775407007808,0.16379833221435547
13,390,2,0.01,4,100,11523,0.5,0.9961696863174438,0.0037378198467195034,0.06113771214822733,0.17758773267269135
14,390,2,0.01,4,100,11523,0.5,0.9957239627838135,0.004172757267951965,0.06459688280367687,0.2634165585041046
15,390,2,0.01,4,100,11523,0.5,0.9938119649887085,0.006038605235517025,0.0777084630881156,0.28622984886169434
16,390,2,0.01,4,100,11523,0.5,0.9951456785202026,0.004737107083201408,0.06882664515433981,0.1931467205286026
17,390,2,0.01,4,100,11523,0.5,0.9971494674682617,0.0027817212976515293,0.052742025915312823,0.20411451160907745
18,390,2,0.01,4,100,11523,0.5,0.9976409673690796,0.002302038948982954,0.047979568036644035,0.19244161248207092
19,390,2,0.01,4,100,11523,0.5,0.9960751533508301,0.0038300740998238325,0.06188759245457713,0.2026691734790802
20,390,2,0.01,4,100,11523,0.5,0.9857745170593262,0.013881976716220379,0.11782180068315193,0.31900227069854736
21,390,2,0.01,4,100,11523,0.5,0.9962259531021118,0.0036828916054219007,0.060686832224312884,0.21840229630470276
22,390,2,0.01,4,100,11523,0.5,0.9950807690620422,0.004800458438694477,0.06928534072005764,0.27602285146713257
23,390,2,0.01,4,100,11523,0.5,0.9965981245040894,0.0033197070006281137,0.05761689856828562,0.2104928195476532
24,390,2,0.01,4,100,11523,0.5,0.996253252029419,0.0036562916357070208,0.06046727739618364,0.22923943400382996
25,390,2,0.01,4,100,11523,0.5,0.9955871105194092,0.004306326620280743,0.06562260753948096,0.24536588788032532
26,390,2,0.01,4,100,11523,0.5,0.9965798854827881,0.0033375383354723454,0.05777143182813063,0.2488814741373062
27,390,2,0.01,4,100,11523,0.5,0.9967376589775085,0.0031835383269935846,0.056422852878896375,0.28584882616996765
28,390,2,0.01,4,100,11523,0.5,0.993220329284668,0.006615927442908287,0.08133835161169845,0.27153581380844116
29,390,2,0.01,4,100,11523,0.5,0.9778212308883667,0.021643176674842834,0.14711620126567582,0.3449776768684387
30,390,2,0.01,4,100,11523,0.5,0.9967816472053528,0.0031406276393681765,0.05604130297707376,0.21726974844932556
1,390,2,0.01,4,100,23046,1.0,0.9977026581764221,0.002241875510662794,0.047348447816827045,0.19463755190372467
2,390,2,0.01,4,100,23046,1.0,0.9972823262214661,0.0026520248502492905,0.05149781403369749,0.1955452263355255
3,390,2,0.01,4,100,23046,1.0,0.9967002868652344,0.003220043610781431,0.05674542810466259,0.18854820728302002
4,390,2,0.01,4,100,23046,1.0,0.9965041279792786,0.0034114778973162174,0.05840785818120895,0.1613675355911255
5,390,2,0.01,4,100,23046,1.0,0.9957351088523865,0.004161879885941744,0.06451263353748429,0.21271274983882904
6,390,2,0.01,4,100,23046,1.0,0.9956313371658325,0.004263156093657017,0.06529284871758174,0.19653598964214325
7,390,2,0.01,4,100,23046,1.0,0.9964748024940491,0.0034400909207761288,0.05865228828252252,0.24659821391105652
8,390,2,0.01,4,100,23046,1.0,0.9975656867027283,0.0023755377624183893,0.04873948873776159,0.1652631014585495
9,390,2,0.01,4,100,23046,1.0,0.9960522055625916,0.003852462163195014,0.062068205735263636,0.19836552441120148
10,390,2,0.01,4,100,23046,1.0,0.9935094118118286,0.0063338615000247955,0.0795855608764856,0.2636205554008484
11,390,2,0.01,4,100,23046,1.0,0.998065710067749,0.0018875855021178722,0.04344635200011472,0.18218600749969482
12,390,2,0.01,4,100,23046,1.0,0.9981704354286194,0.0017854105681180954,0.04225411894854862,0.16551564633846283
13,390,2,0.01,4,100,23046,1.0,0.9979941248893738,0.0019574358593672514,0.044242918748283906,0.19033551216125488
14,390,2,0.01,4,100,23046,1.0,0.9947312474250793,0.005141535773873329,0.07170450316314401,0.18771082162857056
15,390,2,0.01,4,100,23046,1.0,0.9977927207946777,0.0021539772860705853,0.046410960839769144,0.19580470025539398
16,390,2,0.01,4,100,23046,1.0,0.997527539730072,0.0024127380456775427,0.0491196299423921,0.2039436399936676
17,390,2,0.01,4,100,23046,1.0,0.9980419278144836,0.0019107811385765672,0.043712482640277564,0.19218696653842926
18,390,2,0.01,4,100,23046,1.0,0.9968602657318115,0.003063926473259926,0.05535274585113123,0.17164960503578186
19,390,2,0.01,4,100,23046,1.0,0.997553825378418,0.0023870861623436213,0.048857815775407126,0.18504075706005096
20,390,2,0.01,4,100,23046,1.0,0.9979320764541626,0.0020179732237011194,0.044921856859452276,0.16031841933727264
21,390,2,0.01,4,100,23046,1.0,0.9977839589118958,0.002162534510716796,0.046503059154391076,0.14629288017749786
22,390,2,0.01,4,100,23046,1.0,0.99808669090271,0.0018671287689357996,0.043210285453070076,0.1468404084444046
23,390,2,0.01,4,100,23046,1.0,0.9973572492599487,0.0025789409410208464,0.05078327422509154,0.18453742563724518
24,390,2,0.01,4,100,23046,1.0,0.9983205795288086,0.0016388784861192107,0.04048306418885817,0.1552904099225998
25,390,2,0.01,4,100,23046,1.0,0.9974297285079956,0.0025081937201321125,0.05008187017406711,0.19211778044700623
26,390,2,0.01,4,100,23046,1.0,0.997111439704895,0.0028188186697661877,0.05309254815664989,0.1749243140220642
27,390,2,0.01,4,100,23046,1.0,0.9983652830123901,0.001595242996700108,0.039940493195504086,0.15739592909812927
28,390,2,0.01,4,100,23046,1.0,0.9972450137138367,0.002688436070457101,0.051850130862487714,0.2552403509616852
29,390,2,0.01,4,100,23046,1.0,0.9977912902832031,0.0021553717087954283,0.04642598096750814,0.19202272593975067
30,390,2,0.01,4,100,23046,1.0,0.9984983205795288,0.001465392648242414,0.03828044733597576,0.1547921746969223
