seed,max_neurons,layers,lr,unlock_layers,epoch,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,390,2,0.01,4,1,0.9868974685668945,0.012786131352186203,0.1130757770355181,0.4289436340332031
1,390,2,0.01,4,2,0.992752194404602,0.007072781678289175,0.08409983161867314,0.33234256505966187
1,390,2,0.01,4,3,0.9947671294212341,0.005106527358293533,0.07145997032110728,0.2826901078224182
1,390,2,0.01,4,4,0.9955093264579773,0.004382219631224871,0.0661983355623453,0.26220938563346863
1,390,2,0.01,4,5,0.9947080016136169,0.005164212081581354,0.07186245251577039,0.25237175822257996
1,390,2,0.01,4,6,0.9945515394210815,0.005316904280334711,0.07291710554002202,0.29171282052993774
1,390,2,0.01,4,7,0.9946768283843994,0.00519464910030365,0.07207391414585203,0.2958047389984131
1,390,2,0.01,4,8,0.9964768886566162,0.003438028274103999,0.0586347019614153,0.22465254366397858
1,390,2,0.01,4,9,0.9816956520080566,0.01786235347390175,0.13365011587687364,0.3162655532360077
1,390,2,0.01,4,10,0.9968509078025818,0.0030730629805475473,0.05543521426446864,0.2220306098461151
1,390,2,0.01,4,11,0.997039794921875,0.002888705348595977,0.05374667755867312,0.21911115944385529
1,390,2,0.01,4,12,0.9962782859802246,0.00363184348680079,0.06026477816105183,0.24392271041870117
1,390,2,0.01,4,13,0.9948580861091614,0.005017763935029507,0.07083617673921642,0.2137134075164795
1,390,2,0.01,4,14,0.9964338541030884,0.0034800185821950436,0.058991682313653704,0.21831995248794556
1,390,2,0.01,4,15,0.9972602128982544,0.002673640614375472,0.051707258817070084,0.21489985287189484
1,390,2,0.01,4,16,0.9962676763534546,0.003642215160652995,0.060350767689011174,0.2177198976278305
1,390,2,0.01,4,17,0.9946039915084839,0.005265702493488789,0.07256516032841648,0.19912108778953552
1,390,2,0.01,4,18,0.9975837469100952,0.002357893856242299,0.04855814922587453,0.18611066043376923
1,390,2,0.01,4,19,0.9958728551864624,0.004027464892715216,0.06346231080503778,0.2122585028409958
1,390,2,0.01,4,20,0.9912319183349609,0.00855632871389389,0.09250042547952896,0.37324589490890503
1,390,2,0.01,4,21,0.9940628409385681,0.0057938056997954845,0.07611705262157413,0.2647520899772644
1,390,2,0.01,4,22,0.9964680671691895,0.003446633229032159,0.05870803376908614,0.2154805064201355
1,390,2,0.01,4,23,0.9952149987220764,0.004669475834816694,0.06833356301859793,0.19335685670375824
1,390,2,0.01,4,24,0.9957371354103088,0.004159940872341394,0.06449760361704453,0.21208438277244568
1,390,2,0.01,4,25,0.9977502226829529,0.00219545210711658,0.04685565181615319,0.1620117872953415
1,390,2,0.01,4,26,0.996694028377533,0.003226126777008176,0.056799003309989306,0.19452743232250214
1,390,2,0.01,4,27,0.9970998764038086,0.0028301007114350796,0.05319869088083916,0.18931660056114197
1,390,2,0.01,4,28,0.9959931373596191,0.003910122439265251,0.06253097184008298,0.30888402462005615
1,390,2,0.01,4,29,0.9977409839630127,0.0022044454235583544,0.046951522057952014,0.19238311052322388
1,390,2,0.01,4,30,0.9971864223480225,0.002745609497651458,0.05239856388920843,0.1804729700088501
1,390,2,0.01,4,31,0.9525240659713745,0.04632950574159622,0.2152428993987867,0.3625635504722595
1,390,2,0.01,4,32,0.9967910051345825,0.0031315325759351254,0.05596009806938445,0.25561094284057617
1,390,2,0.01,4,33,0.997507631778717,0.0024321714881807566,0.049317050684127055,0.1919090449810028
1,390,2,0.01,4,34,0.9976176023483276,0.0023248440120369196,0.04821663625800663,0.1737288385629654
1,390,2,0.01,4,35,0.9979055523872375,0.0020438909996300936,0.04520941273263891,0.1716710329055786
1,390,2,0.01,4,36,0.9957082271575928,0.004188148770481348,0.06471590817164932,0.22700124979019165
1,390,2,0.01,4,37,0.9974415898323059,0.0024966448545455933,0.049966437280894796,0.17002318799495697
1,390,2,0.01,4,38,0.9905434250831604,0.00922822579741478,0.09606365492429891,0.27621889114379883
1,390,2,0.01,4,39,0.9752458333969116,0.024156395345926285,0.15542327800534347,0.3037130534648895
1,390,2,0.01,4,40,0.9979801774024963,0.0019710364285856485,0.044396356028233316,0.19920067489147186
1,390,2,0.01,4,41,0.9944160580635071,0.0054491073824465275,0.07381806948469004,0.23766247928142548
1,390,2,0.01,4,42,0.9974370002746582,0.0025011326652020216,0.0500113253693803,0.20129869878292084
1,390,2,0.01,4,43,0.9978676438331604,0.0020808579865843058,0.04561642233433378,0.18826448917388916
1,390,2,0.01,4,44,0.9972207546234131,0.0027121470775455236,0.05207827836579781,0.18600501120090485
1,390,2,0.01,4,45,0.9973551630973816,0.0025809621438384056,0.050803170608126474,0.19441092014312744
1,390,2,0.01,4,46,0.9953668117523193,0.004521295428276062,0.06724057873245932,0.24233460426330566
1,390,2,0.01,4,47,0.9973281025886536,0.0026073898188769817,0.051062606855476755,0.15980663895606995
1,390,2,0.01,4,48,0.9981863498687744,0.001769840600900352,0.042069473503959516,0.1616469770669937
1,390,2,0.01,4,49,0.9789460301399231,0.020545562729239464,0.1433372342737206,0.25107842683792114
1,390,2,0.01,4,50,0.997562825679779,0.0023783391807228327,0.04876821896197187,0.18141867220401764
1,390,2,0.01,4,51,0.9979844689369202,0.001966867595911026,0.044349381009333444,0.18307562172412872
1,390,2,0.01,4,52,0.997936487197876,0.0020136830862611532,0.04487408033888999,0.15415792167186737
1,390,2,0.01,4,53,0.9900105595588684,0.009748213924467564,0.09873304373140517,0.2501210868358612
1,390,2,0.01,4,54,0.9965802431106567,0.0033371925819665194,0.05776843932431029,0.17821259796619415
1,390,2,0.01,4,55,0.9974399209022522,0.0024982807226479053,0.0499828042695476,0.16702936589717865
1,390,2,0.01,4,56,0.9973806738853455,0.0025560983922332525,0.05055787171384148,0.17931053042411804
1,390,2,0.01,4,57,0.9982567429542542,0.0017011453164741397,0.04124494292000099,0.17723026871681213
1,390,2,0.01,4,58,0.9982168078422546,0.0017401354853063822,0.041714931203423816,0.14916981756687164
1,390,2,0.01,4,59,0.9975773096084595,0.002364186570048332,0.04862290170329546,0.19756676256656647
1,390,2,0.01,4,60,0.997901439666748,0.0020479015074670315,0.0452537457838247,0.15135042369365692
1,390,2,0.01,4,61,0.9980817437171936,0.001871940796263516,0.04326593112673661,0.18778322637081146
1,390,2,0.01,4,62,0.997447669506073,0.0024907023180276155,0.04990693657226033,0.1694077104330063
1,390,2,0.01,4,63,0.997718334197998,0.0022265720181167126,0.047186566076762915,0.1769675463438034
1,390,2,0.01,4,64,0.9948623180389404,0.005013622809201479,0.0708069404027704,0.225949227809906
1,390,2,0.01,4,65,0.9964579343795776,0.003456516657024622,0.05879214791980832,0.18120510876178741
1,390,2,0.01,4,66,0.9963299632072449,0.003581406082957983,0.05984485009554275,0.18728382885456085
1,390,2,0.01,4,67,0.9948456287384033,0.005029907450079918,0.07092184043071582,0.22228127717971802
1,390,2,0.01,4,68,0.9971264004707336,0.0028041882906109095,0.05295458705920488,0.21031054854393005
1,390,2,0.01,4,69,0.9978712201118469,0.002077357145026326,0.0455780335800737,0.1624821424484253
1,390,2,0.01,4,70,0.9975290894508362,0.002411233726888895,0.04910431474818577,0.18221069872379303
1,390,2,0.01,4,71,0.9977026581764221,0.0022418582811951637,0.047348265873157,0.19368046522140503
1,390,2,0.01,4,72,0.9980087876319885,0.0019431019900366664,0.04408063055398217,0.1578318178653717
1,390,2,0.01,4,73,0.9977288842201233,0.0022162729874253273,0.04707730862555046,0.1470852643251419
1,390,2,0.01,4,74,0.9975413084030151,0.0023993183858692646,0.0489828376665671,0.1726035326719284
