epoch,rmse
1,0.08048902610299011
2,0.06460411275216389
3,0.057774160211671206
4,0.06594231473826709
5,0.046866436017054695
6,0.07499814192635922
7,0.045426581088762866
8,0.0475274245287404
9,0.0647204195732354
10,0.04439781393743976
11,0.05679175135696141
12,0.03834241923515538
13,0.03562574348698667
14,0.051805584381726236
15,0.04958773557787547
16,0.06385908046213001
17,0.04084925030808814
18,0.036866295401354734
19,0.04233821118514964
20,0.06288045332970517
21,0.052767562136789035
22,0.04350502332318616
23,0.034932112465312026
24,0.04134485961473133
25,0.04756062236979005
26,0.04647069908167404
27,0.04045414921741061
28,0.05265115865407673
29,0.05495974139841755
30,0.039574318816676286
31,0.03392021944534145
32,0.0345214076223424
33,0.16724962056370676
34,0.08391494709010695
35,0.04718575931884786
36,0.09699279963945052
37,0.04741673550100755
38,0.08386414815994887
39,0.038115095934370874
40,0.06178238845703891
41,0.039780508836447966
42,0.0404157970588285
43,0.046269834222763775
44,0.06150519766713111
45,0.07574253248438145
46,0.04480130923288763
47,0.07576182844090616
48,0.04779583985481922
49,0.0740364150143225
50,0.04177377281826669
51,0.08875546401625226
52,0.03768956728622069
53,0.06389867840334498
54,0.034324658714575275
55,0.03940895341400083
56,0.04118006389323234
57,0.033805209226794086
58,0.07162952772903673
59,0.03321770039575193
60,0.0597469143158006
61,0.06428135394276666
62,0.05818096233370668
63,0.03332120745766187
64,0.03898072922789017
65,0.04506737272974208
66,0.04644237742843194
67,0.040638644421344
68,0.10381270012041034
69,0.07847877807394821
70,0.03322862599519954
71,0.09389029376828087
72,0.041953594471082385
73,0.05927675253182059
74,0.03625981782148669
75,0.030445927430734463
76,0.02918633129550456
77,0.03126281981964289
78,0.03033899219854447
79,0.03548549583696107
80,0.038896327919900366
81,0.04234989971463716
82,0.03311531994965233
83,0.03299423028618389
84,0.033533054165395704
85,0.03234017099513732
86,0.0744161897139992
87,0.03792643618325139
88,0.037343310539101865
89,0.04549851332763334
90,0.05308478986441352
91,0.042135581547477784
92,0.033210816614437554
93,0.03184070200460117
94,0.03292561183711168
95,0.0348041455631257
96,0.03375478153497751
97,0.034457729433612826
98,0.042988982368221657
99,0.05955401181935255
100,0.03180961661724395
