epoch,rmse
1,0.0984162464736829
2,0.08840317682667033
3,0.05700099923357027
4,0.057536573913013596
5,0.04832177836076618
6,0.05534540956551737
7,0.05852534553033424
8,0.04563979821319834
9,0.05352245116727478
10,0.05208355585686513
11,0.0738181514916216
12,0.07105498226287082
13,0.04978955263291327
14,0.051874907759934884
15,0.061788777720303584
16,0.04752374288582185
17,0.0507654706574545
18,0.05178795242846248
19,0.0531695739893898
20,0.04049401607695745
21,0.05725081185518498
22,0.06006594163248946
23,0.08171675488624013
24,0.04068958313926265
25,0.04779043964947953
26,0.04404463141066753
27,0.06254221563354564
28,0.04049679886242794
29,0.038934414198650784
30,0.03965839562772102
31,0.04285082566072025
32,0.04164332925879384
33,0.04013329703649463
34,0.08490546926076978
35,0.06216590029097466
36,0.05206116810665739
37,0.03891228462914642
38,0.04164086212740186
39,0.06289934933017709
40,0.055797796887259936
41,0.03964795725395358
42,0.054796826977568706
43,0.04306571893943701
44,0.06846538566187277
45,0.04693972073335338
46,0.04481009383372251
47,0.04699055019579971
48,0.05490580481032308
49,0.05428225368434911
50,0.03967594868235082
51,0.04043494025720948
52,0.04895090402294636
53,0.03914437505180594
54,0.047941029367898035
55,0.05676682775077952
56,0.04335236401409047
57,0.03613519016381639
58,0.053451694898840864
59,0.04080242279451988
60,0.04402046400468673
61,0.053228559516606176
62,0.04609966048234718
63,0.07150848143756582
64,0.038022794404851
65,0.042658504026546466
66,0.036905430990590765
67,0.05383041271779645
68,0.040589196333147094
69,0.041465522744382366
70,0.08949127195964768
71,0.0423176484229813
72,0.04036170217911574
73,0.06372378696272588
74,0.05350392720186623
75,0.048635864832279045
76,0.036639034327199664
77,0.04418304828994769
78,0.0459859627299881
79,0.038908197701775823
80,0.0344625721681906
81,0.048304636493281435
82,0.04801108085333328
83,0.0425207697776017
84,0.05541891357580144
85,0.03510264774061066
86,0.037195316357763644
87,0.0648198747343095
88,0.03849803215432216
89,0.08354145346062979
90,0.0471555243241005
91,0.0386814290464413
92,0.056635632377128
93,0.046398843887124355
94,0.03459819468072477
95,0.03714351746070975
96,0.04403525658178731
97,0.05729367873964636
98,0.038136358691849156
99,0.044770457246618496
100,0.036269786930877755
