epoch,rmse_mean,rmse_std
1,0.1364184526650221,0.020381152312393847
2,0.0869013504694567,0.018136226769096545
3,0.06816717678269274,0.008606420037466079
4,0.06676100810364262,0.013323346769912588
5,0.06178890269975301,0.012861959649404467
6,0.06411271027609887,0.01703696879936711
7,0.05871365664758351,0.010795331291229506
8,0.06664950371992011,0.01727503079742365
9,0.06125730587591035,0.011469053976400584
10,0.060077181128438406,0.013365611076136905
11,0.06005486729254149,0.0160297381104303
12,0.05596322539217018,0.010185563336483813
13,0.05887513918362431,0.017325484705669653
14,0.06338904225688274,0.019608386112589977
15,0.05949746796948493,0.013249346861718208
16,0.0550407045697068,0.008595784841015723
17,0.06027645493002804,0.02359659613727291
18,0.0578936860763469,0.018092379016789985
19,0.05699179590956082,0.010956597236317206
20,0.05596825337811499,0.012491413079400947
21,0.06567791495923837,0.032090491358908575
22,0.052254458915034815,0.00925693914876902
23,0.05669812733866539,0.01575709551000071
24,0.05267675677651596,0.009866637572367963
25,0.054279659726773295,0.013730355633447362
26,0.06141363556801049,0.021382555468645474
27,0.05397666648473579,0.010986460350429805
28,0.06028803747759192,0.02111336352717139
29,0.05376785801885328,0.008871995895721204
30,0.05107118476076064,0.008662720710649724
31,0.05373761580736669,0.012848962427531392
32,0.05463149352260624,0.014519534350373496
33,0.055003997544345595,0.011422426040044294
34,0.05732258765243417,0.01347175119585317
35,0.05254777195312012,0.009693179783452095
36,0.05211234842320732,0.012557670601041016
37,0.053418913046132555,0.012610356413373118
38,0.05607847662159379,0.01612664775333022
39,0.05362553183579045,0.015356650376779224
40,0.053552898153146566,0.012077886914208724
41,0.053084577013853586,0.014625256596541404
42,0.05635026898213793,0.013648221089717616
43,0.056356510834288685,0.023756153757612055
44,0.05214583343243249,0.009998469731761037
45,0.05252415679457357,0.015857919539896077
46,0.05368239330108779,0.015463909487691928
47,0.05222177885249625,0.011050787615697758
48,0.05138607678415593,0.010819465133834614
49,0.05062515045920247,0.008816380600841231
50,0.0551759759825512,0.014732623751523911
51,0.052765889579101666,0.010629435445573042
52,0.05175582128820392,0.015517015902723108
53,0.04892490140773545,0.008218884949171239
54,0.05218249182497178,0.011333016226408924
55,0.05269535734948409,0.014737738221832455
56,0.050398776728506255,0.014907259514679633
57,0.05223380052101542,0.014444843184877251
58,0.048502434027528706,0.021266386629773065
59,0.047410747640321486,0.008920544503365225
60,0.049335965791328186,0.008108890080592518
61,0.05377365823625732,0.013615279241101721
62,0.0561680705576131,0.0228973948681732
63,0.04637474906929288,0.007195444438685433
64,0.04952208081238732,0.014077419973809882
65,0.053885759686222064,0.018533331960437
66,0.049836576803913325,0.01666094720765945
67,0.06277853814724993,0.03210844619537487
68,0.047604340638470494,0.008932701307255505
69,0.047195626447852156,0.008752885001130879
70,0.05066448977431504,0.019083849499641283
71,0.048185590453646614,0.015508998162065213
72,0.047712427868895055,0.009623257336316079
73,0.05067127851803968,0.014307405462852186
74,0.05487244171238188,0.028951650027603498
75,0.04952069609987075,0.011700220079586153
76,0.04788770434020444,0.010915454146101646
77,0.05059220158528829,0.01146736923526925
78,0.05153520758668906,0.01412962254203985
79,0.05166552560385406,0.01430945471167721
80,0.051821431370435884,0.017478131895134013
81,0.0481625158613896,0.012261933530254772
82,0.04706525351131889,0.00849019516632665
83,0.05253401373619515,0.0191576401396737
84,0.05021235373753572,0.015300305001266295
85,0.05104373545858286,0.011923624913977101
86,0.05142124044880589,0.01716629407548913
87,0.04976934862997752,0.01848248170574843
88,0.04605902268178211,0.0076334550020131006
89,0.049697813331750454,0.011634131837346046
90,0.04442181748542793,0.00846775183691819
91,0.050422234458312024,0.01164787762137867
92,0.045674535036713225,0.006618180452933622
93,0.04907545350925786,0.01109993887057795
94,0.04731947592488288,0.011051291912441518
95,0.04702292752380618,0.009499849413272426
96,0.047980701166828094,0.00907720598285263
97,0.04557707752006015,0.007433156466195412
98,0.04600234665877131,0.01226541521826134
99,0.046924393708768594,0.01014805843927577
100,0.04491282713277586,0.005721587836768282
