neurons,layers,lr,unlock_layers,epochs,Jou_score,Jou_mse,Jou_mape,time
390,2,0.01,0,100,0.9948121905326843,0.005062517244368792,0.28841668367385864,28.062733
390,2,0.01,1,100,0.9962231516838074,0.0036856543738394976,0.24360795319080353,28.792928
390,2,0.01,2,100,0.9968000054359436,0.003122712252661586,0.1983746886253357,28.642665
390,2,0.01,3,100,0.9975494742393494,0.002391369082033634,0.18739843368530273,29.928756
390,2,0.01,4,100,0.9975605010986328,0.002380580874159932,0.19758832454681396,32.154518
