epoch,mape
1,0.33655282855033875
2,0.2556632459163666
3,0.1808321177959442
4,0.18344704806804657
5,0.16265514492988586
6,0.18738484382629395
7,0.12838587164878845
8,0.14102327823638916
9,0.2016010284423828
10,0.18791626393795013
11,0.15593960881233215
12,0.12699103355407715
13,0.15423625707626343
14,0.1295851469039917
15,0.15511611104011536
16,0.12324494868516922
17,0.10595296323299408
18,0.1305074691772461
19,0.12265744060277939
20,0.19712716341018677
21,0.16150134801864624
22,0.08778591454029083
23,0.09223884344100952
24,0.08809325844049454
25,0.17606733739376068
26,0.11327890306711197
27,0.10784309357404709
28,0.13076536357402802
29,0.1301024705171585
30,0.10134170949459076
31,0.10818254947662354
32,0.1003723219037056
33,0.08212535828351974
34,0.1051732748746872
35,0.09315823018550873
36,0.12842266261577606
37,0.14165566861629486
38,0.09082795679569244
39,0.09489382803440094
40,0.1466345489025116
41,0.09718536585569382
42,0.09119921922683716
43,0.10578592866659164
44,0.09006012976169586
45,0.08465525507926941
46,0.08272608369588852
47,0.1385456919670105
48,0.09997449815273285
49,0.1521117240190506
50,0.08361959457397461
51,0.09842842817306519
52,0.16081973910331726
53,0.1264553964138031
54,0.08847718685865402
55,0.08231828361749649
56,0.06967248022556305
57,0.11815367639064789
58,0.07506947964429855
59,0.13819240033626556
60,0.09519115090370178
61,0.09963732957839966
62,0.1036887988448143
63,0.08900362253189087
64,0.26498353481292725
65,0.07075563818216324
66,0.11015594005584717
67,0.07182817906141281
68,0.0891030803322792
69,0.08796758204698563
70,0.06667792797088623
71,0.09871752560138702
72,0.0846884623169899
73,0.07401767373085022
74,0.11621589958667755
75,0.10169237852096558
76,0.08716733753681183
77,0.08393614739179611
78,0.0946119874715805
79,0.11453502625226974
80,0.1354953497648239
81,0.08049242943525314
82,0.07482276111841202
83,0.09770447760820389
84,0.11291410773992538
85,0.08373833447694778
86,0.08709925413131714
87,0.0755937248468399
88,0.08200474083423615
89,0.07339469343423843
90,0.05041287839412689
91,0.06898263096809387
92,0.07909280061721802
93,0.11070331931114197
94,0.07683251798152924
95,0.10385378450155258
96,0.10276753455400467
97,0.08686467260122299
98,0.0678538978099823
99,0.09077947586774826
100,0.10225769132375717
