epoch,mape
1,0.2947291433811188
2,0.21566057205200195
3,0.15364645421504974
4,0.1281854212284088
5,0.12036721408367157
6,0.10036236047744751
7,0.11987900733947754
8,0.1231607049703598
9,0.10882551968097687
10,0.09173686057329178
11,0.13297122716903687
12,0.10307307541370392
13,0.09154204279184341
14,0.10747145116329193
15,0.0852915570139885
16,0.08558887988328934
17,0.08007516711950302
18,0.09597170352935791
19,0.12069936841726303
20,0.0728929340839386
21,0.07523041218519211
22,0.05861582234501839
23,0.14588840305805206
24,0.07638797163963318
25,0.09282229095697403
26,0.08174391090869904
27,0.0974724143743515
28,0.05634767934679985
29,0.06524144113063812
30,0.10147446393966675
31,0.07367315143346786
32,0.08585570752620697
33,0.09551971405744553
34,0.08576298505067825
35,0.049616262316703796
36,0.06809066236019135
37,0.10650695115327835
38,0.07119346410036087
39,0.059745002537965775
40,0.07223152369260788
41,0.06214117258787155
42,0.0763019323348999
43,0.0677499994635582
44,0.06737241894006729
45,0.10631063580513
46,0.07158290594816208
47,0.05856383219361305
48,0.06501328200101852
49,0.06079988554120064
50,0.05475585162639618
51,0.07989800721406937
52,0.07568247616291046
53,0.06451473385095596
54,0.04977943375706673
55,0.08274459838867188
56,0.05347225442528725
57,0.043389253318309784
58,0.07456667721271515
59,0.05893824249505997
60,0.059849776327610016
61,0.048908937722444534
62,0.07745939493179321
63,0.04273033142089844
64,0.06440569460391998
65,0.08686245232820511
66,0.04895925894379616
67,0.05838523805141449
68,0.07683709263801575
69,0.04797655716538429
70,0.0633431226015091
71,0.048067834228277206
72,0.0555744543671608
73,0.07003654539585114
74,0.07227271050214767
75,0.0657893642783165
76,0.04062242433428764
77,0.038923051208257675
78,0.06452888995409012
79,0.06071023270487785
80,0.09466302394866943
81,0.05681456997990608
82,0.0879579484462738
83,0.059788577258586884
84,0.0528867244720459
85,0.05594273656606674
86,0.048770803958177567
87,0.06558386236429214
88,0.05421527847647667
89,0.05411664396524429
90,0.06858693063259125
91,0.05439477413892746
92,0.05479566007852554
93,0.06063427776098251
94,0.07291267067193985
95,0.0511186309158802
96,0.06551524251699448
97,0.04662292078137398
98,0.06540925800800323
99,0.07562224566936493
100,0.044476594775915146
