lr,epochs,Jou_score,Jou_mse,Jou_mape,time
0.001,100,0.6981894373893738,0.3069022297859192,1.7418084144592285,2026-02-09 20:46:52.548296
0.0005,100,0.14254766702651978,0.8719178438186646,1.4878157377243042,2026-02-09 20:46:52.984015
0.001,100,0.9772536158561707,0.02313011698424816,0.8498897552490234,2026-02-09 20:46:54.490461
0.0005,100,0.9123831987380981,0.08909493684768677,1.8770792484283447,2026-02-09 20:46:56.000469
0.001,100,0.9877213835716248,0.012485780753195286,0.5630481243133545,2026-02-09 20:46:58.927722
0.0005,100,0.9771957397460938,0.02318900264799595,0.8022590279579163,2026-02-09 20:47:01.990887
0.001,100,0.9947713017463684,0.00531690614297986,0.3178600072860718,2026-02-09 20:47:09.568850
0.0005,100,0.9914636611938477,0.008680379018187523,0.4156552255153656,2026-02-09 20:47:17.037154
0.001,100,0.9984893202781677,0.0015361401019617915,0.19759464263916016,2026-02-09 20:47:46.579050
0.0005,100,0.9969521760940552,0.003099246183410287,0.28010040521621704,2026-02-09 20:48:16.104068
