lr,epochs,Jou_score,Jou_mse,Jou_mape,time
0.1,100,0.9917100071907043,0.008429834619164467,0.39365464448928833,22.158116
0.5,100,0.9872345328330994,0.012980851344764233,0.9182659983634949,22.170136
0.05,100,0.995897114276886,0.004172102082520723,0.44967350363731384,22.272932
0.01,100,0.9979670643806458,0.002067226218059659,0.2066090852022171,22.409972
0.005,100,0.9983190894126892,0.0017092968337237835,0.26056861877441406,22.266629
0.001,100,0.9974183440208435,0.0026252390816807747,0.24295508861541748,22.406146
0.0005,100,0.9967291951179504,0.0033259722404181957,0.38036879897117615,22.505623
0.0001,100,0.9873097538948059,0.012904349714517593,0.8534643054008484,22.526652
