seed,max_neurons,layers,lr,unlock_layers,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
4,390,2,0.01,4,100,5945,0.25,0.9987832307815552,0.0012372670462355018,0.03517480698220676,0.2113298922777176
5,390,2,0.01,4,100,5945,0.25,0.9959068298339844,0.004162229597568512,0.06451534389250756,0.1820087432861328
6,390,2,0.01,4,100,5945,0.25,0.9960488677024841,0.004017776343971491,0.06338593175122924,0.222471684217453
7,390,2,0.01,4,100,5945,0.25,0.9985532760620117,0.0014711589319631457,0.03835568969479164,0.1841454952955246
8,390,2,0.01,4,100,5945,0.25,0.9991530179977417,0.0008612446254119277,0.029346969612072858,0.18711303174495697
9,390,2,0.01,4,100,5945,0.25,0.9987881779670715,0.0012322489637881517,0.035103403877518084,0.20087763667106628
10,390,2,0.01,4,100,5945,0.25,0.999004065990448,0.001012706314213574,0.03182304690336194,0.11013340950012207
11,390,2,0.01,4,100,5945,0.25,0.9981993436813354,0.0018310482846572995,0.04279074998942294,0.21426807343959808
12,390,2,0.01,4,100,5945,0.25,0.9983776807785034,0.0016496810130774975,0.040616265375801076,0.22185738384723663
13,390,2,0.01,4,100,5945,0.25,0.9964867234230042,0.0035725522320717573,0.0597708309468068,0.24915950000286102
14,390,2,0.01,4,100,5945,0.25,0.9975563883781433,0.0024848170578479767,0.04984793935407939,0.25419268012046814
15,390,2,0.01,4,100,5945,0.25,0.9938069581985474,0.006297520827502012,0.07935692047642734,0.3797808289527893
16,390,2,0.01,4,100,5945,0.25,0.9987220168113708,0.0012995566939935088,0.03604936468224522,0.1656261831521988
17,390,2,0.01,4,100,5945,0.25,0.9990029335021973,0.0010138832731172442,0.03184153377457255,0.15737377107143402
18,390,2,0.01,4,100,5945,0.25,0.997929036617279,0.002105884486809373,0.045889917049493266,0.23893843591213226
19,390,2,0.01,4,100,5945,0.25,0.9980537295341492,0.0019791321828961372,0.04448743848431979,0.19251853227615356
20,390,2,0.01,4,100,5945,0.25,0.9989455938339233,0.0010722047882154584,0.03274453829595798,0.2126886397600174
21,390,2,0.01,4,100,5945,0.25,0.9987075328826904,0.0013142820680513978,0.036253028398347605,0.18528945744037628
22,390,2,0.01,4,100,5945,0.25,0.9986251592636108,0.0013980311341583729,0.037390254534549146,0.18240141868591309
23,390,2,0.01,4,100,5945,0.25,0.9988582730293274,0.001160983694717288,0.0340732108072792,0.15476182103157043
24,390,2,0.01,4,100,5945,0.25,0.9984861016273499,0.0015394306974485517,0.03923557948404167,0.27022990584373474
25,390,2,0.01,4,100,5945,0.25,0.9987360239028931,0.001285303384065628,0.0358511280724279,0.24724936485290527
26,390,2,0.01,4,100,5945,0.25,0.9987983107566833,0.0012219824129715562,0.03495686503351747,0.2308763861656189
27,390,2,0.01,4,100,5945,0.25,0.9984039664268494,0.0016229788307100534,0.04028621142165212,0.1700393259525299
28,390,2,0.01,4,100,5945,0.25,0.9989927411079407,0.001024222350679338,0.03200347404078716,0.16075238585472107
29,390,2,0.01,4,100,5945,0.25,0.9989566802978516,0.001060950686223805,0.032572237967689675,0.26977720856666565
30,390,2,0.01,4,100,5945,0.25,0.998481810092926,0.001543793361634016,0.039291135916819916,0.13839267194271088
1,390,2,0.01,4,100,11891,0.5,0.9990010261535645,0.0010158356744796038,0.031872177121740584,0.18538007140159607
2,390,2,0.01,4,100,11891,0.5,0.9994320869445801,0.0005774741875939071,0.024030692615775916,0.10908939689397812
3,390,2,0.01,4,100,11891,0.5,0.9989233613014221,0.0010948044946417212,0.03308783000805162,0.22997890412807465
4,390,2,0.01,4,100,11891,0.5,0.9993432760238647,0.0006678330828435719,0.025842466655556933,0.11136893182992935
5,390,2,0.01,4,100,11891,0.5,0.9990749955177307,0.0009406059980392456,0.030669300579557492,0.10781284421682358
6,390,2,0.01,4,100,11891,0.5,0.9987159371376038,0.0013057453325018287,0.03613509834636996,0.17102666199207306
7,390,2,0.01,4,100,11891,0.5,0.9989798665046692,0.0010373665718361735,0.03220817554342645,0.13227765262126923
8,390,2,0.01,4,100,11891,0.5,0.998709499835968,0.0013123010285198689,0.036225695694077,0.15363134443759918
9,390,2,0.01,4,100,11891,0.5,0.9991879463195801,0.0008257357985712588,0.028735618987090896,0.16351652145385742
10,390,2,0.01,4,100,11891,0.5,0.9994862079620361,0.0005224865744821727,0.02285796523057494,0.09275318682193756
11,390,2,0.01,4,100,11891,0.5,0.9991110563278198,0.0009039196302182972,0.03006525619744986,0.21122054755687714
12,390,2,0.01,4,100,11891,0.5,0.9993470311164856,0.0006639940547756851,0.02576808209346759,0.179735466837883
13,390,2,0.01,4,100,11891,0.5,0.9992716312408447,0.0007406633230857551,0.02721513040728916,0.1294449418783188
14,390,2,0.01,4,100,11891,0.5,0.9981086254119873,0.0019233026541769505,0.04385547462035898,0.2403489053249359
15,390,2,0.01,4,100,11891,0.5,0.9992265701293945,0.000786485499702394,0.028044348801539214,0.14016960561275482
16,390,2,0.01,4,100,11891,0.5,0.9992027878761292,0.000810655124951154,0.028472005987481,0.15183117985725403
17,390,2,0.01,4,100,11891,0.5,0.9970614910125732,0.0029880800284445286,0.05466333349188036,0.24327324330806732
18,390,2,0.01,4,100,11891,0.5,0.9991341233253479,0.0008805081597529352,0.02967335774314958,0.16453532874584198
19,390,2,0.01,4,100,11891,0.5,0.9988998770713806,0.0011186994379386306,0.03344696455492831,0.20455105602741241
20,390,2,0.01,4,100,11891,0.5,0.9991495609283447,0.0008647931390441954,0.029407365387674488,0.10974544286727905
21,390,2,0.01,4,100,11891,0.5,0.9993335008621216,0.0006777647649869323,0.026033915667585086,0.14682085812091827
22,390,2,0.01,4,100,11891,0.5,0.9991700053215027,0.0008440045057795942,0.02905175564022929,0.14996591210365295
23,390,2,0.01,4,100,11891,0.5,0.9993133544921875,0.000698209332767874,0.026423651011317002,0.21069827675819397
24,390,2,0.01,4,100,11891,0.5,0.9994621276855469,0.0005469280877150595,0.023386493702884568,0.1424340456724167
25,390,2,0.01,4,100,11891,0.5,0.9991600513458252,0.0008541158167645335,0.029225259909272553,0.1609712392091751
26,390,2,0.01,4,100,11891,0.5,0.999233067035675,0.0007798682781867683,0.027926121789227525,0.11226741969585419
27,390,2,0.01,4,100,11891,0.5,0.9985429644584656,0.0014815948670729995,0.03849149083983367,0.2088610976934433
28,390,2,0.01,4,100,11891,0.5,0.9990866184234619,0.0009288198198191822,0.03047654540493693,0.2489524930715561
