epoch,best_mape
1,1.9549808502197266
2,1.4892897605895996
3,1.4892897605895996
4,1.4892897605895996
5,1.4892897605895996
6,1.2063207626342773
7,1.003109097480774
8,0.937187910079956
9,0.8790068626403809
10,0.7763519287109375
11,0.7763519287109375
12,0.750849187374115
13,0.705983579158783
14,0.6559515595436096
15,0.6379353404045105
16,0.60514897108078
17,0.5872420072555542
18,0.5598457455635071
19,0.5476818084716797
20,0.5476818084716797
21,0.5145440101623535
22,0.5066530704498291
23,0.49487900733947754
24,0.4635695517063141
25,0.4605594277381897
26,0.4227878153324127
27,0.40067505836486816
28,0.3922576606273651
29,0.3702455461025238
30,0.34995973110198975
31,0.34995973110198975
32,0.3490230143070221
33,0.3342548608779907
34,0.28954198956489563
35,0.28954198956489563
36,0.28954198956489563
37,0.26829057931900024
38,0.26829057931900024
39,0.26829057931900024
40,0.26829057931900024
41,0.26829057931900024
42,0.26829057931900024
43,0.25719937682151794
44,0.25719937682151794
45,0.2549808919429779
46,0.2549808919429779
47,0.24134913086891174
48,0.24134913086891174
49,0.23670534789562225
50,0.23670534789562225
51,0.23670534789562225
52,0.23670534789562225
53,0.23670534789562225
54,0.23670534789562225
55,0.23670534789562225
56,0.21906225383281708
57,0.21906225383281708
58,0.21906225383281708
59,0.21906225383281708
60,0.21906225383281708
61,0.21906225383281708
62,0.21286524832248688
63,0.21286524832248688
64,0.21286524832248688
65,0.21286524832248688
66,0.21286524832248688
67,0.2067524641752243
68,0.2067524641752243
69,0.20049747824668884
70,0.20049747824668884
71,0.20049747824668884
72,0.19710791110992432
73,0.19710791110992432
74,0.19710791110992432
75,0.19710791110992432
76,0.19313959777355194
77,0.19313959777355194
78,0.19313959777355194
79,0.19313959777355194
80,0.19313959777355194
81,0.19313959777355194
82,0.18509159982204437
83,0.18509159982204437
84,0.18509159982204437
85,0.18509159982204437
86,0.18509159982204437
87,0.18509159982204437
88,0.18509159982204437
89,0.18509159982204437
90,0.18431854248046875
91,0.18431854248046875
92,0.18431854248046875
93,0.16666151583194733
94,0.16666151583194733
95,0.16666151583194733
96,0.16666151583194733
97,0.16666151583194733
98,0.16666151583194733
99,0.16666151583194733
100,0.16666151583194733
