epoch,best_mape_mean
1,1.3759363442659378
2,1.1474675685167313
3,1.0818576663732529
4,1.0681141763925552
5,1.0598644763231277
6,1.011829100549221
7,0.9662511423230171
8,0.9305989965796471
9,0.9001441150903702
10,0.869778111577034
11,0.8270708322525024
12,0.7925200015306473
13,0.7649691551923752
14,0.7430086880922318
15,0.7162877321243286
16,0.6887011677026749
17,0.6592493280768394
18,0.6334353983402252
19,0.6148204505443573
20,0.5912680104374886
21,0.5668362751603127
22,0.5441142693161964
23,0.5259718969464302
24,0.5141113474965096
25,0.5047894641757011
26,0.49360373616218567
27,0.4849352017045021
28,0.4790385216474533
29,0.47011996805667877
30,0.46574199944734573
31,0.4622218683362007
32,0.456641361117363
33,0.4528399556875229
34,0.45011885464191437
35,0.4465038627386093
36,0.444173127412796
37,0.4380772039294243
38,0.43507491052150726
39,0.4332992881536484
40,0.4281012639403343
41,0.4187535271048546
42,0.41699229925870895
43,0.410360686480999
44,0.4024433456361294
45,0.39980778470635414
46,0.3969949223101139
47,0.39367008581757545
48,0.39074886962771416
49,0.38704587891697884
50,0.37893304601311684
51,0.376640398055315
52,0.37135570123791695
53,0.36822888627648354
54,0.3650861568748951
55,0.3595212399959564
56,0.35485877096652985
57,0.35174888372421265
58,0.34846870601177216
59,0.34606002271175385
60,0.343083918094635
61,0.33995139598846436
62,0.33727700263261795
63,0.33429381251335144
64,0.33025527000427246
65,0.32781893759965897
66,0.3254687413573265
67,0.32122746109962463
68,0.31946612894535065
69,0.3166132867336273
70,0.3140503540635109
71,0.31090714782476425
72,0.31004733592271805
73,0.3074866607785225
74,0.3054354265332222
75,0.3033849596977234
76,0.3016940727829933
77,0.2995179072022438
78,0.2987421303987503
79,0.29797863960266113
80,0.2961784228682518
81,0.29543668031692505
82,0.2925170585513115
83,0.2908695563673973
84,0.2905629649758339
85,0.28789031505584717
86,0.2863440662622452
87,0.2857823744416237
88,0.2826228067278862
89,0.2826228067278862
90,0.2806844338774681
91,0.2806844338774681
92,0.2805452272295952
93,0.2801445871591568
94,0.2786533981561661
95,0.2780183181166649
96,0.27775827050209045
97,0.27775827050209045
98,0.2775973007082939
99,0.2763122171163559
100,0.27476023882627487
