epoch,rmse
1,0.11535331681464767
2,0.10371210686694317
3,0.07639842394571118
4,0.10186115698872886
5,0.09981514209703234
6,0.063443967813654
7,0.0723492196870182
8,0.05853238070872923
9,0.09613250245653088
10,0.07214507151395262
11,0.09535613702648717
12,0.06137665199988886
13,0.06679372780061418
14,0.12441894216265378
15,0.06826304392149127
16,0.0602747991467418
17,0.05278461764943101
18,0.052092683469407416
19,0.10748759773426068
20,0.06814271106076669
21,0.05126949946084627
22,0.05340822922592097
23,0.04840449142924905
24,0.06281117372630904
25,0.05166761843792651
26,0.04932335766815353
27,0.051789191019143616
28,0.09029480966304114
29,0.08946836874731058
30,0.10766290586655924
31,0.05435537276223549
32,0.06906971056114636
33,0.04987473563985269
34,0.059808545891363495
35,0.05941303981186749
36,0.05650240995045798
37,0.04801523671115793
38,0.04841326185955301
39,0.055400046595126054
40,0.04990862771349523
41,0.0974957816651113
42,0.04587586080983692
43,0.05478436117564286
44,0.04717865333222764
45,0.05863598652304269
46,0.04379118142416253
47,0.061683446710409
48,0.04814344785991801
49,0.05517186302856363
50,0.055894760531390364
51,0.05413056226411723
52,0.05126205798586769
53,0.051757859733847895
54,0.045096150051355595
55,0.062230608063876446
56,0.05055516837137033
57,0.049408310057798846
58,0.04853826077316568
59,0.06200189399986795
60,0.0499811855136567
61,0.061555176828237856
62,0.06415687012639824
63,0.05402334994531737
64,0.05211107240540291
65,0.044425963700360165
66,0.056671395247332154
67,0.1237461978817147
68,0.08975129449695798
69,0.04651066883924057
70,0.044550681162165255
71,0.06894741203742313
72,0.04356602464546572
73,0.07504853563121418
74,0.05496139991826002
75,0.04770950230491326
76,0.054458968743125474
77,0.044774315882506535
78,0.04595885460021322
79,0.049873265101050786
80,0.046327513004011105
81,0.05012501988044901
82,0.041839500833362755
83,0.04528616826606353
84,0.06903741603790439
85,0.05141550581879477
86,0.046812549853171015
87,0.043473697263329385
88,0.049205423814126084
89,0.04467315598256023
90,0.050979235184421046
91,0.045416659740588186
92,0.04480125466476699
93,0.05549144750609483
94,0.04649648979340105
95,0.04989533029828981
96,0.0532912285052342
97,0.04169745335426545
98,0.05363259019895911
99,0.041454077709694115
100,0.0471491372286461
