epoch,mape
1,0.36414608359336853
2,0.31755396723747253
3,0.22627712786197662
4,0.2292127162218094
5,0.25752127170562744
6,0.2407611608505249
7,0.26674684882164
8,0.23547326028347015
9,0.26262691617012024
10,0.2142573744058609
11,0.2444770336151123
12,0.2071821689605713
13,0.259994238615036
14,0.21204547584056854
15,0.345264732837677
16,0.23081384599208832
17,0.2627856135368347
18,0.20043396949768066
19,0.21061795949935913
20,0.24189382791519165
21,0.2100716084241867
22,0.208242729306221
23,0.21587806940078735
24,0.20987126231193542
25,0.19691817462444305
26,0.21012094616889954
27,0.21479465067386627
28,0.22555813193321228
29,0.3325005769729614
30,0.2657351791858673
31,0.272504597902298
32,0.19341875612735748
33,0.2552647590637207
34,0.20757049322128296
35,0.2925431728363037
36,0.22438403964042664
37,0.2081698477268219
38,0.24997399747371674
39,0.20434968173503876
40,0.26035577058792114
41,0.19586800038814545
42,0.21243740618228912
43,0.19129851460456848
44,0.3192243278026581
45,0.25689056515693665
46,0.49205824732780457
47,0.1993076652288437
48,0.19876417517662048
49,0.27491605281829834
50,0.21988753974437714
51,0.20942732691764832
52,0.20583654940128326
53,0.19510291516780853
54,0.24221965670585632
55,0.22198651731014252
56,0.19758783280849457
57,0.20723535120487213
58,0.2225133627653122
59,0.25022590160369873
60,0.1978933960199356
61,0.23159776628017426
62,0.19978247582912445
63,0.43509557843208313
64,0.23396623134613037
65,0.19473499059677124
66,0.21970227360725403
67,0.1977371871471405
68,0.23085257411003113
69,0.22898486256599426
70,0.18944033980369568
71,0.192055806517601
72,0.22125491499900818
73,0.22153408825397491
74,0.20148424804210663
75,0.2167762815952301
76,0.24494527280330658
77,0.20593370497226715
78,0.18426740169525146
79,0.19394277036190033
80,0.19202227890491486
81,0.173712357878685
82,0.18703961372375488
83,0.2062360942363739
84,0.20773018896579742
85,0.19698241353034973
86,0.19276145100593567
87,0.21462087333202362
88,0.2247118204832077
89,0.3129836320877075
90,0.231577530503273
91,0.2224278748035431
92,0.20994460582733154
93,0.2002207338809967
94,0.1982746720314026
95,0.20300035178661346
96,0.2750260829925537
97,0.23616687953472137
98,0.23255562782287598
99,0.3367469012737274
100,0.2280130386352539
