epoch,mape_mean,mape_std
1,0.3123986259102821,0.056789511139503514
2,0.20607679982980093,0.036660661851263765
3,0.16923452019691468,0.023647971883075287
4,0.14491616537173588,0.020614806654697233
5,0.13563997099796932,0.021318408732446573
6,0.13123922422528267,0.026896384124145127
7,0.1325221988062064,0.03233436317465973
8,0.11373746345440547,0.014940586249557826
9,0.11627239485581715,0.014989950040352987
10,0.11605134432514509,0.03628730208080819
11,0.11043466875950496,0.016703436715604175
12,0.10778816019495328,0.017084248693089225
13,0.10640166029334068,0.02117814013779595
14,0.10365100875496865,0.025707025541253647
15,0.10206618259350458,0.023623090959483492
16,0.10191914563377698,0.023903413196462345
17,0.0977197952568531,0.021911620580121298
18,0.10092669030030568,0.02100144831349897
19,0.09770375738541286,0.022208825622003235
20,0.09044135262568792,0.01884008185067113
21,0.09367152365545432,0.01845862060727973
22,0.09581231822570165,0.020941999748773272
23,0.10195376289387544,0.02747399379585041
24,0.09214057947198549,0.019261006456137666
25,0.09473692551255226,0.022333205887135155
26,0.09012689056495825,0.02148816323708291
27,0.08644660748541355,0.015263774969655508
28,0.09326079860329628,0.0257296284011606
29,0.09073205304642519,0.031915043059256486
30,0.09214375788966815,0.02120269348263795
31,0.0898473689953486,0.021734290564050324
32,0.08648577767113845,0.021836479550376497
33,0.08213819513718287,0.019591540754061967
34,0.09105822257697582,0.03155450267577032
35,0.08967155689994494,0.023541017705154835
36,0.0819637001802524,0.015791270676367077
37,0.08442701709767182,0.02477800270814851
38,0.09151546843349934,0.03423162541112969
39,0.08578487324217955,0.020745607172669912
40,0.08757901079952717,0.02480350784009966
41,0.07683712020516395,0.014709448015249201
42,0.08641148768365384,0.03597753938672942
43,0.08745098821818828,0.03910881197954733
44,0.07975601765016714,0.021819142536197957
45,0.09751070601244767,0.048024776687101825
46,0.07961317077279091,0.022382607459289362
47,0.0724535928418239,0.015233562803874575
48,0.07397273729244867,0.016794497563966542
49,0.07274553502599398,0.016709461353325076
50,0.07268095177908739,0.019586878607473397
51,0.07097179169456164,0.01490961945112138
52,0.07591431091229121,0.020048511357799843
53,0.07421437911689281,0.020321886112534965
54,0.0788930012534062,0.022143203845436252
55,0.0722201547274987,0.01712683212590846
56,0.07067450309793154,0.017550229396919078
57,0.07141748107969761,0.013796886933852132
58,0.07392344834903876,0.018707558626055883
59,0.0698707714676857,0.015764518287774552
60,0.07664924090107282,0.023307136913513073
61,0.07338218713800113,0.022782874854865548
62,0.07041144830485185,0.017970437158143032
63,0.07520979878803094,0.020522955924854234
64,0.07158474947015445,0.019914091183328764
65,0.06918931156396865,0.016413194888766504
66,0.0648286564896504,0.01188147045442832
67,0.07029516746600468,0.02605533297702087
68,0.0735023549447457,0.0223800067634629
69,0.06960155876974265,0.015591175205260748
70,0.07391273689766725,0.0277091143354729
71,0.06976461286346118,0.017164218165686414
72,0.0698341687520345,0.01709667082187617
73,0.06679697421689829,0.01781470625696565
74,0.06793590026597182,0.014005538496302034
75,0.06671850755810738,0.012228186862434228
76,0.06919131179650624,0.018267925263114146
77,0.06826174271603426,0.01990128244129147
78,0.07258779592812062,0.01882306005346818
79,0.06674814286331336,0.014136417313212546
80,0.06876625915368398,0.015383683216732618
81,0.06375940032303333,0.013249307627608899
82,0.0697051603347063,0.015192443688270484
83,0.0677529605726401,0.017391798773716303
84,0.07186837842067083,0.01980503588630586
85,0.06472046561539173,0.01930107768911503
86,0.06436823631326358,0.014168544212690353
87,0.06768128511806329,0.02081993233762501
88,0.0662272959947586,0.012894110847858048
89,0.06643270080288251,0.017810357113024897
90,0.06140340082347393,0.012650088189529724
91,0.06486640063424905,0.016076313109005817
92,0.06525872784356276,0.017049058503020176
93,0.06172084547579289,0.015001612564215012
94,0.06473054476082325,0.019020485576007305
95,0.06030823973317941,0.00998784284727303
96,0.06427880736688772,0.01099050949725514
97,0.06890015378594398,0.01833794428412261
98,0.06581410579383373,0.016514635989678852
99,0.0683699294924736,0.021511931966749876
100,0.059901113063097,0.015693554407961326
