modelo,data_fraction,n_seeds,mape_mean,mape_std,area_std,cv_final,range,mape_best,mape_worst
Baseline,0.1,30,0.1623432951668898,0.049102534595283735,0.049102534595283735,0.30246111824209343,0.26611368358135234,0.1180786043405532,0.3841922879219055
Baseline,0.25,30,0.1047452442348003,0.02174723887438264,0.02174723887438264,0.2076202984990262,0.09671235084533689,0.0778143554925918,0.1745267063379287
Baseline,0.5,30,0.0785972780237595,0.017825023175809914,0.017825023175809914,0.2267893192232626,0.0717168264091014,0.0513194091618061,0.1230362355709075
Baseline,1.0,30,0.05990111306309697,0.015693554407961316,0.015693554407961316,0.2619910316429425,0.0706965401768684,0.0413532182574272,0.1120497584342956
TL_arq,0.1,30,0.17345627223451932,0.03978520084311529,0.03978520084311529,0.22936732313331526,0.2448563054203987,0.1196193322539329,0.3644756376743316
TL_arq,0.25,30,0.1421565994620323,0.09965231202666028,0.09965231202666028,0.7010037691094023,0.5743721202015877,0.0921775624155998,0.6665496826171875
TL_arq,0.5,30,0.08841360223790007,0.017347254814627178,0.017347254814627178,0.19620572372958883,0.08847058564424519,0.0570504441857337,0.1455210298299789
TL_arq,1.0,30,0.06761635678509868,0.02734861752325065,0.02734861752325065,0.4044674812955576,0.14159314334392548,0.041539654135704,0.1831327974796295
TL_wei,0.1,30,0.12831876153747238,0.020419542831039934,0.020419542831039934,0.15913138956751,0.09656475484371191,0.0995328724384307,0.1960976272821426
TL_wei,0.25,30,0.09205521196126934,0.011741309100159745,0.011741309100159745,0.12754638059059276,0.04760951548814771,0.0725765526294708,0.1201860681176185
TL_wei,0.5,30,0.08722838461399075,0.01223967422340837,0.01223967422340837,0.140317561509046,0.0498560667037963,0.0674716979265213,0.1173277646303176
TL_wei,1.0,30,0.07845722213387486,0.013381444452520931,0.013381444452520931,0.1705572041498947,0.0628190599381924,0.0548420660197734,0.1176611259579658
