neurons,layers,learn_rate,epochs,jou_score,jou_mse,jou_mape,time
10,1,0.1,5,0.9528800249099731,0.04598211869597435,0.8328438997268677,2026-01-16 00:40:39.131706
10,1,0.01,5,0.9054869413375854,0.09223071485757828,1.3641725778579712,2026-01-16 00:40:40.386365
10,2,0.1,5,0.9810081720352173,0.01853320561349392,0.5554990172386169,2026-01-16 00:40:41.733790
10,2,0.01,5,0.9273509979248047,0.07089465111494064,1.203262209892273,2026-01-16 00:40:43.115369
20,1,0.1,5,0.9320088028907776,0.0663493350148201,0.9613165855407715,2026-01-16 00:40:44.334499
20,1,0.01,5,0.9428455829620361,0.0557742677628994,0.9689059257507324,2026-01-16 00:40:45.728825
20,2,0.1,5,0.9367324113845825,0.06173976883292198,1.1755732297897339,2026-01-16 00:40:47.060555
20,2,0.01,5,0.9391920566558838,0.059339553117752075,1.0550458431243896,2026-01-16 00:40:48.447875
30,1,0.1,5,0.9860075116157532,0.013654610142111778,0.4795176088809967,2026-01-16 00:40:49.684107
30,1,0.01,5,0.9503617286682129,0.048439621925354004,0.9165198802947998,2026-01-16 00:40:51.099266
30,2,0.1,5,0.9863519668579102,0.01331848744302988,0.46982529759407043,2026-01-16 00:40:52.399312
30,2,0.01,5,0.94062739610672,0.05793885141611099,1.0121912956237793,2026-01-16 00:40:53.858490
40,1,0.1,5,0.652296781539917,0.33930686116218567,2.848771095275879,2026-01-16 00:40:55.116156
40,1,0.01,5,0.9496206045150757,0.04916281998157501,1.0228904485702515,2026-01-16 00:40:56.566827
40,2,0.1,5,0.9863969683647156,0.013274557888507843,0.40711721777915955,2026-01-16 00:40:57.881639
40,2,0.01,5,0.9368467926979065,0.06162818521261215,0.9608011245727539,2026-01-16 00:40:59.295110
50,1,0.1,5,0.9871461987495422,0.012543425895273685,0.4364612102508545,2026-01-16 00:41:00.549803
50,1,0.01,5,0.9533056616783142,0.04556673765182495,0.985895574092865,2026-01-16 00:41:02.061461
50,2,0.1,5,0.9860039949417114,0.013658006675541401,0.5414271950721741,2026-01-16 00:41:03.408893
50,2,0.01,5,0.9564899802207947,0.042459335178136826,0.9375490546226501,2026-01-16 00:41:04.769304
