epoch,rmse_mean,rmse_std
1,0.14740434101621658,0.07793598804742682
2,0.13962990060906294,0.09095748149626202
3,0.1141962226279427,0.04076692726032671
4,0.10418141683906261,0.02670253291428048
5,0.09673093027376813,0.031643433395423574
6,0.1127356173747039,0.11742495266866014
7,0.11562385790271319,0.085413030015953
8,0.08909467415695604,0.019574814113085533
9,0.0906492782974965,0.02850200427550379
10,0.11114177727722666,0.08035309425127012
11,0.08671758794508175,0.024116200550475014
12,0.08774090807686577,0.057299380022018516
13,0.08514566980450239,0.030311652966108594
14,0.09165332001097524,0.04313763735286986
15,0.08136524176639187,0.026281039983144773
16,0.08010795526174812,0.029988666094636903
17,0.0805556092219611,0.025324523260935695
18,0.07305288010799926,0.022561318022173565
19,0.08256808533423159,0.026182011986905424
20,0.08395484485282415,0.03353268652145676
21,0.07670095476005644,0.028638320756595455
22,0.08494231275242393,0.054374192689821715
23,0.06788486595211388,0.012288376090652978
24,0.0943308409309188,0.04141837698168514
25,0.09299429449807928,0.07296463687156542
26,0.07928324897691527,0.04018207831697824
27,0.08445520163545975,0.03084911810688194
28,0.08033829390714328,0.03188033314657156
29,0.07258978520905326,0.03211709889154251
30,0.08726578252955805,0.03722184623376898
31,0.07285532425340072,0.03374040495129313
32,0.07041351594955977,0.024506921678474777
33,0.08252263841962486,0.03943528379577315
34,0.07757644236870205,0.0378970676917062
35,0.07313700617638016,0.020819386058773707
36,0.06985448021424888,0.02364063028662084
37,0.0667652345476401,0.02154086152615805
38,0.07452830123341206,0.031012325341157648
39,0.08146525574316597,0.04451127163929388
40,0.07258149737522629,0.027305803546458222
41,0.06702366272913231,0.024819098344867462
42,0.082316413561024,0.06061000067370265
43,0.08122606824827089,0.051814826693862504
44,0.0780548319074231,0.038406703666003475
45,0.06938671467449505,0.029394448197556648
46,0.07177769457992215,0.026804231942662116
47,0.06795315117034519,0.025707775596674493
48,0.05964361806561599,0.01681885876517197
49,0.07226068894841652,0.03718619593609843
50,0.0685945011654812,0.021096392174949716
51,0.07236124536740765,0.030195759071355632
52,0.0804725498208843,0.04079981387176684
53,0.07022478919363188,0.056095560694861046
54,0.06704513934509966,0.031048624106776602
55,0.07739348257275674,0.0650550974164444
56,0.08703247572686171,0.10290135402912469
57,0.09184603121327072,0.1393546024469913
58,0.07442353228348762,0.0360011284369328
59,0.0744540879836054,0.029340379306701754
60,0.07171421166899523,0.030706231848738535
61,0.07166064361841484,0.026728176033604556
62,0.07092859146158094,0.03509008955729469
63,0.06512976107187045,0.024051134559360213
64,0.06772654739436997,0.03176738571398446
65,0.06933867529435284,0.031313482248423716
66,0.07069698724688672,0.027089555991252068
67,0.07556509608124966,0.0438863065084315
68,0.06380117536606263,0.018298978766861658
69,0.06548074063360365,0.02000581332742503
70,0.0661994596857152,0.026533692707952694
71,0.06759851475508039,0.02340501261243292
72,0.06783176069258254,0.035761358690047686
73,0.0797952318562046,0.04871735831545318
74,0.06036445521406495,0.032798830412480565
75,0.05708874061588421,0.016971826041687052
76,0.07360748294821362,0.034837613183463546
77,0.06400552259927608,0.040570470813195994
78,0.0616949249683287,0.03402631573915218
79,0.05875646424253078,0.017798109822168097
80,0.06010885444130519,0.023697836359719875
81,0.06936909810852253,0.03895743609042811
82,0.06896803620574064,0.04767823495164763
83,0.061960218698257935,0.026298018884319048
84,0.05863133512107955,0.017213989736261977
85,0.060653308722088885,0.03661489965651884
86,0.06323466756863796,0.03177128995642776
87,0.056944360025805114,0.013037131925320978
88,0.07092035916120801,0.037550864168559954
89,0.06825022732022329,0.03131830149770207
90,0.05615398116934733,0.013300793198187602
91,0.05838790486956217,0.031103787849622266
92,0.07038573379108398,0.05327455669524629
93,0.052503233950381915,0.012136589661700349
94,0.05034601869463072,0.009771352682564778
95,0.06242580912261312,0.029140784367450615
96,0.05598053626921165,0.018477376763947864
97,0.06913328042824142,0.03076363468603041
98,0.06512947768107603,0.039028593762205785
99,0.06756755697484551,0.0590408741389842
100,0.05437177382139045,0.016641135530860274
