modelo,area_std,std_10,std_final,mape_geral,cv_final,range,mape_pior,media_final,mape_melhor
Baseline,0.019925056238893245,0.016013716456115615,0.04416142696496855,0.0848998249918222,0.6434224786058365,0.2485476583242417,0.2898972928524017,0.06863519450028734,0.04134963452816
TL_arquitetura,0.05533610829713427,0.03113282026969162,0.027244290888543878,0.10871894811342156,0.38351378531657115,0.124345637857914,0.1680052429437637,0.07103862216075257,0.0436596050858497
TL_pesos,0.018329501736539116,0.01595416398916899,0.013877460178203077,0.11232637591908372,0.15757043225349937,0.0517146661877632,0.1205961555242538,0.08807147368788716,0.0688814893364906
