modelo,area_std,std_10,std_final,mape_geral,cv_final,range,mape_pior,media_final,mape_melhor
Baseline,0.019925056238893245,0.016013716456115615,0.04416142696496855,0.0848998249918222,0.6434224786058365,0.2485476583242417,0.2898972928524017,0.06863519450028734,0.04134963452816
TL_arquitetura,0.025830470927638093,0.020473804822929403,0.021055720235565283,0.09398122802625096,0.31118469829948797,0.08678925037384039,0.1275825500488281,0.06766309638818101,0.0407932996749877
TL_pesos,0.016063060380591177,0.014174082999918042,0.011009119241481655,0.0945821651704609,0.14870087231519652,0.04718660935759541,0.1037210375070571,0.07403533731897669,0.0565344281494617
