seed,max_neurons,layers,lr,epoch,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,350,1,0.01,1,0.9089097380638123,0.10491259396076202,0.32390213639425414,0.2923643887042999
1,350,1,0.01,2,0.9156057834625244,0.0972004309296608,0.31176983646539763,0.3412834405899048
1,350,1,0.01,3,0.9189469218254089,0.09335232526063919,0.3055361275866394,0.1657957285642624
1,350,1,0.01,4,0.9223946332931519,0.08938147127628326,0.29896734148780074,0.17740963399410248
1,350,1,0.01,5,0.9225003719329834,0.08925962448120117,0.2987634925508824,0.17651279270648956
1,350,1,0.01,6,0.9213114976882935,0.09062895178794861,0.30104642796078585,0.19705459475517273
1,350,1,0.01,7,0.9232766628265381,0.0883655697107315,0.29726346851022833,0.15735946595668793
1,350,1,0.01,8,0.9231006503105164,0.0885682925581932,0.29760425493966514,0.13677576184272766
1,350,1,0.01,9,0.9209547638893127,0.09103978425264359,0.3017279971309318,0.17150098085403442
1,350,1,0.01,10,0.9208016991615295,0.09121609479188919,0.3020200238260523,0.15882673859596252
1,350,1,0.01,11,0.9175311326980591,0.09498295933008194,0.30819305529177965,0.13679473102092743
1,350,1,0.01,12,0.9203312397003174,0.09175796806812286,0.3029157771858753,0.13311322033405304
1,350,1,0.01,13,0.9221073389053345,0.08971233665943146,0.2995201773828125,0.14910611510276794
1,350,1,0.01,14,0.9242106080055237,0.08728988468647003,0.29544861598333816,0.13878434896469116
1,350,1,0.01,15,0.9224849939346313,0.08927734941244125,0.2987931548955586,0.13252320885658264
1,350,1,0.01,16,0.9226011037826538,0.08914363384246826,0.2985693116220558,0.14689326286315918
1,350,1,0.01,17,0.9246924519538879,0.08673491328954697,0.2945079171933192,0.12393232434988022
1,350,1,0.01,18,0.9229045510292053,0.08879411220550537,0.29798340927894856,0.1452302783727646
1,350,1,0.01,19,0.9242069125175476,0.08729412406682968,0.29545579037620784,0.15863895416259766
1,350,1,0.01,20,0.9211555123329163,0.09080860763788223,0.3013446658527113,0.14549441635608673
1,350,1,0.01,21,0.9233517050743103,0.0882791131734848,0.2971180121996726,0.1575595736503601
1,350,1,0.01,22,0.9241142272949219,0.08740086853504181,0.2956363789100418,0.10802450776100159
1,350,1,0.01,23,0.9255641102790833,0.08573103696107864,0.2927986286871553,0.26553115248680115
1,350,1,0.01,24,0.9247409105300903,0.08667916059494019,0.2944132479949572,0.09990398585796356
1,350,1,0.01,25,0.9254006147384644,0.0859193503856659,0.29312002726812425,0.17113825678825378
1,350,1,0.01,26,0.9221112728118896,0.08970779180526733,0.29951259039524086,0.1468268781900406
1,350,1,0.01,27,0.9258212447166443,0.08543483912944794,0.2922923863692791,0.11298234015703201
1,350,1,0.01,28,0.925471842288971,0.08583726733922958,0.29297997771047357,0.10122198611497879
1,350,1,0.01,29,0.9279352426528931,0.083000048995018,0.2880972908498412,0.09470494836568832
1,350,1,0.01,30,0.9261497855186462,0.08505644649267197,0.2916443836124261,0.10541441291570663
1,350,1,0.01,31,0.924518346786499,0.08693542331457138,0.2948481360201746,0.10562323033809662
1,350,1,0.01,32,0.9261629581451416,0.08504127711057663,0.2916183758108817,0.1377432495355606
1,350,1,0.01,33,0.9296063184738159,0.08107545226812363,0.28473751468347763,0.12673424184322357
1,350,1,0.01,34,0.9266995787620544,0.08442322164773941,0.29055674428197226,0.12836164236068726
1,350,1,0.01,35,0.9294188022613525,0.08129137754440308,0.28511642805072296,0.09995455294847488
1,350,1,0.01,36,0.9278464317321777,0.08310236781835556,0.2882748130141715,0.09324164688587189
1,350,1,0.01,37,0.9282737970352173,0.08261018991470337,0.2874198843411906,0.08296776562929153
1,350,1,0.01,38,0.9221057295799255,0.08971419185400009,0.29952327431102926,0.1954869031906128
1,350,1,0.01,39,0.9265226721763611,0.08462697267532349,0.2909071547338145,0.14913932979106903
1,350,1,0.01,40,0.9256066083908081,0.08568205684423447,0.2927149754355497,0.13994818925857544
1,350,1,0.01,41,0.9265285730361938,0.08462022989988327,0.29089556528053717,0.09289487451314926
1,350,1,0.01,42,0.92938232421875,0.08133342117071152,0.2851901491473917,0.16535703837871552
1,350,1,0.01,43,0.9269154667854309,0.08417461812496185,0.2901286234154808,0.10243136435747147
1,350,1,0.01,44,0.9286096096038818,0.08222338557243347,0.28674620411163854,0.10848749428987503
1,350,1,0.01,45,0.9301819801330566,0.08041241019964218,0.283570820430527,0.11152485013008118
1,350,1,0.01,46,0.9318663477897644,0.07847246527671814,0.28012937239196845,0.09657742083072662
1,350,1,0.01,47,0.9291548132896423,0.08159543573856354,0.28564914797451,0.12751702964305878
1,350,1,0.01,48,0.9306100606918335,0.07991940528154373,0.28270020389370737,0.09775645285844803
1,350,1,0.01,49,0.9245285987854004,0.08692367374897003,0.29482821057180064,0.11671057343482971
1,350,1,0.01,50,0.9307354688644409,0.07977496087551117,0.282444615589519,0.12870773673057556
1,350,1,0.01,51,0.9294018149375916,0.08131097257137299,0.28515078918244813,0.09074772894382477
1,350,1,0.01,52,0.9323297142982483,0.07793877273797989,0.2791751649734981,0.07050985842943192
1,350,1,0.01,53,0.929840087890625,0.0808061882853508,0.2842642930185759,0.11262167245149612
1,350,1,0.01,54,0.9297410845756531,0.08092018216848373,0.2844647292169694,0.13565638661384583
1,350,1,0.01,55,0.9313893914222717,0.07902180403470993,0.2811081714121984,0.0926496610045433
1,350,1,0.01,56,0.9322961568832397,0.07797742635011673,0.27924438463488704,0.10449733585119247
1,350,1,0.01,57,0.9359772801399231,0.0737377256155014,0.2715469123659877,0.17665812373161316
1,350,1,0.01,58,0.9356587529182434,0.07410456985235214,0.2722215455329577,0.10813898593187332
1,350,1,0.01,59,0.9361670613288879,0.07351911067962646,0.2711440773456549,0.07179909944534302
1,350,1,0.01,60,0.937870979309082,0.07155667990446091,0.26750080355853306,0.09780718386173248
1,350,1,0.01,61,0.9343047142028809,0.07566407322883606,0.27507103306025527,0.09498301148414612
1,350,1,0.01,62,0.9379822611808777,0.07142847031354904,0.2672610527434722,0.09507962316274643
1,350,1,0.01,63,0.9376884698867798,0.07176684588193893,0.26789334796134623,0.10080281645059586
1,350,1,0.01,64,0.9423773884773254,0.06636644899845123,0.25761686473996853,0.07593575865030289
1,350,1,0.01,65,0.9464301466941833,0.06169867888092995,0.24839218764069443,0.08991307020187378
1,350,1,0.01,66,0.9428122043609619,0.06586567312479019,0.25664308509054007,0.08795436471700668
1,350,1,0.01,67,0.9488857984542847,0.05887043476104736,0.24263230362226576,0.09237086772918701
1,350,1,0.01,68,0.939590573310852,0.06957610696554184,0.2637728321217745,0.11515434831380844
1,350,1,0.01,69,0.9336186051368713,0.0764542892575264,0.27650368760203975,0.08610112220048904
1,350,1,0.01,70,0.9414793848991394,0.067400723695755,0.2596164934971486,0.08749368041753769
1,350,1,0.01,71,0.9370071887969971,0.07255149632692337,0.2693538496604854,0.0968303456902504
1,350,1,0.01,72,0.9320859909057617,0.0782194659113884,0.27967743189501076,0.12473326921463013
1,350,1,0.01,73,0.9323608875274658,0.07790286093950272,0.2791108398817622,0.11656463146209717
1,350,1,0.01,74,0.9475622773170471,0.060394786298274994,0.24575350719425143,0.08127550035715103
1,350,1,0.01,75,0.9459020495414734,0.06230691820383072,0.24961353770144504,0.08520166575908661
1,350,1,0.01,76,0.9425140023231506,0.0662090927362442,0.25731127596015724,0.06412775069475174
1,350,1,0.01,77,0.9492931962013245,0.05840123072266579,0.24166346584178955,0.12111606448888779
1,350,1,0.01,78,0.9520829319953918,0.05518815666437149,0.23492159684535496,0.07292383164167404
1,350,1,0.01,79,0.929696798324585,0.08097118884325027,0.2845543688704327,0.074508436024189
1,350,1,0.01,80,0.9292628169059753,0.08147107809782028,0.2854313894753348,0.06676971912384033
1,350,1,0.01,81,0.9295732975006104,0.08111343532800674,0.28480420524986416,0.06378278881311417
1,350,1,0.01,82,0.9240930080413818,0.0874253511428833,0.29567778263319566,0.15927058458328247
1,350,1,0.01,83,0.9267202615737915,0.08439944684505463,0.2905158289061968,0.11031720042228699
1,350,1,0.01,84,0.9276648759841919,0.08331149816513062,0.28863731249637603,0.07470505684614182
1,350,1,0.01,85,0.9293696880340576,0.0813479796051979,0.2852156720890314,0.0995037779211998
1,350,1,0.01,86,0.9295520186424255,0.08113794028759003,0.28484722271349255,0.07920397073030472
1,350,1,0.01,87,0.9292705655097961,0.08146215230226517,0.28541575342343173,0.08871486037969589
1,350,1,0.01,88,0.9293441772460938,0.08137737959623337,0.2852672073622087,0.10665173828601837
1,350,1,0.01,89,0.9317514896392822,0.07860475778579712,0.2803654004790839,0.07526523619890213
1,350,1,0.01,90,0.9334912300109863,0.07660099118947983,0.27676884071275043,0.10879034548997879
1,350,1,0.01,91,0.9334962964057922,0.07659519463777542,0.2767583686860714,0.11785528808832169
1,350,1,0.01,92,0.9322152137756348,0.07807067036628723,0.2794112924816877,0.06834189593791962
1,350,1,0.01,93,0.9323775172233582,0.07788370549678802,0.2790765226542498,0.07152435928583145
1,350,1,0.01,94,0.930587887763977,0.07994489371776581,0.28274528062863546,0.06212109327316284
1,350,1,0.01,95,0.9319351315498352,0.07839320600032806,0.27998786759488004,0.07547172158956528
1,350,1,0.01,96,0.9308692216873169,0.07962089031934738,0.2821717390514992,0.10269477963447571
1,350,1,0.01,97,0.926693320274353,0.08443044871091843,0.2905691805937416,0.11109063029289246
1,350,1,0.01,98,0.9314901828765869,0.07890568673610687,0.2809015605796929,0.07163733243942261
1,350,1,0.01,99,0.9302584528923035,0.08032433688640594,0.2834154845565181,0.08083730936050415
1,350,1,0.01,100,0.9299448132514954,0.08068559318780899,0.2840520959046227,0.06297571212053299
2,350,1,0.01,1,0.9022715091705322,0.11255808919668198,0.33549677971134384,0.3057468831539154
2,350,1,0.01,2,0.9138333201408386,0.09924185276031494,0.31502674927744617,0.17880134284496307
2,350,1,0.01,3,0.9167172908782959,0.09592024236917496,0.30970993262918606,0.18759389221668243
2,350,1,0.01,4,0.9165237545967102,0.09614316374063492,0.31006961112084963,0.1471501886844635
2,350,1,0.01,5,0.9178186058998108,0.09465186297893524,0.30765542897685916,0.1664551943540573
2,350,1,0.01,6,0.9202855229377747,0.09181060642004013,0.30300265084655637,0.1370440572500229
2,350,1,0.01,7,0.9214749336242676,0.09044067561626434,0.30073356250386213,0.15254846215248108
2,350,1,0.01,8,0.9191490411758423,0.09311950206756592,0.3051548820968885,0.23200365900993347
2,350,1,0.01,9,0.9207217693328857,0.09130814671516418,0.30217237914006,0.1416819989681244
2,350,1,0.01,10,0.9228066802024841,0.08890686184167862,0.29817253703464813,0.11277270317077637
2,350,1,0.01,11,0.9226384162902832,0.08910065144300461,0.2984973223380816,0.11278770118951797
2,350,1,0.01,12,0.923858106136322,0.0876959040760994,0.2961349423423372,0.10634732246398926
2,350,1,0.01,13,0.9241020679473877,0.08741490542888641,0.2956601180898202,0.102619469165802
2,350,1,0.01,14,0.9211253523826599,0.09084334224462509,0.301402293031465,0.12209085375070572
2,350,1,0.01,15,0.9250658750534058,0.08630484342575073,0.29377685992220476,0.14438201487064362
2,350,1,0.01,16,0.9232578277587891,0.08838727325201035,0.29729997183318124,0.10404416918754578
2,350,1,0.01,17,0.9245756268501282,0.08686952292919159,0.2947363617356901,0.09673042595386505
2,350,1,0.01,18,0.9232136607170105,0.08843811601400375,0.2973854670524499,0.12465623021125793
2,350,1,0.01,19,0.9257866144180298,0.08547475934028625,0.29236066654098025,0.14467929303646088
2,350,1,0.01,20,0.9229375123977661,0.08875617384910583,0.2979197439732819,0.1360948234796524
2,350,1,0.01,21,0.9204299449920654,0.09164424240589142,0.302728000696816,0.2443157285451889
2,350,1,0.01,22,0.9258512258529663,0.08540033549070358,0.29223335793626226,0.21999427676200867
2,350,1,0.01,23,0.9244958758354187,0.08696132153272629,0.2948920506434961,0.1409239023923874
2,350,1,0.01,24,0.925396740436554,0.08592377603054047,0.2931275763733949,0.08788041770458221
2,350,1,0.01,25,0.9254248738288879,0.08589138090610504,0.2930723134417597,0.11572179943323135
2,350,1,0.01,26,0.925632119178772,0.08565264940261841,0.29266473891232336,0.10897526144981384
2,350,1,0.01,27,0.924103856086731,0.08741286396980286,0.2956566656948611,0.1335005760192871
2,350,1,0.01,28,0.9252946376800537,0.08604136854410172,0.2933280902745281,0.099846251308918
2,350,1,0.01,29,0.9258143901824951,0.08544275164604187,0.29230592133250033,0.10293082892894745
2,350,1,0.01,30,0.9256426692008972,0.0856405571103096,0.2926440792333062,0.09370024502277374
2,350,1,0.01,31,0.9270037412643433,0.08407290279865265,0.28995327692345996,0.09102798253297806
2,350,1,0.01,32,0.9263041019439697,0.08487872034311295,0.291339527601582,0.139096200466156
2,350,1,0.01,33,0.9285847544670105,0.08225199580192566,0.28679608749410385,0.10964102298021317
2,350,1,0.01,34,0.9281340837478638,0.08277104794979095,0.28769957933544316,0.0943325087428093
2,350,1,0.01,35,0.9273267984390259,0.08370084315538406,0.28931098001179295,0.11594376713037491
2,350,1,0.01,36,0.9284768104553223,0.08237633109092712,0.2870127716512405,0.10811945050954819
2,350,1,0.01,37,0.9293205738067627,0.08140455186367035,0.28531482937917957,0.09477856755256653
2,350,1,0.01,38,0.9267675876617432,0.08434489369392395,0.2904219235765853,0.1026986837387085
2,350,1,0.01,39,0.9259921908378601,0.08523799479007721,0.29195546713510473,0.14874623715877533
2,350,1,0.01,40,0.9283605217933655,0.08251027762889862,0.2872460228252057,0.0929882749915123
2,350,1,0.01,41,0.9289102554321289,0.08187709748744965,0.2861417436996036,0.11510854959487915
2,350,1,0.01,42,0.9268110990524292,0.08429481834173203,0.2903356993924998,0.09399594366550446
2,350,1,0.01,43,0.9284430742263794,0.08241517841815948,0.28708043893334056,0.09905403107404709
2,350,1,0.01,44,0.9286882877349854,0.08213277161121368,0.2865881567881228,0.08593685925006866
2,350,1,0.01,45,0.9294667840003967,0.0812361091375351,0.2850194890486177,0.11301825940608978
2,350,1,0.01,46,0.9293748140335083,0.08134203404188156,0.285205248973229,0.10446567088365555
2,350,1,0.01,47,0.9279934167861938,0.08293309807777405,0.2879810724297242,0.13122273981571198
2,350,1,0.01,48,0.9277675747871399,0.08319322019815445,0.2884323494307711,0.14077094197273254
2,350,1,0.01,49,0.9260250926017761,0.08520007133483887,0.2918905125810684,0.12897326052188873
2,350,1,0.01,50,0.9267014861106873,0.08442102372646332,0.2905529619991222,0.19363677501678467
2,350,1,0.01,51,0.923559844493866,0.08803943544626236,0.29671440046998454,0.1578086018562317
2,350,1,0.01,52,0.9278852939605713,0.08305764198303223,0.288197227576936,0.10932353883981705
2,350,1,0.01,53,0.9279940128326416,0.08293242007493973,0.28797989526170004,0.10024801641702652
2,350,1,0.01,54,0.9300332069396973,0.08058376610279083,0.2838727991597484,0.09715525805950165
2,350,1,0.01,55,0.9295812845230103,0.08110425621271133,0.28478809001204974,0.08770214021205902
2,350,1,0.01,56,0.932510495185852,0.07773059606552124,0.2788020732805286,0.080581896007061
2,350,1,0.01,57,0.929252028465271,0.08148349076509476,0.2854531323441639,0.10121791809797287
2,350,1,0.01,58,0.9325495362281799,0.07768557220697403,0.2787213163842587,0.07486424595117569
2,350,1,0.01,59,0.9274889826774597,0.08351404964923859,0.2889879749215157,0.09271983057260513
2,350,1,0.01,60,0.9305943846702576,0.07993743568658829,0.2827320917168553,0.10937750339508057
2,350,1,0.01,61,0.928615927696228,0.08221612125635147,0.2867335370275885,0.14803053438663483
2,350,1,0.01,62,0.9395774602890015,0.0695912316441536,0.2638015004584955,0.09917919337749481
2,350,1,0.01,63,0.9291328191757202,0.08162074536085129,0.2856934464786536,0.14624124765396118
2,350,1,0.01,64,0.9296790957450867,0.08099158108234406,0.2845901985001312,0.10276760905981064
