seed,max_neurons,layers,lr,epoch,Hys_score,Hys_mse,Hys_rmse,Hys_mape
1,380,2,0.01,1,0.9872117042541504,0.013037164695560932,0.11418040416621818,0.25558385252952576
1,380,2,0.01,2,0.9923555850982666,0.007793177850544453,0.08827897739861089,0.20940931141376495
1,380,2,0.01,3,0.9936757683753967,0.006447325460612774,0.08029523933965683,0.18517404794692993
1,380,2,0.01,4,0.9940269589424133,0.006089313421398401,0.07803405296021988,0.2073364108800888
1,380,2,0.01,5,0.9953230023384094,0.004768012557178736,0.06905079693369756,0.15201759338378906
1,380,2,0.01,6,0.9955788850784302,0.004507153760641813,0.06713533913403442,0.15805624425411224
1,380,2,0.01,7,0.9953926205635071,0.0046970355324447155,0.06853492199196491,0.13150891661643982
1,380,2,0.01,8,0.9963884949684143,0.003681792411953211,0.060677775271949536,0.12016912549734116
1,380,2,0.01,9,0.9947995543479919,0.005301638972014189,0.07281235452870748,0.16228193044662476
1,380,2,0.01,10,0.9972183704376221,0.0028357398696243763,0.0532516654164391,0.13532501459121704
1,380,2,0.01,11,0.9976863861083984,0.002358638448640704,0.04856581563858167,0.10561265051364899
1,380,2,0.01,12,0.9980788826942444,0.0019585364498198032,0.044255355041167656,0.09945125877857208
1,380,2,0.01,13,0.9968050122261047,0.0032571933697909117,0.0570718264101554,0.17940598726272583
1,380,2,0.01,14,0.9982661008834839,0.0017676707357168198,0.04204367652473817,0.11179289221763611
1,380,2,0.01,15,0.9983730912208557,0.0016585472039878368,0.040725264934532185,0.11340433359146118
1,380,2,0.01,16,0.9981891512870789,0.0018460919382050633,0.04296617202177852,0.10238669812679291
1,380,2,0.01,17,0.9981001019477844,0.0019368564244359732,0.044009731019809394,0.11639655381441116
1,380,2,0.01,18,0.9983555674552917,0.0016764396568760276,0.04094434828979487,0.08634275943040848
1,380,2,0.01,19,0.9985150694847107,0.0015138196758925915,0.038907835661889385,0.09859035164117813
1,380,2,0.01,20,0.9984883069992065,0.0015410921769216657,0.03925674689682865,0.0925121158361435
1,380,2,0.01,21,0.9963719844818115,0.0036986174527555704,0.06081625977282367,0.17661157250404358
1,380,2,0.01,22,0.9982945919036865,0.0017386152176186442,0.04169670511705505,0.10656898468732834
1,380,2,0.01,23,0.9985563158988953,0.0014717832673341036,0.03836382758972446,0.1138005256652832
1,380,2,0.01,24,0.9977266192436218,0.0023176141548901796,0.04814160523798702,0.12727993726730347
1,380,2,0.01,25,0.9984989166259766,0.001530300360172987,0.03911905367174655,0.06800637394189835
1,380,2,0.01,26,0.9978479743003845,0.0021939370781183243,0.04683948204365975,0.12477999180555344
1,380,2,0.01,27,0.9969625473022461,0.0030965656042099,0.055646793296738134,0.09614794701337814
1,380,2,0.01,28,0.9964974522590637,0.0035707217175513506,0.05975551621023243,0.15502050518989563
1,380,2,0.01,29,0.997976541519165,0.0020628292113542557,0.045418379664561526,0.10902048647403717
1,380,2,0.01,30,0.9962732195854187,0.003799289930611849,0.06163838033735027,0.20874091982841492
1,380,2,0.01,31,0.9983712434768677,0.001660429290495813,0.04074836549477553,0.0710836797952652
1,380,2,0.01,32,0.9980028867721558,0.0020360120106488466,0.04512218978118024,0.09013000130653381
1,380,2,0.01,33,0.9974693655967712,0.0025798906572163105,0.05079262404342101,0.15541324019432068
1,380,2,0.01,34,0.9982183575630188,0.0018163324566558003,0.042618452067805096,0.08339949697256088
1,380,2,0.01,35,0.9983521699905396,0.0016798762371763587,0.04098629328417439,0.0793815329670906
1,380,2,0.01,36,0.9949151873588562,0.005183764733374119,0.07199836618544979,0.14126986265182495
1,380,2,0.01,37,0.9980444312095642,0.001993610290810466,0.04464986327874326,0.088501937687397
1,380,2,0.01,38,0.9982664585113525,0.0017672984395176172,0.042039248798207814,0.09690593928098679
1,380,2,0.01,39,0.9986137747764587,0.0014132079668343067,0.037592658416694964,0.07123718410730362
1,380,2,0.01,40,0.9985511302947998,0.001477077486924827,0.038432765798532206,0.0774000734090805
1,380,2,0.01,41,0.9980958104133606,0.0019412453984841704,0.04405956648089233,0.10635687410831451
1,380,2,0.01,42,0.9977646470069885,0.0022788443602621555,0.047737242905955046,0.08590050786733627
1,380,2,0.01,43,0.9965959191322327,0.0034703488927334547,0.05890966722647018,0.1277485191822052
1,380,2,0.01,44,0.9978718161582947,0.0021695788018405437,0.04657873765829795,0.09071816504001617
1,380,2,0.01,45,0.9988813996315002,0.0011403969256207347,0.03376976348185955,0.07546073198318481
1,380,2,0.01,46,0.9989048838615417,0.0011164037277922034,0.033412628268249166,0.06101455166935921
1,380,2,0.01,47,0.9988158941268921,0.0012071446981281042,0.034743987942205255,0.06481130421161652
1,380,2,0.01,48,0.9985310435295105,0.0014975721715018153,0.03869847763803914,0.07168950885534286
1,380,2,0.01,49,0.9986666440963745,0.00135930220130831,0.03686871575344482,0.06585977971553802
1,380,2,0.01,50,0.9987285137176514,0.001296225585974753,0.03600313300220903,0.062408048659563065
1,380,2,0.01,51,0.9984343647956848,0.001596082467585802,0.03995100083334336,0.05727909877896309
1,380,2,0.01,52,0.9988892078399658,0.0011324405204504728,0.03365175360141686,0.06022975221276283
1,380,2,0.01,53,0.9980540871620178,0.0019838144071400166,0.04454003151256201,0.13932636380195618
1,380,2,0.01,54,0.9972361326217651,0.002817663364112377,0.053081666930423134,0.07365584373474121
1,380,2,0.01,55,0.9976270198822021,0.0024191411212086678,0.04918476513320632,0.08051900565624237
1,380,2,0.01,56,0.9973241090774536,0.0027279455680400133,0.05222973834933518,0.05962537229061127
1,380,2,0.01,57,0.9966422915458679,0.0034230309538543224,0.05850667443851447,0.07323621958494186
1,380,2,0.01,58,0.9965565204620361,0.0035104919224977493,0.05924940440627019,0.06611000001430511
1,380,2,0.01,59,0.9960235953330994,0.004053801763802767,0.06366947277779805,0.13135342299938202
1,380,2,0.01,60,0.9975519776344299,0.0024956928100436926,0.04995690953255308,0.06101924926042557
1,380,2,0.01,61,0.9975447058677673,0.0025030625984072685,0.05003061661030442,0.08190248161554337
1,380,2,0.01,62,0.9974285960197449,0.002621463732793927,0.05120023176504113,0.12476640939712524
1,380,2,0.01,63,0.9975056052207947,0.0025429492816329002,0.05042766385262062,0.06290899217128754
1,380,2,0.01,64,0.9969043731689453,0.0031558654736727476,0.05617709029197532,0.05492447689175606
1,380,2,0.01,65,0.9978410005569458,0.002201041905209422,0.04691526303037661,0.06370618939399719
1,380,2,0.01,66,0.9969223141670227,0.0031375903636217117,0.05601419787537541,0.0653931275010109
1,380,2,0.01,67,0.9974063634872437,0.002644138876348734,0.05142119092697809,0.062327366322278976
1,380,2,0.01,68,0.996733546257019,0.0033300581853836775,0.05770665633515494,0.07062944769859314
1,380,2,0.01,69,0.9970008134841919,0.003057580441236496,0.05529539258596955,0.0874083936214447
1,380,2,0.01,70,0.9955081343650818,0.00457930751144886,0.067670580841669,0.13835659623146057
1,380,2,0.01,71,0.9970725178718567,0.002984465565532446,0.05463026236009164,0.0509754978120327
1,380,2,0.01,72,0.9971954226493835,0.0028591526206582785,0.05347104469391147,0.05240725353360176
1,380,2,0.01,73,0.9977097511291504,0.0023348205722868443,0.048319981087401556,0.05682135373353958
1,380,2,0.01,74,0.996180534362793,0.0038938121870160103,0.06240041816379126,0.08939807116985321
1,380,2,0.01,75,0.9980708360671997,0.0019666848238557577,0.044347320368380294,0.0802818238735199
1,380,2,0.01,76,0.9960090517997742,0.004068620037287474,0.06378573537467036,0.058673907071352005
1,380,2,0.01,77,0.9979466795921326,0.002093308139592409,0.04575268450694898,0.06186160072684288
1,380,2,0.01,78,0.9977839589118958,0.00225915783084929,0.04753059889007596,0.08204086124897003
1,380,2,0.01,79,0.9976583123207092,0.002387270098552108,0.04885969810131974,0.12280197441577911
1,380,2,0.01,80,0.9950229525566101,0.005073943175375462,0.0712316164029391,0.2080749273300171
1,380,2,0.01,81,0.9949694871902466,0.005128421355038881,0.07161299710973477,0.1269780397415161
1,380,2,0.01,82,0.9986200332641602,0.0014068220043554902,0.03750762594933849,0.06716009229421616
1,380,2,0.01,83,0.998335063457489,0.001697315601631999,0.04119849028340722,0.07427599281072617
1,380,2,0.01,84,0.9979648590087891,0.0020747375674545765,0.04554928723322217,0.054287686944007874
1,380,2,0.01,85,0.9983752965927124,0.001656349515542388,0.040698274110119066,0.06639435142278671
1,380,2,0.01,86,0.9982044100761414,0.0018305339617654681,0.0427847398235103,0.05788540095090866
1,380,2,0.01,87,0.9970382452011108,0.0030194150749593973,0.054949204497967,0.07203154265880585
1,380,2,0.01,88,0.9981560111045837,0.0018798618111759424,0.04335737320428836,0.06904026120901108
1,380,2,0.01,89,0.9984737038612366,0.0015559744788333774,0.039445842351677286,0.0639476329088211
1,380,2,0.01,90,0.9981908798217773,0.001844313577748835,0.04294547214490528,0.06024327129125595
