seed,max_neurons,layers,lr,unlock_layers,epoch,Hys_score,Hys_mse,Hys_rmse,Hys_mape
1,380,2,0.01,4,1,0.9818982481956482,0.018454041332006454,0.13584565260620765,0.48160549998283386
1,380,2,0.01,4,2,0.9917976260185242,0.008362013846635818,0.09144404762823996,0.31540411710739136
1,380,2,0.01,4,3,0.9936743378639221,0.006448762025684118,0.08030418435974628,0.3026495575904846
1,380,2,0.01,4,4,0.9957758188247681,0.004306397400796413,0.06562314683704534,0.2651652991771698
1,380,2,0.01,4,5,0.996308445930481,0.003763429122045636,0.06134679390192805,0.22535309195518494
1,380,2,0.01,4,6,0.9958227872848511,0.00425850972533226,0.06525725802799456,0.20424890518188477
1,380,2,0.01,4,7,0.9977652430534363,0.002278255531564355,0.047731075114272825,0.16287179291248322
1,380,2,0.01,4,8,0.9972165822982788,0.0028375638648867607,0.05326878884381323,0.1523461788892746
1,380,2,0.01,4,9,0.9975864291191101,0.0024605640210211277,0.04960407262535132,0.13199687004089355
1,380,2,0.01,4,10,0.9974232912063599,0.002626857254654169,0.05125287557449015,0.12760287523269653
1,380,2,0.01,4,11,0.9974310994148254,0.0026189160998910666,0.051175346602549424,0.11197470873594284
1,380,2,0.01,4,12,0.9969533085823059,0.003105992218479514,0.055731429359738426,0.14425873756408691
1,380,2,0.01,4,13,0.9977919459342957,0.0022510236594825983,0.04744495399389274,0.09810666739940643
1,380,2,0.01,4,14,0.9978961944580078,0.0021447481121867895,0.04631142528779253,0.1103101596236229
1,380,2,0.01,4,15,0.9968017339706421,0.003260535653680563,0.0571011002843252,0.12327507138252258
1,380,2,0.01,4,16,0.9967384934425354,0.003324972465634346,0.057662574219630065,0.11622601002454758
1,380,2,0.01,4,17,0.9968578219413757,0.0032033619936555624,0.05659825080031681,0.12733232975006104
1,380,2,0.01,4,18,0.9968723058700562,0.0031885767821222544,0.056467484290715964,0.10043413937091827
1,380,2,0.01,4,19,0.9978581070899963,0.002183556789532304,0.04672854362734092,0.08723665773868561
1,380,2,0.01,4,20,0.996992826461792,0.0030657018069177866,0.05536878007431432,0.09592492878437042
1,380,2,0.01,4,21,0.9975339770317078,0.0025140016805380583,0.050139821305406125,0.09563039243221283
1,380,2,0.01,4,22,0.9967193603515625,0.0033444862347096205,0.05783153322115557,0.1317736804485321
1,380,2,0.01,4,23,0.99587082862854,0.004209509585052729,0.06488073354280706,0.12096991389989853
1,380,2,0.01,4,24,0.996819794178009,0.003242110600695014,0.05693953460202335,0.1264411360025406
1,380,2,0.01,4,25,0.9962265491485596,0.0038469117134809494,0.06202347711537099,0.12066561728715897
1,380,2,0.01,4,26,0.9970825910568237,0.0029742124024778605,0.05453634020062091,0.08798251301050186
1,380,2,0.01,4,27,0.9965648651123047,0.003501986153423786,0.05917758151043168,0.09772994369268417
1,380,2,0.01,4,28,0.9967793226242065,0.0032833628356456757,0.05730063556057363,0.09947924315929413
1,380,2,0.01,4,29,0.9959833025932312,0.004094887059181929,0.0639913045591503,0.11484678834676743
1,380,2,0.01,4,30,0.9958274364471436,0.0042537543922662735,0.0652208125698099,0.09858091920614243
1,380,2,0.01,4,31,0.9962850213050842,0.0037872742395848036,0.06154083392012821,0.1003665030002594
1,380,2,0.01,4,32,0.9968944787979126,0.003165977541357279,0.05626702001490108,0.07758049666881561
1,380,2,0.01,4,33,0.9962500929832458,0.0038229196798056364,0.0618297637049151,0.11314717680215836
1,380,2,0.01,4,34,0.9965496063232422,0.0035175192169845104,0.05930867741725919,0.08152469992637634
1,380,2,0.01,4,35,0.9969946146011353,0.0030638619791716337,0.055352163274542704,0.10003656893968582
1,380,2,0.01,4,36,0.996617317199707,0.0034485282376408577,0.0587241708127144,0.11957813054323196
1,380,2,0.01,4,37,0.9973803162574768,0.0026706878561526537,0.05167869828229668,0.08919844776391983
1,380,2,0.01,4,38,0.9957680106163025,0.004314380697906017,0.06568394551110657,0.07410348951816559
1,380,2,0.01,4,39,0.9969141483306885,0.0031458830926567316,0.05608817248455089,0.07937699556350708
1,380,2,0.01,4,40,0.9975411891937256,0.002506653778254986,0.0500664935686032,0.0811522975564003
1,380,2,0.01,4,41,0.9971007704734802,0.00295564578846097,0.05436585130816007,0.09802140295505524
1,380,2,0.01,4,42,0.9972805976867676,0.0027723254170268774,0.05265287662632382,0.08575063198804855
1,380,2,0.01,4,43,0.9974563717842102,0.0025931312702596188,0.050922797156672556,0.08028873801231384
1,380,2,0.01,4,44,0.9973545670509338,0.002696932991966605,0.05193200354277317,0.0859169214963913
1,380,2,0.01,4,45,0.9970735907554626,0.0029833917506039143,0.054620433453094405,0.08310681581497192
1,380,2,0.01,4,46,0.9965109825134277,0.0035569332540035248,0.059640030633824496,0.09131983667612076
1,380,2,0.01,4,47,0.9966543316841125,0.0034107803367078304,0.05840188641394926,0.08408050984144211
1,380,2,0.01,4,48,0.9958354234695435,0.004245656076818705,0.06515869916456823,0.10579441487789154
1,380,2,0.01,4,49,0.9969557523727417,0.00310349790379405,0.055709046875656115,0.08602381497621536
1,380,2,0.01,4,50,0.9963743090629578,0.0036962395533919334,0.06079670676436293,0.09102727472782135
1,380,2,0.01,4,51,0.9983097910881042,0.0017230886733159423,0.041510103267950835,0.08446305245161057
1,380,2,0.01,4,52,0.9967119693756104,0.0033520201686769724,0.0578966334831048,0.10908001661300659
1,380,2,0.01,4,53,0.995195209980011,0.004898300394415855,0.06998785890721229,0.08664087951183319
1,380,2,0.01,4,54,0.9967404007911682,0.0033230308908969164,0.05764573610334867,0.08016368001699448
1,380,2,0.01,4,55,0.9967934489250183,0.003268954809755087,0.05717477424314928,0.08671420067548752
1,380,2,0.01,4,56,0.9978203773498535,0.0022220739629119635,0.04713887952541897,0.08457501977682114
1,380,2,0.01,4,57,0.9963618516921997,0.003708941163495183,0.060901076866465856,0.08274377137422562
1,380,2,0.01,4,58,0.9971409440040588,0.0029146824963390827,0.05398779951377054,0.10585030913352966
1,380,2,0.01,4,59,0.9970015287399292,0.0030568349175155163,0.0552886508925251,0.11730310320854187
1,380,2,0.01,4,60,0.996282696723938,0.003789671929553151,0.06156031131787063,0.08230616897344589
1,380,2,0.01,4,61,0.9969040751457214,0.0031561602372676134,0.0561797137520975,0.10007815062999725
1,380,2,0.01,4,62,0.9967929720878601,0.003269445151090622,0.057179062173934106,0.09205792099237442
1,380,2,0.01,4,63,0.9973664879798889,0.0026847412809729576,0.05181448910269171,0.08628515899181366
