seed,max_neurons,layers,lr,unlock_layers,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
22,350,1,0.01,3,100,2416,0.1,0.9299752712249756,0.08065047860145569,0.2839902790615476,0.17560626566410065
23,350,1,0.01,3,100,2416,0.1,0.9178968071937561,0.09456175565719604,0.3075089521578129,0.1742856353521347
24,350,1,0.01,3,100,2416,0.1,0.92058265209198,0.09146837145090103,0.30243738434740675,0.17095018923282623
25,350,1,0.01,3,100,2416,0.1,0.920345664024353,0.09174133092164993,0.30288831427054086,0.15198081731796265
26,350,1,0.01,3,100,2416,0.1,0.9271402955055237,0.08391563594341278,0.28968195653753237,0.14610624313354492
27,350,1,0.01,3,100,2416,0.1,0.9301642775535583,0.08043280988931656,0.2836067874528333,0.17549221217632294
28,350,1,0.01,3,100,2416,0.1,0.9282721877098083,0.08261197805404663,0.2874229949987416,0.11936253309249878
29,350,1,0.01,3,100,2416,0.1,0.9173235893249512,0.09522198885679245,0.3085806035005967,0.13021411001682281
30,350,1,0.01,3,100,2416,0.1,0.9089046716690063,0.10491838306188583,0.32391107276826125,0.1768273115158081
1,350,1,0.01,3,100,6040,0.25,0.9289066195487976,0.08188129216432571,0.28614907332424777,0.10247733443975449
2,350,1,0.01,3,100,6040,0.25,0.9302282333374023,0.08035910874605179,0.28347682223781856,0.1561126708984375
3,350,1,0.01,3,100,6040,0.25,0.9315945506095886,0.0787854865193367,0.2806875246948761,0.11666491627693176
4,350,1,0.01,3,100,6040,0.25,0.9220912456512451,0.0897308886051178,0.29955114522418,0.15721704065799713
5,350,1,0.01,3,100,6040,0.25,0.9168082475662231,0.09581548720598221,0.3095407682454481,0.12051498144865036
6,350,1,0.01,3,100,6040,0.25,0.9252766370773315,0.08606211096048355,0.29336344516739565,0.13971233367919922
7,350,1,0.01,3,100,6040,0.25,0.9353649020195007,0.0744430422782898,0.2728425228557488,0.09823037683963776
8,350,1,0.01,3,100,6040,0.25,0.9304226636886597,0.08013518154621124,0.2830815810790438,0.13488955795764923
9,350,1,0.01,3,100,6040,0.25,0.9322986006736755,0.07797461748123169,0.27923935517980214,0.10189171880483627
10,350,1,0.01,3,100,6040,0.25,0.9308795928955078,0.07960890978574753,0.28215050910063505,0.14214195311069489
11,350,1,0.01,3,100,6040,0.25,0.9229850769042969,0.08870137482881546,0.29782776033945435,0.11230356246232986
12,350,1,0.01,3,100,6040,0.25,0.9348118901252747,0.07507996261119843,0.2740072309469194,0.09501751512289047
13,350,1,0.01,3,100,6040,0.25,0.9297711253166199,0.0808856338262558,0.28440399755674284,0.13143488764762878
14,350,1,0.01,3,100,6040,0.25,0.9315675497055054,0.07881656289100647,0.2807428768303952,0.135452002286911
15,350,1,0.01,3,100,6040,0.25,0.9269372224807739,0.0841495618224144,0.2900854388321041,0.14450110495090485
16,350,1,0.01,3,100,6040,0.25,0.9314786791801453,0.0789189338684082,0.2809251392602809,0.09213433414697647
17,350,1,0.01,3,100,6040,0.25,0.925057590007782,0.08631440252065659,0.2937931287839397,0.12915359437465668
18,350,1,0.01,3,100,6040,0.25,0.9196361899375916,0.09255845844745636,0.30423421643111803,0.1341148316860199
19,350,1,0.01,3,100,6040,0.25,0.9355046153068542,0.07428207993507385,0.27254739025548175,0.11873079836368561
20,350,1,0.01,3,100,6040,0.25,0.935377836227417,0.07442811131477356,0.2728151596131959,0.1273055076599121
21,350,1,0.01,3,100,6040,0.25,0.9391474723815918,0.07008648663759232,0.2647385250347828,0.17844562232494354
22,350,1,0.01,3,100,6040,0.25,0.9435980319976807,0.06496056914329529,0.25487363367617155,0.13384465873241425
23,350,1,0.01,3,100,6040,0.25,0.9346494674682617,0.075266994535923,0.27434830878998145,0.11769615858793259
24,350,1,0.01,3,100,6040,0.25,0.9228031039237976,0.08891099691390991,0.29817947097999536,0.16097241640090942
25,350,1,0.01,3,100,6040,0.25,0.9311505556106567,0.07929689437150955,0.2815970425475196,0.1650787889957428
26,350,1,0.01,3,100,6040,0.25,0.9320285320281982,0.07828567177057266,0.2797957679640145,0.11949680745601654
27,350,1,0.01,3,100,6040,0.25,0.9277960062026978,0.08316042274236679,0.28837548914976596,0.1269945353269577
28,350,1,0.01,3,100,6040,0.25,0.9408019781112671,0.06818092614412308,0.26111477580581893,0.12135302275419235
29,350,1,0.01,3,100,6040,0.25,0.9193650484085083,0.09287074208259583,0.3047470132463907,0.10973069816827774
30,350,1,0.01,3,100,6040,0.25,0.9189885258674622,0.09330442547798157,0.3054577310823571,0.14738216996192932
1,350,1,0.01,3,100,12080,0.5,0.9328203797340393,0.07737363874912262,0.2781611740504462,0.1126423329114914
2,350,1,0.01,3,100,12080,0.5,0.9311422109603882,0.079306460916996,0.28161402826740717,0.13767163455486298
3,350,1,0.01,3,100,12080,0.5,0.9369221925735474,0.07264943420886993,0.2695355898742686,0.14662715792655945
4,350,1,0.01,3,100,12080,0.5,0.928778350353241,0.08202901482582092,0.28640707886820976,0.1146630346775055
5,350,1,0.01,3,100,12080,0.5,0.9248527884483337,0.08655024319887161,0.2941942269978655,0.14684799313545227
6,350,1,0.01,3,100,12080,0.5,0.9369202256202698,0.0726516842842102,0.26953976382754774,0.11997278034687042
7,350,1,0.01,3,100,12080,0.5,0.9320961833000183,0.07820772379636765,0.2796564388609131,0.12130013853311539
8,350,1,0.01,3,100,12080,0.5,0.9315390586853027,0.0788494199514389,0.2808013887989853,0.13167704641819
9,350,1,0.01,3,100,12080,0.5,0.9374206066131592,0.07207539677619934,0.26846861413617673,0.115138940513134
10,350,1,0.01,3,100,12080,0.5,0.9421999454498291,0.06657081842422485,0.258013213662062,0.1401856690645218
11,350,1,0.01,3,100,12080,0.5,0.9281548857688904,0.08274712413549423,0.2876579985599118,0.12919752299785614
