epoch,rmse
1,0.10417941780327186
2,0.08531035993497883
3,0.06814941451074127
4,0.07551918322580108
5,0.06270517631134535
6,0.05594953941203253
7,0.05995108899429093
8,0.04542075823003802
9,0.05529848944693978
10,0.03754901371278772
11,0.041837415352977345
12,0.03768947462227681
13,0.03958926418512557
14,0.04198061983332109
15,0.045522566069666
16,0.04524429085367129
17,0.03870612840680335
18,0.03208800897153271
19,0.033315136547719455
20,0.033675532125806665
21,0.031907293662362404
22,0.037075573183141385
23,0.03269281998229317
24,0.035692497861408996
25,0.044378117628958526
26,0.035073802884567164
27,0.0331082039099841
28,0.036432971960491715
29,0.03240215085025644
30,0.03309372627554179
31,0.04709154516759337
32,0.04062356069426852
33,0.03434326335125707
34,0.031498723842489335
35,0.028057354343058512
36,0.029411142747025356
37,0.031815071010613954
38,0.028585199215248942
39,0.03064330713685184
40,0.036019043046526034
41,0.030656369270788745
42,0.03385334556451924
43,0.02816205572116174
44,0.02870943696454035
45,0.029969090102608318
46,0.03410316313595345
47,0.030213472559305482
48,0.0359566087687598
49,0.03220294679544293
50,0.035609695316588044
51,0.03208178271811985
52,0.030356532505235994
53,0.030171217928279984
54,0.029157306100049664
55,0.02812955177084528
56,0.04405925733939308
57,0.034676577614022194
58,0.030668585058051128
59,0.029516675079733747
60,0.03594189544417785
61,0.026828145085473338
62,0.029668183536266872
63,0.02969166866008871
64,0.030397689886551747
65,0.024660084435485126
66,0.028117498789935167
67,0.029471270733732603
68,0.03302310604823008
69,0.030410257460585618
70,0.027337125631430887
71,0.02723561345144475
72,0.03707605516181938
73,0.033772650492444246
74,0.0323461261713771
75,0.030707216420941937
76,0.030176143852388572
77,0.026061642083577544
78,0.03773025871812382
79,0.023130615594009755
80,0.024306337395673616
81,0.030841995125563938
82,0.022249899296720187
83,0.02586322210181542
84,0.028122170748065823
85,0.03024277075953032
86,0.023509691735842636
87,0.025164889109470175
88,0.03282962420352475
89,0.029274908413670465
90,0.030351114217597147
91,0.03212425580906816
92,0.028692915386932236
93,0.02768939153863936
94,0.042474816209339745
95,0.024791636234261095
96,0.028134741023435897
97,0.027497414325470114
98,0.023020301972470122
99,0.02781300982265181
100,0.02506304991548668
