epoch,mape
1,0.28041717410087585
2,0.24852631986141205
3,0.42808425426483154
4,0.2276155948638916
5,0.17295745015144348
6,0.19348593056201935
7,0.1688500940799713
8,0.21976298093795776
9,0.15623414516448975
10,0.1562427282333374
11,0.18061140179634094
12,0.11849410831928253
13,0.13941515982151031
14,0.15562596917152405
15,0.1502942442893982
16,0.21554060280323029
17,0.1960165649652481
18,0.13022634387016296
19,0.13354700803756714
20,0.12202837318181992
21,0.09627281129360199
22,0.12776042520999908
23,0.18806469440460205
24,0.17158831655979156
25,0.12701675295829773
26,0.12795083224773407
27,0.12125968188047409
28,0.12433641403913498
29,0.10818895697593689
30,0.14936503767967224
31,0.10939683020114899
32,0.3166978359222412
33,0.16034415364265442
34,0.07201599329710007
35,0.3988916873931885
36,0.09649302810430527
37,0.08546140789985657
38,0.12872539460659027
39,0.11452735960483551
40,0.10763348639011383
41,0.13688412308692932
42,0.08935531228780746
43,0.1253170520067215
44,0.1528458148241043
45,0.12703368067741394
46,0.1189187616109848
47,0.11646454781293869
48,0.141007661819458
49,0.10402578860521317
50,0.10929644852876663
51,0.2539208233356476
52,0.09879656881093979
53,0.08667327463626862
54,0.10007546097040176
55,0.10964514315128326
56,0.09416234493255615
57,0.07054483145475388
58,0.12973302602767944
59,0.10744032263755798
60,0.09253153949975967
61,0.11126665025949478
62,0.07004866749048233
63,0.11948365718126297
64,0.07975118607282639
65,0.13521021604537964
66,0.11960867792367935
67,0.1891741007566452
68,0.09308070689439774
69,0.11118834465742111
70,0.0800609141588211
71,0.33199238777160645
72,0.22713039815425873
73,0.08093661814928055
74,0.24370378255844116
75,0.14071862399578094
76,0.10080000758171082
77,0.1329515427350998
78,0.06615136563777924
79,0.12381137907505035
80,0.15868045389652252
81,0.08584964275360107
82,0.11819794028997421
83,0.10699819773435593
84,0.12657293677330017
85,0.15889045596122742
86,0.20769259333610535
87,0.08727389574050903
88,0.07932204008102417
89,0.13154685497283936
90,0.12781785428524017
91,0.06839678436517715
92,0.09878897666931152
93,0.07263443619012833
94,0.13508526980876923
95,0.11921803653240204
96,0.13743789494037628
97,0.11735687404870987
98,0.06794394552707672
99,0.059803999960422516
100,0.056321240961551666
