epoch,best_mape
1,0.45748984813690186
2,0.5723993182182312
3,0.36453336477279663
4,0.4049859344959259
5,0.6362877488136292
6,0.39116719365119934
7,0.46308472752571106
8,0.4086516201496124
9,0.46240076422691345
10,0.4791865348815918
11,0.4791993200778961
12,0.41184601187705994
13,0.3958125114440918
14,0.4401090741157532
15,0.4248560070991516
16,0.46616214513778687
17,0.46271076798439026
18,0.40380555391311646
19,0.39807817339897156
20,0.4293522834777832
21,0.3683391213417053
22,0.3225162923336029
23,0.3623766601085663
24,0.48738378286361694
25,0.35478582978248596
26,0.4143671989440918
27,0.26001620292663574
28,0.25716450810432434
29,0.3603650629520416
30,0.350506454706192
31,0.36212146282196045
32,0.35759028792381287
33,0.30124837160110474
34,0.3383030593395233
35,0.26888445019721985
36,0.39462706446647644
37,0.3644542098045349
38,0.25952526926994324
39,0.3131527304649353
40,0.43750619888305664
41,0.2847248315811157
42,0.3133071959018707
43,0.20867305994033813
44,0.3511972427368164
45,0.25445082783699036
46,0.32452061772346497
47,0.3669583797454834
48,0.40054717659950256
49,0.33166900277137756
50,0.2581159174442291
51,0.21115930378437042
52,0.21925285458564758
53,0.23967550694942474
54,0.2921406328678131
55,0.3096317946910858
56,0.30954253673553467
57,0.30175310373306274
58,0.37869793176651
59,0.29431501030921936
60,0.27748551964759827
61,0.2618872821331024
62,0.28530651330947876
63,0.26824286580085754
64,0.2412310093641281
65,0.33562323451042175
66,0.2728930711746216
67,0.2845683991909027
68,0.30487680435180664
69,0.29346898198127747
70,0.24964512884616852
71,0.24793671071529388
72,0.30498799681663513
73,0.2967483103275299
74,0.23965705931186676
75,0.2378866821527481
76,0.2787989377975464
77,0.25633370876312256
78,0.19183364510536194
79,0.22251562774181366
80,0.31018510460853577
81,0.298666387796402
82,0.24422429502010345
83,0.20491743087768555
84,0.22815100848674774
85,0.2602927088737488
86,0.46209028363227844
87,0.2694980502128601
88,0.310691773891449
89,0.2991880774497986
90,0.3534442186355591
91,0.34299078583717346
92,0.2374352514743805
93,0.2609413266181946
94,0.23465558886528015
95,0.28874385356903076
96,0.21116894483566284
97,0.31304654479026794
98,0.2906123697757721
99,0.24781659245491028
100,0.22496159374713898
